der_name,electric_grid_name,der_type,der_model_name,node_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,connection,active_power_nominal,reactive_power_nominal,in_service
Heat Pump,,flexible_building,NL_1598100000017067,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000017074,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000017075,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000017086,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000017087,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000017140,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016877,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016954,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000017068,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000017072,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000017077,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000017090,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016883,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016910,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016939,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016955,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016956,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016957,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016962,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016972,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016978,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016985,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016992,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000017064,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000017070,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000017082,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000017084,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000017143,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000017158,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000017169,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000017172,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000017177,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000017203,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000017204,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000023221,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000023222,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000023223,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000023224,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000023225,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000023226,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000023227,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000023228,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000023229,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000023418,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000023419,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000023422,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000023423,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000023424,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000023669,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000023814,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000024039,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000024610,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000024611,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000024612,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000024613,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000025140,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000025392,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000026274,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000025632,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016886,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016887,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016891,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016893,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016900,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016902,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016903,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016905,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016959,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016964,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016965,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016970,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016971,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016973,,1,0,0,wye,-5000,-1643.4205258943161,1
Heat Pump,,flexible_building,NL_1598100000016977,,1,0,0,wye,-5000,-1643.4205258943161,1
