electric_grid_name,der_name,der_type,der_model_name,node_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,connection,active_power_nominal,reactive_power_nominal,in_service
MES_paper_ISGT,0,cooling_plant,heating_plant_MES,1,1,1,1,wye,-500.0,-250.0,1
MES_paper_ISGT,1,fixed_load,fixed_power_residential_ISGT,1,1,1,1,wye,-6800.4,-3400.2,fixed_load_in_service
MES_paper_ISGT,2,fixed_load,fixed_power_residential_ISGT,2,1,1,1,wye,-9445,-4722.5,fixed_load_in_service
MES_paper_ISGT,3,fixed_load,fixed_power_residential_ISGT,3,1,1,1,wye,-8500.5,-4250.25,fixed_load_in_service
MES_paper_ISGT,4,fixed_load,fixed_power_residential_ISGT,4,1,1,1,wye,-7556,-3778,fixed_load_in_service
MES_paper_ISGT,5,fixed_load,fixed_power_residential_ISGT,5,1,1,1,wye,-7556,-3778,fixed_load_in_service
MES_paper_ISGT,6,fixed_load,fixed_power_residential_ISGT,6,1,1,1,wye,-9445,-4722.5,fixed_load_in_service
MES_paper_ISGT,7,fixed_load,fixed_power_residential_ISGT,7,1,1,1,wye,-9445,-4722.5,fixed_load_in_service
MES_paper_ISGT,8,fixed_load,fixed_power_residential_ISGT,8,1,1,1,wye,-12278.5,-6139.25,fixed_load_in_service
MES_paper_ISGT,9,fixed_load,fixed_power_residential_ISGT,9,1,1,1,wye,-6800.4,-3400.2,fixed_load_in_service
MES_paper_ISGT,10,fixed_load,fixed_power_residential_ISGT,10,1,1,1,wye,-8500.5,-4250.25,fixed_load_in_service
MES_paper_ISGT,11,fixed_load,fixed_power_residential_ISGT,11,1,1,1,wye,-7556,-3778,fixed_load_in_service
MES_paper_ISGT,12,fixed_load,fixed_power_residential_ISGT,12,1,1,1,wye,-9445,-4722.5,fixed_load_in_service
MES_paper_ISGT,13,fixed_load,fixed_power_residential_ISGT,13,1,1,1,wye,-12278.5,-6139.25,fixed_load_in_service
MES_paper_ISGT,14,fixed_load,fixed_power_residential_ISGT,14,1,1,1,wye,-9445,-4722.5,fixed_load_in_service
MES_paper_ISGT,15,fixed_load,fixed_power_residential_ISGT,15,1,1,1,wye,-12278.5,-6139.25,fixed_load_in_service
MES_paper_ISGT,16,fixed_load,fixed_power_residential_ISGT,16,1,1,1,wye,-8500.5,-4250.25,fixed_load_in_service
MES_paper_ISGT,17,fixed_load,fixed_power_residential_ISGT,17,1,1,1,wye,-7556,-3778,fixed_load_in_service
MES_paper_ISGT,18,fixed_load,fixed_power_residential_ISGT,18,1,1,1,wye,-9445,-4722.5,fixed_load_in_service
MES_paper_ISGT,19,fixed_load,fixed_power_residential_ISGT,19,1,1,1,wye,-12278.5,-6139.25,fixed_load_in_service
MES_paper_ISGT,0_1,flexible_load,flex_power_residential_ISGT,1,1,1,1,wye,-6800.4,-3400.2,flexible_load_in_service
MES_paper_ISGT,0_2,flexible_load,flex_power_residential_ISGT,2,1,1,1,wye,-9445,-4722.5,flexible_load_in_service
MES_paper_ISGT,0_3,flexible_load,flex_power_residential_ISGT,3,1,1,1,wye,-8500.5,-4250.25,flexible_load_in_service
MES_paper_ISGT,0_4,flexible_load,flex_power_residential_ISGT,4,1,1,1,wye,-7556,-3778,flexible_load_in_service
MES_paper_ISGT,0_5,flexible_load,flex_power_residential_ISGT,5,1,1,1,wye,-9445,-4722.5,flexible_load_in_service
MES_paper_ISGT,0_6,flexible_load,flex_power_residential_ISGT,6,1,1,1,wye,-7556,-3778,flexible_load_in_service
MES_paper_ISGT,0_7,flexible_load,flex_power_residential_ISGT,7,1,1,1,wye,-9445,-4722.5,flexible_load_in_service
MES_paper_ISGT,0_8,flexible_load,flex_power_residential_ISGT,8,1,1,1,wye,-12278.5,-6139.25,flexible_load_in_service
MES_paper_ISGT,0_9,flexible_load,flex_power_residential_ISGT,9,1,1,1,wye,-6800.4,-3400.2,flexible_load_in_service
MES_paper_ISGT,0_10,flexible_load,flex_power_residential_ISGT,10,1,1,1,wye,-8500.5,-4250.25,flexible_load_in_service
MES_paper_ISGT,0_11,flexible_load,flex_power_residential_ISGT,11,1,1,1,wye,-7556,-3778,flexible_load_in_service
MES_paper_ISGT,0_12,flexible_load,flex_power_residential_ISGT,12,1,1,1,wye,-9445,-4722.5,flexible_load_in_service
MES_paper_ISGT,0_13,flexible_load,flex_power_residential_ISGT,13,1,1,1,wye,-12278.5,-6139.25,flexible_load_in_service
MES_paper_ISGT,0_14,flexible_load,flex_power_residential_ISGT,14,1,1,1,wye,-9445,-4722.5,flexible_load_in_service
MES_paper_ISGT,0_15,flexible_load,flex_power_residential_ISGT,15,1,1,1,wye,-12278.5,-6139.25,flexible_load_in_service
MES_paper_ISGT,0_16,flexible_load,flex_power_residential_ISGT,16,1,1,1,wye,-8500.5,-4250.25,flexible_load_in_service
MES_paper_ISGT,0_17,flexible_load,flex_power_residential_ISGT,17,1,1,1,wye,-7556,-3778,flexible_load_in_service
MES_paper_ISGT,0_18,flexible_load,flex_power_residential_ISGT,18,1,1,1,wye,-9445,-4722.5,flexible_load_in_service
MES_paper_ISGT,0_19,flexible_load,flex_power_residential_ISGT,19,1,1,1,wye,-122785,-61392.5,flexible_load_in_service
MES_paper_ISGT,1_2,fixed_generator,photovoltaic,2,1,1,1,wye,5100,0.0,fixed_generator_in_service
MES_paper_ISGT,1_5,fixed_generator,photovoltaic,5,1,1,1,wye,4200,0.0,fixed_generator_in_service
MES_paper_ISGT,1_13,fixed_generator,photovoltaic,13,1,1,1,wye,6600,0.0,fixed_generator_in_service
MES_paper_ISGT,1_16,fixed_generator,photovoltaic,16,1,1,1,wye,4800,0.0,fixed_generator_in_service
