parameter_set,parameter_name,parameter_value
MES_ISGT_scenario_1,fixed_load_in_service,0
MES_ISGT_scenario_1,fixed_generator_in_service,1
MES_ISGT_scenario_1,flexible_load_in_service,1
MES_ISGT_scenario_1,flexible_generator_in_service,0
MES_ISGT_scenario_1,conversion_in_service,0
MES_ISGT_scenario_2,fixed_load_in_service,0
MES_ISGT_scenario_2,fixed_generator_in_service,1
MES_ISGT_scenario_2,flexible_load_in_service,1
MES_ISGT_scenario_2,flexible_generator_in_service,0
MES_ISGT_scenario_2,conversion_in_service,0
MES_ISGT_scenario_3,fixed_load_in_service,0
MES_ISGT_scenario_3,fixed_generator_in_service,1
MES_ISGT_scenario_3,flexible_load_in_service,1
MES_ISGT_scenario_3,flexible_generator_in_service,0
MES_ISGT_scenario_3,conversion_in_service,1
MES_ISGT_scenario_4,fixed_load_in_service,0
MES_ISGT_scenario_4,fixed_generator_in_service,1
MES_ISGT_scenario_4,flexible_load_in_service,1
MES_ISGT_scenario_4,flexible_generator_in_service,0
MES_ISGT_scenario_4,conversion_in_service,1


