thermal_grid_name,line_name,line_type,node_1_name,node_2_name,length
MES_paper_ISGT,0,MES_pipeDER-300,0,1,0.15
MES_paper_ISGT,1,MES_pipeDER-300,1,2,0.15
MES_paper_ISGT,2,MES_pipeDER-300,2,3,0.075
MES_paper_ISGT,3,MES_pipeDER-300,0,4,0.15
MES_paper_ISGT,4,MES_pipeDER-300,4,5,0.075
MES_paper_ISGT,5,MES_pipeDER-300,5,6,0.15
MES_paper_ISGT,6,MES_pipeDER-300,6,7,0.075
MES_paper_ISGT,7,MES_pipeDER-300,7,8,0.1
MES_paper_ISGT,8,MES_pipeDER-300,8,9,0.1
MES_paper_ISGT,9,MES_pipeDER-300,4,10,0.075
MES_paper_ISGT,10,MES_pipeDER-300,10,11,0.2
MES_paper_ISGT,11,MES_pipeDER-300,11,12,0.075
MES_paper_ISGT,12,MES_pipeDER-300,12,13,0.15
MES_paper_ISGT,13,MES_pipeDER-300,13,14,0.15
MES_paper_ISGT,14,MES_pipeDER-300,11,15,0.15
MES_paper_ISGT,15,MES_pipeDER-300,15,16,0.15
MES_paper_ISGT,16,MES_pipeDER-300,16,17,0.15
MES_paper_ISGT,17,MES_pipeDER-300,17,18,0.075
MES_paper_ISGT,18,MES_pipeDER-300,18,19,0.15




