der_name,electric_grid_name,der_type,model_name,node_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,connection,active_power,reactive_power
0,case141_dist,fixed_load,commercial,7,1,0,0,wye,-63799.99999999999,-39500.0
1,case141_dist,fixed_load,commercial,8,1,0,0,wye,-8500.0,-5300.0
2,case141_dist,fixed_load,commercial,11,1,0,0,wye,-21300.0,-13200.0
3,case141_dist,fixed_load,commercial,12,1,0,0,wye,-63799.99999999999,-39500.0
4,case141_dist,fixed_load,commercial,16,1,0,0,wye,-127500.0,-79000.0
5,case141_dist,fixed_load,commercial,19,1,0,0,wye,-63799.99999999999,-39500.0
6,case141_dist,fixed_load,commercial,20,1,0,0,wye,-63799.99999999999,-39500.0
7,case141_dist,fixed_load,commercial,22,1,0,0,wye,-63799.99999999999,-39500.0
8,case141_dist,fixed_load,commercial,25,1,0,0,wye,-127500.0,-79000.0
9,case141_dist,fixed_load,commercial,26,1,0,0,wye,-63799.99999999999,-39500.0
10,case141_dist,fixed_load,commercial,28,1,0,0,wye,-63799.99999999999,-39500.0
11,case141_dist,fixed_load,commercial,31,1,0,0,wye,-127500.0,-79000.0
12,case141_dist,fixed_load,commercial,33,1,0,0,wye,-127500.0,-79000.0
13,case141_dist,fixed_load,commercial,34,1,0,0,wye,-255000.0,-158000.0
14,case141_dist,fixed_load,commercial,35,1,0,0,wye,-127500.0,-79000.0
15,case141_dist,fixed_load,commercial,36,1,0,0,wye,-42500.0,-26300.0
16,case141_dist,fixed_load,commercial,38,1,0,0,wye,-17000.0,-10500.0
17,case141_dist,fixed_load,commercial,40,1,0,0,wye,-63799.99999999999,-39500.0
18,case141_dist,fixed_load,commercial,43,1,0,0,wye,-42500.0,-26300.0
19,case141_dist,fixed_load,commercial,47,1,0,0,wye,-106200.0,-65800.0
20,case141_dist,fixed_load,commercial,48,1,0,0,wye,-127500.0,-79000.0
21,case141_dist,fixed_load,commercial,50,1,0,0,wye,-106200.0,-65800.0
