line_type,n_phases,maximum_current
case141_dist_0,1,46141.83351363489
case141_dist_1,1,46141.83351363489
case141_dist_2,1,46141.83351363489
case141_dist_3,1,46141.83351363489
case141_dist_4,1,46141.83351363489
case141_dist_5,1,46141.83351363489
case141_dist_6,1,46141.83351363489
case141_dist_7,1,46141.83351363489
case141_dist_8,1,46141.83351363489
case141_dist_9,1,46141.83351363489
case141_dist_10,1,46141.83351363489
case141_dist_11,1,46141.83351363489
case141_dist_12,1,46141.83351363489
case141_dist_13,1,46141.83351363489
case141_dist_14,1,46141.83351363489
case141_dist_15,1,46141.83351363489
case141_dist_16,1,46141.83351363489
case141_dist_17,1,46141.83351363489
case141_dist_18,1,46141.83351363489
case141_dist_19,1,46141.83351363489
case141_dist_20,1,46141.83351363489
case141_dist_21,1,46141.83351363489
case141_dist_22,1,46141.83351363489
case141_dist_23,1,46141.83351363489
case141_dist_24,1,46141.83351363489
case141_dist_25,1,46141.83351363489
case141_dist_26,1,46141.83351363489
case141_dist_27,1,46141.83351363489
case141_dist_28,1,46141.83351363489
case141_dist_29,1,46141.83351363489
case141_dist_30,1,46141.83351363489
case141_dist_31,1,46141.83351363489
case141_dist_32,1,46141.83351363489
case141_dist_33,1,46141.83351363489
case141_dist_34,1,46141.83351363489
case141_dist_35,1,46141.83351363489
case141_dist_36,1,46141.83351363489
case141_dist_37,1,46141.83351363489
case141_dist_38,1,46141.83351363489
case141_dist_39,1,46141.83351363489
case141_dist_40,1,46141.83351363489
case141_dist_41,1,46141.83351363489
case141_dist_42,1,46141.83351363489
case141_dist_43,1,46141.83351363489
case141_dist_44,1,46141.83351363489
case141_dist_45,1,46141.83351363489
case141_dist_46,1,46141.83351363489
case141_dist_47,1,46141.83351363489
case141_dist_48,1,46141.83351363489
case141_dist_49,1,46141.83351363489
case141_dist_50,1,46141.83351363489
case141_dist_51,1,46141.83351363489
case141_dist_52,1,46141.83351363489
case141_dist_53,1,46141.83351363489
case141_dist_54,1,46141.83351363489
case141_dist_55,1,46141.83351363489
case141_dist_56,1,46141.83351363489
case141_dist_57,1,46141.83351363489
case141_dist_58,1,46141.83351363489
case141_dist_59,1,46141.83351363489
case141_dist_60,1,46141.83351363489
case141_dist_61,1,46141.83351363489
case141_dist_62,1,46141.83351363489
case141_dist_63,1,46141.83351363489
case141_dist_64,1,46141.83351363489
case141_dist_65,1,46141.83351363489
case141_dist_66,1,46141.83351363489
case141_dist_67,1,46141.83351363489
case141_dist_68,1,46141.83351363489
case141_dist_69,1,46141.83351363489
case141_dist_70,1,46141.83351363489
case141_dist_71,1,46141.83351363489
case141_dist_72,1,46141.83351363489
case141_dist_73,1,46141.83351363489
case141_dist_74,1,46141.83351363489
case141_dist_75,1,46141.83351363489
case141_dist_76,1,46141.83351363489
case141_dist_77,1,46141.83351363489
case141_dist_78,1,46141.83351363489
case141_dist_79,1,46141.83351363489
case141_dist_80,1,46141.83351363489
case141_dist_81,1,46141.83351363489
case141_dist_82,1,46141.83351363489
case141_dist_83,1,46141.83351363489
case141_dist_84,1,46141.83351363489
case141_dist_85,1,46141.83351363489
case141_dist_86,1,46141.83351363489
case141_dist_87,1,46141.83351363489
case141_dist_88,1,46141.83351363489
case141_dist_89,1,46141.83351363489
case141_dist_90,1,46141.83351363489
case141_dist_91,1,46141.83351363489
case141_dist_92,1,46141.83351363489
case141_dist_93,1,46141.83351363489
case141_dist_94,1,46141.83351363489
case141_dist_95,1,46141.83351363489
case141_dist_96,1,46141.83351363489
case141_dist_97,1,46141.83351363489
case141_dist_98,1,46141.83351363489
case141_dist_99,1,46141.83351363489
case141_dist_100,1,46141.83351363489
case141_dist_101,1,46141.83351363489
case141_dist_102,1,46141.83351363489
case141_dist_103,1,46141.83351363489
case141_dist_104,1,46141.83351363489
case141_dist_105,1,46141.83351363489
case141_dist_106,1,46141.83351363489
case141_dist_107,1,46141.83351363489
case141_dist_108,1,46141.83351363489
case141_dist_109,1,46141.83351363489
case141_dist_110,1,46141.83351363489
case141_dist_111,1,46141.83351363489
case141_dist_112,1,46141.83351363489
case141_dist_113,1,46141.83351363489
case141_dist_114,1,46141.83351363489
case141_dist_115,1,46141.83351363489
case141_dist_116,1,46141.83351363489
case141_dist_117,1,46141.83351363489
case141_dist_118,1,46141.83351363489
case141_dist_119,1,46141.83351363489
case141_dist_120,1,46141.83351363489
case141_dist_121,1,46141.83351363489
case141_dist_122,1,46141.83351363489
case141_dist_123,1,46141.83351363489
case141_dist_124,1,46141.83351363489
case141_dist_125,1,46141.83351363489
case141_dist_126,1,46141.83351363489
case141_dist_127,1,46141.83351363489
case141_dist_128,1,46141.83351363489
case141_dist_129,1,46141.83351363489
case141_dist_130,1,46141.83351363489
case141_dist_131,1,46141.83351363489
case141_dist_132,1,46141.83351363489
case141_dist_133,1,46141.83351363489
case141_dist_134,1,46141.83351363489
case141_dist_135,1,46141.83351363489
case141_dist_136,1,46141.83351363489
case141_dist_137,1,46141.83351363489
case141_dist_138,1,46141.83351363489
case141_dist_139,1,46141.83351363489
