line_type,row,col,resistance,reactance,capacitance
case141_dist_0,1,1,0.057977968750000004,0.04109703125,0.0
case141_dist_1,1,1,0.17333093749999998,0.12288921874999999,0.0
case141_dist_2,1,1,0.000904375,0.0006028125,0.0
case141_dist_3,1,1,0.009244375,0.006531250000000001,0.0
case141_dist_4,1,1,0.0068328125,0.00492359375,0.0
case141_dist_5,1,1,0.0471259375,0.06280109375000001,0.0
case141_dist_6,1,1,0.07395453125,0.09857265625,0.0
case141_dist_7,1,1,0.06521265625,0.04612109375,0.0
case141_dist_8,1,1,0.05094421875,0.03607296875,0.0
case141_dist_9,1,1,0.011655937500000001,0.00823953125,0.0
case141_dist_10,1,1,0.129721875,0.09173984375,0.0
case141_dist_11,1,1,0.12329109374999998,0.0870171875,0.0
case141_dist_12,1,1,0.049035156249999996,0.03466625,0.0
case141_dist_13,1,1,0.09616109375,0.06802609374999999,0.0
case141_dist_14,1,1,0.08641421875,0.061193437499999996,0.0
case141_dist_15,1,1,0.039991718749999995,0.02833578125,0.0
case141_dist_16,1,1,0.08319890625,0.05687265625,0.0
case141_dist_17,1,1,0.01868953125,0.01326359375,0.0
case141_dist_18,1,1,0.05616921875,0.0396903125,0.0
case141_dist_19,1,1,0.03667578125,0.0247184375,0.0
case141_dist_20,1,1,0.057576093749999994,0.030847968750000003,0.0
case141_dist_21,1,1,0.026426718749999998,0.019192031249999998,0.0
case141_dist_22,1,1,0.0686290625,0.049939375,0.0
case141_dist_23,1,1,0.039991718749999995,0.02833578125,0.0
case141_dist_24,1,1,0.07325125,0.053255312500000006,0.0
case141_dist_25,1,1,0.03366140625,0.0245175,0.0
case141_dist_26,1,1,0.05868140625,0.041599375,0.0
case141_dist_27,1,1,0.06581546875000001,0.04652296875,0.0
case141_dist_28,1,1,0.034364687500000005,0.02491953125,0.0
case141_dist_29,1,1,0.01286171875,0.00914390625,0.0
case141_dist_30,1,1,0.0348671875,0.02461796875,0.0
case141_dist_31,1,1,0.044513437499999996,0.03155125,0.0
case141_dist_32,1,1,0.0020096875,0.000904375,0.0
case141_dist_33,1,1,0.22849546874999999,0.055666875,0.0
case141_dist_34,1,1,0.127109375,0.15725390625,0.0
case141_dist_35,1,1,0.005526562499999999,0.00733515625,0.0
case141_dist_36,1,1,0.20458078124999998,0.14469375,0.0
case141_dist_37,1,1,0.094251875,0.066619375,0.0
case141_dist_38,1,1,0.0348671875,0.02461796875,0.0
case141_dist_39,1,1,0.0922421875,0.065313125,0.0
case141_dist_40,1,1,0.23291671875,0.16479,0.0
case141_dist_41,1,1,0.12128140625,0.08581140625,0.0
case141_dist_42,1,1,0.044513437499999996,0.03155125,0.0
case141_dist_43,1,1,0.04069515625,0.028938750000000003,0.0
case141_dist_44,1,1,0.01607703125,0.012761249999999998,0.0
case141_dist_45,1,1,0.06390640624999999,0.04521671875,0.0
case141_dist_46,1,1,0.041900937500000006,0.0296421875,0.0
case141_dist_47,1,1,0.07355265625,0.051245624999999996,0.0
case141_dist_48,1,1,0.08319890625,0.055867812499999996,0.0
case141_dist_49,1,1,0.039991718749999995,0.02833578125,0.0
case141_dist_50,1,1,0.022608437500000002,0.0159765625,0.0
case141_dist_51,1,1,0.08450515625,0.0597865625,0.0
case141_dist_52,1,1,0.016177499999999997,0.01145484375,0.0
case141_dist_53,1,1,0.052953906249999995,0.037479687500000004,0.0
case141_dist_54,1,1,0.08973015625,0.06350453125,0.0
case141_dist_55,1,1,0.08711765625000001,0.06159531249999999,0.0
case141_dist_56,1,1,0.06772468749999999,0.04792984375,0.0
case141_dist_57,1,1,0.0471259375,0.03336,0.0
case141_dist_58,1,1,0.0335609375,0.02371375,0.0
case141_dist_59,1,1,0.032857500000000005,0.023311718749999998,0.0
case141_dist_60,1,1,0.04129796875,0.02924015625,0.0
case141_dist_61,1,1,0.035469999999999995,0.02512046875,0.0
case141_dist_62,1,1,0.105204375,0.07445703125,0.0
case141_dist_63,1,1,0.06772468749999999,0.04792984375,0.0
case141_dist_64,1,1,0.03034546875,0.021503124999999998,0.0
case141_dist_65,1,1,0.0458196875,0.032455625,0.0
case141_dist_66,1,1,0.021905,0.015474218750000001,0.0
case141_dist_67,1,1,0.036776249999999996,0.02602484375,0.0
case141_dist_68,1,1,0.02321125,0.0164790625,0.0
case141_dist_69,1,1,0.012057812499999999,0.0029139062500000003,0.0
case141_dist_70,1,1,0.0703371875,0.049738437499999996,0.0
case141_dist_71,1,1,0.02321125,0.0164790625,0.0
case141_dist_72,1,1,0.0030143749999999997,0.00643078125,0.0
case141_dist_73,1,1,0.0380825,0.0269290625,0.0
case141_dist_74,1,1,0.0554659375,0.03928828125,0.0
case141_dist_75,1,1,0.051848593750000005,0.04381,0.0
case141_dist_76,1,1,0.01678046875,0.01105296875,0.0
case141_dist_77,1,1,0.04169984375,0.010148593749999999,0.0
case141_dist_78,1,1,0.100783125,0.0245175,0.0
case141_dist_79,1,1,0.15202890625,0.03717828125,0.0
case141_dist_80,1,1,0.0033159375,0.0008039062499999999,0.0
case141_dist_81,1,1,0.0085409375,0.00622984375,0.0
case141_dist_82,1,1,0.051949062500000004,0.04511625,0.0
case141_dist_83,1,1,0.01477078125,0.0036173437500000003,0.0
case141_dist_84,1,1,0.0037178124999999998,0.00160765625,0.0
case141_dist_85,1,1,0.0,0.00010046875,0.0
case141_dist_86,1,1,0.01748375,0.02321125,0.0
case141_dist_87,1,1,0.0471259375,0.06280109375000001,0.0
case141_dist_88,1,1,0.0300440625,0.039991718749999995,0.0
case141_dist_89,1,1,0.0213021875,0.02843640625,0.0
case141_dist_90,1,1,0.03165171875,0.04220234375,0.0
case141_dist_91,1,1,0.02813484375,0.037479687500000004,0.0
