line_name,electric_grid_name,line_type,node_1_name,node_2_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,length
0,case141_dist,case141_dist_0,0,1,1,0,0,1.0
1,case141_dist,case141_dist_1,1,2,1,0,0,1.0
2,case141_dist,case141_dist_2,2,3,1,0,0,1.0
3,case141_dist,case141_dist_3,3,4,1,0,0,1.0
4,case141_dist,case141_dist_4,4,5,1,0,0,1.0
5,case141_dist,case141_dist_5,5,6,1,0,0,1.0
6,case141_dist,case141_dist_6,6,7,1,0,0,1.0
7,case141_dist,case141_dist_7,7,8,1,0,0,1.0
8,case141_dist,case141_dist_8,8,9,1,0,0,1.0
9,case141_dist,case141_dist_9,9,10,1,0,0,1.0
10,case141_dist,case141_dist_10,10,11,1,0,0,1.0
11,case141_dist,case141_dist_11,11,12,1,0,0,1.0
12,case141_dist,case141_dist_12,12,13,1,0,0,1.0
13,case141_dist,case141_dist_13,13,14,1,0,0,1.0
14,case141_dist,case141_dist_14,14,15,1,0,0,1.0
15,case141_dist,case141_dist_15,15,16,1,0,0,1.0
16,case141_dist,case141_dist_16,16,17,1,0,0,1.0
17,case141_dist,case141_dist_17,17,18,1,0,0,1.0
18,case141_dist,case141_dist_18,18,19,1,0,0,1.0
19,case141_dist,case141_dist_19,19,20,1,0,0,1.0
20,case141_dist,case141_dist_20,20,21,1,0,0,1.0
21,case141_dist,case141_dist_21,21,22,1,0,0,1.0
22,case141_dist,case141_dist_22,22,23,1,0,0,1.0
23,case141_dist,case141_dist_23,23,24,1,0,0,1.0
24,case141_dist,case141_dist_24,24,25,1,0,0,1.0
25,case141_dist,case141_dist_25,25,26,1,0,0,1.0
26,case141_dist,case141_dist_26,26,27,1,0,0,1.0
27,case141_dist,case141_dist_27,27,28,1,0,0,1.0
28,case141_dist,case141_dist_28,28,29,1,0,0,1.0
29,case141_dist,case141_dist_29,29,30,1,0,0,1.0
30,case141_dist,case141_dist_30,30,31,1,0,0,1.0
31,case141_dist,case141_dist_31,1,32,1,0,0,1.0
32,case141_dist,case141_dist_32,32,33,1,0,0,1.0
33,case141_dist,case141_dist_33,4,34,1,0,0,1.0
34,case141_dist,case141_dist_34,4,35,1,0,0,1.0
35,case141_dist,case141_dist_35,5,36,1,0,0,1.0
36,case141_dist,case141_dist_36,36,37,1,0,0,1.0
37,case141_dist,case141_dist_37,37,38,1,0,0,1.0
38,case141_dist,case141_dist_38,38,39,1,0,0,1.0
39,case141_dist,case141_dist_39,39,40,1,0,0,1.0
40,case141_dist,case141_dist_40,40,41,1,0,0,1.0
41,case141_dist,case141_dist_41,41,42,1,0,0,1.0
42,case141_dist,case141_dist_42,42,43,1,0,0,1.0
43,case141_dist,case141_dist_43,43,44,1,0,0,1.0
44,case141_dist,case141_dist_44,44,45,1,0,0,1.0
45,case141_dist,case141_dist_45,45,46,1,0,0,1.0
46,case141_dist,case141_dist_46,46,47,1,0,0,1.0
47,case141_dist,case141_dist_47,47,48,1,0,0,1.0
48,case141_dist,case141_dist_48,48,49,1,0,0,1.0
49,case141_dist,case141_dist_49,49,50,1,0,0,1.0
50,case141_dist,case141_dist_50,50,51,1,0,0,1.0
51,case141_dist,case141_dist_51,37,52,1,0,0,1.0
52,case141_dist,case141_dist_52,41,53,1,0,0,1.0
53,case141_dist,case141_dist_53,53,54,1,0,0,1.0
54,case141_dist,case141_dist_54,54,55,1,0,0,1.0
55,case141_dist,case141_dist_55,55,56,1,0,0,1.0
56,case141_dist,case141_dist_56,56,57,1,0,0,1.0
57,case141_dist,case141_dist_57,57,58,1,0,0,1.0
58,case141_dist,case141_dist_58,54,59,1,0,0,1.0
59,case141_dist,case141_dist_59,59,60,1,0,0,1.0
60,case141_dist,case141_dist_60,60,61,1,0,0,1.0
61,case141_dist,case141_dist_61,59,62,1,0,0,1.0
62,case141_dist,case141_dist_62,62,63,1,0,0,1.0
63,case141_dist,case141_dist_63,63,64,1,0,0,1.0
64,case141_dist,case141_dist_64,64,65,1,0,0,1.0
65,case141_dist,case141_dist_65,65,66,1,0,0,1.0
66,case141_dist,case141_dist_66,66,67,1,0,0,1.0
67,case141_dist,case141_dist_67,62,68,1,0,0,1.0
68,case141_dist,case141_dist_68,54,69,1,0,0,1.0
69,case141_dist,case141_dist_69,69,70,1,0,0,1.0
70,case141_dist,case141_dist_70,69,71,1,0,0,1.0
71,case141_dist,case141_dist_71,41,72,1,0,0,1.0
72,case141_dist,case141_dist_72,72,73,1,0,0,1.0
73,case141_dist,case141_dist_73,42,74,1,0,0,1.0
74,case141_dist,case141_dist_74,43,75,1,0,0,1.0
75,case141_dist,case141_dist_75,45,76,1,0,0,1.0
76,case141_dist,case141_dist_76,75,77,1,0,0,1.0
77,case141_dist,case141_dist_77,77,78,1,0,0,1.0
78,case141_dist,case141_dist_78,78,79,1,0,0,1.0
79,case141_dist,case141_dist_79,78,80,1,0,0,1.0
80,case141_dist,case141_dist_80,80,81,1,0,0,1.0
81,case141_dist,case141_dist_81,46,82,1,0,0,1.0
82,case141_dist,case141_dist_82,48,83,1,0,0,1.0
83,case141_dist,case141_dist_83,49,84,1,0,0,1.0
84,case141_dist,case141_dist_84,84,85,1,0,0,1.0
85,case141_dist,case141_dist_85,85,86,1,0,0,1.0
86,case141_dist,case141_dist_86,6,87,1,0,0,1.0
87,case141_dist,case141_dist_87,87,88,1,0,0,1.0
88,case141_dist,case141_dist_88,88,89,1,0,0,1.0
89,case141_dist,case141_dist_89,89,90,1,0,0,1.0
90,case141_dist,case141_dist_90,90,91,1,0,0,1.0
91,case141_dist,case141_dist_91,91,92,1,0,0,1.0
92,case141_dist,case141_dist_92,92,93,1,0,0,1.0
93,case141_dist,case141_dist_93,93,94,1,0,0,1.0
94,case141_dist,case141_dist_94,88,95,1,0,0,1.0
95,case141_dist,case141_dist_95,95,96,1,0,0,1.0
96,case141_dist,case141_dist_96,96,97,1,0,0,1.0
97,case141_dist,case141_dist_97,96,98,1,0,0,1.0
98,case141_dist,case141_dist_98,98,99,1,0,0,1.0
99,case141_dist,case141_dist_99,90,100,1,0,0,1.0
100,case141_dist,case141_dist_100,100,101,1,0,0,1.0
101,case141_dist,case141_dist_101,101,102,1,0,0,1.0
102,case141_dist,case141_dist_102,102,103,1,0,0,1.0
103,case141_dist,case141_dist_103,103,104,1,0,0,1.0
104,case141_dist,case141_dist_104,103,105,1,0,0,1.0
105,case141_dist,case141_dist_105,91,106,1,0,0,1.0
106,case141_dist,case141_dist_106,93,107,1,0,0,1.0
107,case141_dist,case141_dist_107,107,108,1,0,0,1.0
108,case141_dist,case141_dist_108,93,109,1,0,0,1.0
109,case141_dist,case141_dist_109,6,110,1,0,0,1.0
110,case141_dist,case141_dist_110,9,111,1,0,0,1.0
111,case141_dist,case141_dist_111,10,112,1,0,0,1.0
112,case141_dist,case141_dist_112,12,113,1,0,0,1.0
113,case141_dist,case141_dist_113,113,114,1,0,0,1.0
114,case141_dist,case141_dist_114,114,115,1,0,0,1.0
115,case141_dist,case141_dist_115,13,116,1,0,0,1.0
116,case141_dist,case141_dist_116,14,117,1,0,0,1.0
117,case141_dist,case141_dist_117,117,118,1,0,0,1.0
118,case141_dist,case141_dist_118,118,119,1,0,0,1.0
119,case141_dist,case141_dist_119,119,120,1,0,0,1.0
120,case141_dist,case141_dist_120,120,121,1,0,0,1.0
121,case141_dist,case141_dist_121,121,122,1,0,0,1.0
122,case141_dist,case141_dist_122,122,123,1,0,0,1.0
123,case141_dist,case141_dist_123,123,124,1,0,0,1.0
124,case141_dist,case141_dist_124,124,125,1,0,0,1.0
125,case141_dist,case141_dist_125,125,126,1,0,0,1.0
126,case141_dist,case141_dist_126,126,127,1,0,0,1.0
127,case141_dist,case141_dist_127,127,128,1,0,0,1.0
128,case141_dist,case141_dist_128,128,129,1,0,0,1.0
129,case141_dist,case141_dist_129,118,130,1,0,0,1.0
130,case141_dist,case141_dist_130,130,131,1,0,0,1.0
131,case141_dist,case141_dist_131,130,132,1,0,0,1.0
132,case141_dist,case141_dist_132,120,133,1,0,0,1.0
133,case141_dist,case141_dist_133,15,134,1,0,0,1.0
134,case141_dist,case141_dist_134,15,135,1,0,0,1.0
135,case141_dist,case141_dist_135,17,136,1,0,0,1.0
136,case141_dist,case141_dist_136,22,137,1,0,0,1.0
137,case141_dist,case141_dist_137,24,138,1,0,0,1.0
138,case141_dist,case141_dist_138,29,139,1,0,0,1.0
139,case141_dist,case141_dist_139,30,140,1,0,0,1.0
