line_type,row,col,resistance,reactance,capacitance
cigre_lv_network_UG1,1,1,0.162,0.0832,0.0
cigre_lv_network_UG1,2,2,0.162,0.0832,0.0
cigre_lv_network_UG1,3,3,0.162,0.0832,0.0
cigre_lv_network_UG1,2,1,0,0,0
cigre_lv_network_UG1,3,1,0,0,0
cigre_lv_network_UG1,3,2,0,0,0
cigre_lv_network_UG2,1,1,0.2647,0.0823,0.0
cigre_lv_network_UG2,2,2,0.2647,0.0823,0.0
cigre_lv_network_UG2,3,3,0.2647,0.0823,0.0
cigre_lv_network_UG2,2,1,0,0,0
cigre_lv_network_UG2,3,1,0,0,0
cigre_lv_network_UG2,3,2,0,0,0
cigre_lv_network_UG3,1,1,0.822,0.0847,0.0
cigre_lv_network_UG3,2,2,0.822,0.0847,0.0
cigre_lv_network_UG3,3,3,0.822,0.0847,0.0
cigre_lv_network_UG3,2,1,0,0,0
cigre_lv_network_UG3,3,1,0,0,0
cigre_lv_network_UG3,3,2,0,0,0
cigre_lv_network_OH1,1,1,0.4917,0.2847,0.0
cigre_lv_network_OH1,2,2,0.4917,0.2847,0.0
cigre_lv_network_OH1,3,3,0.4917,0.2847,0.0
cigre_lv_network_OH1,2,1,0,0,0
cigre_lv_network_OH1,3,1,0,0,0
cigre_lv_network_OH1,3,2,0,0,0
cigre_lv_network_OH2,1,1,1.3207,0.321,0.0
cigre_lv_network_OH2,2,2,1.3207,0.321,0.0
cigre_lv_network_OH2,3,3,1.3207,0.321,0.0
cigre_lv_network_OH2,2,1,0,0,0
cigre_lv_network_OH2,3,1,0,0,0
cigre_lv_network_OH2,3,2,0,0,0
cigre_lv_network_OH3,1,1,2.0167,0.3343,0.0
cigre_lv_network_OH3,2,2,2.0167,0.3343,0.0
cigre_lv_network_OH3,3,3,2.0167,0.3343,0.0
cigre_lv_network_OH3,2,1,0,0,0
cigre_lv_network_OH3,3,1,0,0,0
cigre_lv_network_OH3,3,2,0,0,0
