line_name,electric_grid_name,line_type,node_1_name,node_2_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,length
Line R1-R2,cigre_lv_network,cigre_lv_network_UG1,2,3,1,0,0,0.035
Line R2-R3,cigre_lv_network,cigre_lv_network_UG1,3,4,1,0,0,0.035
Line R3-R4,cigre_lv_network,cigre_lv_network_UG1,4,5,1,0,0,0.035
Line R4-R5,cigre_lv_network,cigre_lv_network_UG1,5,6,1,0,0,0.035
Line R5-R6,cigre_lv_network,cigre_lv_network_UG1,6,7,1,0,0,0.035
Line R6-R7,cigre_lv_network,cigre_lv_network_UG1,7,8,1,0,0,0.035
Line R7-R8,cigre_lv_network,cigre_lv_network_UG1,8,9,1,0,0,0.035
Line R8-R9,cigre_lv_network,cigre_lv_network_UG1,9,10,1,0,0,0.035
Line R9-R10,cigre_lv_network,cigre_lv_network_UG1,10,11,1,0,0,0.035
Line R3-R11,cigre_lv_network,cigre_lv_network_UG3,4,12,1,0,0,0.03
Line R4-R12,cigre_lv_network,cigre_lv_network_UG3,5,13,1,0,0,0.035
Line R12-R13,cigre_lv_network,cigre_lv_network_UG3,13,14,1,0,0,0.035
Line R13-R14,cigre_lv_network,cigre_lv_network_UG3,14,15,1,0,0,0.035
Line R14-R15,cigre_lv_network,cigre_lv_network_UG3,15,16,1,0,0,0.03
Line R6-R16,cigre_lv_network,cigre_lv_network_UG3,7,17,1,0,0,0.03
Line R9-R17,cigre_lv_network,cigre_lv_network_UG3,10,18,1,0,0,0.03
Line R10-R18,cigre_lv_network,cigre_lv_network_UG3,11,19,1,0,0,0.03
Line I1-I2,cigre_lv_network,cigre_lv_network_UG2,21,22,1,0,0,0.2
Line C1-C2,cigre_lv_network,cigre_lv_network_OH1,24,25,1,0,0,0.03
Line C2-C3,cigre_lv_network,cigre_lv_network_OH1,25,26,1,0,0,0.03
Line C3-C4,cigre_lv_network,cigre_lv_network_OH1,26,27,1,0,0,0.03
Line C4-C5,cigre_lv_network,cigre_lv_network_OH1,27,28,1,0,0,0.03
Line C5-C6,cigre_lv_network,cigre_lv_network_OH1,28,29,1,0,0,0.03
Line C6-C7,cigre_lv_network,cigre_lv_network_OH1,29,30,1,0,0,0.03
Line C7-C8,cigre_lv_network,cigre_lv_network_OH1,30,31,1,0,0,0.03
Line C8-C9,cigre_lv_network,cigre_lv_network_OH1,31,32,1,0,0,0.03
Line C3-C10,cigre_lv_network,cigre_lv_network_OH2,26,33,1,0,0,0.03
Line C10-C11,cigre_lv_network,cigre_lv_network_OH2,33,34,1,0,0,0.03
Line C11-C12,cigre_lv_network,cigre_lv_network_OH3,34,35,1,0,0,0.03
Line C11-C13,cigre_lv_network,cigre_lv_network_OH3,34,36,1,0,0,0.03
Line C10-C14,cigre_lv_network,cigre_lv_network_OH3,33,37,1,0,0,0.03
Line C5-C15,cigre_lv_network,cigre_lv_network_OH2,28,38,1,0,0,0.03
Line C15-C16,cigre_lv_network,cigre_lv_network_OH2,38,39,1,0,0,0.03
Line C15-C17,cigre_lv_network,cigre_lv_network_OH3,38,40,1,0,0,0.03
Line C16-C18,cigre_lv_network,cigre_lv_network_OH3,39,41,1,0,0,0.03
Line C8-C19,cigre_lv_network,cigre_lv_network_OH3,31,42,1,0,0,0.03
Line C9-C20,cigre_lv_network,cigre_lv_network_OH3,32,43,1,0,0,0.03
