node_name,electric_grid_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,voltage,latitude,longitude
0,cigre_lv_network_residential,1,0,0,20000.0,0.2,1
2,cigre_lv_network_residential,1,0,0,400.0,-1.4583333333000001,2
3,cigre_lv_network_residential,1,0,0,400.0,-1.4583333333000001,3
4,cigre_lv_network_residential,1,0,0,400.0,-1.4583333333000001,4
5,cigre_lv_network_residential,1,0,0,400.0,-1.9583333333000001,5
6,cigre_lv_network_residential,1,0,0,400.0,-2.7083333333,6
7,cigre_lv_network_residential,1,0,0,400.0,-2.7083333333,7
8,cigre_lv_network_residential,1,0,0,400.0,-3.2083333333,8
9,cigre_lv_network_residential,1,0,0,400.0,-3.2083333333,9
10,cigre_lv_network_residential,1,0,0,400.0,-3.2083333333,10
11,cigre_lv_network_residential,1,0,0,400.0,-3.7083333333,11
12,cigre_lv_network_residential,1,0,0,400.0,-0.9583333333,5
13,cigre_lv_network_residential,1,0,0,400.0,-1.2083333333,6
14,cigre_lv_network_residential,1,0,0,400.0,-1.2083333333,7
15,cigre_lv_network_residential,1,0,0,400.0,-1.2083333333,8
16,cigre_lv_network_residential,1,0,0,400.0,-1.2083333333,9
17,cigre_lv_network_residential,1,0,0,400.0,-2.2083333333,8
18,cigre_lv_network_residential,1,0,0,400.0,-2.7083333333,11
19,cigre_lv_network_residential,1,0,0,400.0,-3.7083333333,12
