price_type,time,price_value
EPEX SPOT Power DE Day Ahead,2014-01-01T00:00,15.15
EPEX SPOT Power DE Day Ahead,2014-01-01T01:00,12.96
EPEX SPOT Power DE Day Ahead,2014-01-01T02:00,12.09
EPEX SPOT Power DE Day Ahead,2014-01-01T03:00,11.7
EPEX SPOT Power DE Day Ahead,2014-01-01T04:00,11.66
EPEX SPOT Power DE Day Ahead,2014-01-01T05:00,11.35
EPEX SPOT Power DE Day Ahead,2014-01-01T06:00,9.85
EPEX SPOT Power DE Day Ahead,2014-01-01T07:00,9.54
EPEX SPOT Power DE Day Ahead,2014-01-01T08:00,9.49
EPEX SPOT Power DE Day Ahead,2014-01-01T09:00,11.64
EPEX SPOT Power DE Day Ahead,2014-01-01T10:00,11.94
EPEX SPOT Power DE Day Ahead,2014-01-01T11:00,13.15
EPEX SPOT Power DE Day Ahead,2014-01-01T12:00,15.24
EPEX SPOT Power DE Day Ahead,2014-01-01T13:00,13.69
EPEX SPOT Power DE Day Ahead,2014-01-01T14:00,16.96
EPEX SPOT Power DE Day Ahead,2014-01-01T15:00,26.06
EPEX SPOT Power DE Day Ahead,2014-01-01T16:00,32.11
EPEX SPOT Power DE Day Ahead,2014-01-01T17:00,32.88
EPEX SPOT Power DE Day Ahead,2014-01-01T18:00,32.22
EPEX SPOT Power DE Day Ahead,2014-01-01T19:00,30.63
EPEX SPOT Power DE Day Ahead,2014-01-01T20:00,28.64
EPEX SPOT Power DE Day Ahead,2014-01-01T21:00,20.09
EPEX SPOT Power DE Day Ahead,2014-01-01T22:00,15.1
EPEX SPOT Power DE Day Ahead,2014-01-01T23:00,12.95
EPEX SPOT Power DE Day Ahead,2014-01-02T00:00,7.66
EPEX SPOT Power DE Day Ahead,2014-01-02T01:00,7.02
EPEX SPOT Power DE Day Ahead,2014-01-02T02:00,1.92
EPEX SPOT Power DE Day Ahead,2014-01-02T03:00,-0.04
EPEX SPOT Power DE Day Ahead,2014-01-02T04:00,0.06
EPEX SPOT Power DE Day Ahead,2014-01-02T05:00,7.06
EPEX SPOT Power DE Day Ahead,2014-01-02T06:00,11.8
EPEX SPOT Power DE Day Ahead,2014-01-02T07:00,21.31
EPEX SPOT Power DE Day Ahead,2014-01-02T08:00,30.44
EPEX SPOT Power DE Day Ahead,2014-01-02T09:00,30.63
EPEX SPOT Power DE Day Ahead,2014-01-02T10:00,30.86
EPEX SPOT Power DE Day Ahead,2014-01-02T11:00,33.78
EPEX SPOT Power DE Day Ahead,2014-01-02T12:00,37.97
EPEX SPOT Power DE Day Ahead,2014-01-02T13:00,37.42
EPEX SPOT Power DE Day Ahead,2014-01-02T14:00,36.24
EPEX SPOT Power DE Day Ahead,2014-01-02T15:00,32.18
EPEX SPOT Power DE Day Ahead,2014-01-02T16:00,33.56
EPEX SPOT Power DE Day Ahead,2014-01-02T17:00,52.94
EPEX SPOT Power DE Day Ahead,2014-01-02T18:00,62.33
EPEX SPOT Power DE Day Ahead,2014-01-02T19:00,53.53
