scenario_name,building_name,parameter_set,linearization_type,initial_state_type,price_type,timestep_start,timestep_end,timestep_interval
NL_1598100000017067,NL_1598100000017067,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000017074,NL_1598100000017074,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000017075,NL_1598100000017075,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000017086,NL_1598100000017086,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000017087,NL_1598100000017087,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000017140,NL_1598100000017140,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000016877,NL_1598100000016877,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000016954,NL_1598100000016954,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000017068,NL_1598100000017068,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000017072,NL_1598100000017072,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000017077,NL_1598100000017077,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000017090,NL_1598100000017090,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000016883,NL_1598100000016883,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000016910,NL_1598100000016910,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000016939,NL_1598100000016939,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000016955,NL_1598100000016955,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000016956,NL_1598100000016956,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000016957,NL_1598100000016957,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000016962,NL_1598100000016962,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000016972,NL_1598100000016972,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000016978,NL_1598100000016978,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000016985,NL_1598100000016985,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000016992,NL_1598100000016992,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000017064,NL_1598100000017064,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000017070,NL_1598100000017070,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000017082,NL_1598100000017082,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000017084,NL_1598100000017084,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000017143,NL_1598100000017143,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000017158,NL_1598100000017158,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000017169,NL_1598100000017169,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000017172,NL_1598100000017172,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000017177,NL_1598100000017177,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000017203,NL_1598100000017203,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000017204,NL_1598100000017204,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000023221,NL_1598100000023221,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000023222,NL_1598100000023222,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000023223,NL_1598100000023223,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000023224,NL_1598100000023224,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000023225,NL_1598100000023225,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000023226,NL_1598100000023226,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000023227,NL_1598100000023227,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000023228,NL_1598100000023228,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000023229,NL_1598100000023229,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000023418,NL_1598100000023418,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000023419,NL_1598100000023419,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000023422,NL_1598100000023422,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
NL_1598100000023423,NL_1598100000023423,NL_parameters,linearization_1,initial_state_1,wholesale,2017-01-02T00:00:00,2017-01-31T00:00:00,01:00:00
