building_name,zone_name,direction_name,surface_name,surface_type,surface_area,surface_comment
NL_1598100000017067,zone,north,surface_exterior_north,NL.N.SFH.01.Gen.ReEx.001.003_wall,99.33911979554638,
NL_1598100000017074,zone,north,surface_exterior_north,NA_generic_wall,283.3735225025982,
NL_1598100000017075,zone,north,surface_exterior_north,NA_generic_wall,53.06352123904206,
NL_1598100000017086,zone,north,surface_exterior_north,NA_generic_wall,158.78206426452198,
NL_1598100000017087,zone,north,surface_exterior_north,NA_generic_wall,6.948385852694647,
NL_1598100000017140,zone,north,surface_exterior_north,NL.N.SFH.04.Gen.ReEx.001.001_wall,42.40229065042023,
NL_1598100000016877,zone,north,surface_exterior_north,NA_generic_wall,428.5852535596285,
NL_1598100000016954,zone,north,surface_exterior_north,NL.N.SFH.04.Gen.ReEx.001.003_wall,97.26110751147598,
NL_1598100000017068,zone,north,surface_exterior_north,NL.N.SFH.01.Gen.ReEx.001.001_wall,33.42055471556024,
NL_1598100000017072,zone,north,surface_exterior_north,NA_generic_wall,40.542122047356315,
NL_1598100000017077,zone,north,surface_exterior_north,NL.N.SFH.03.Gen.ReEx.001.001_wall,43.5918012633716,
NL_1598100000017090,zone,north,surface_exterior_north,NL.N.SFH.03.Gen.ReEx.001.003_wall,34.99558455504468,
NL_1598100000016910,zone,north,surface_exterior_north,NL.N.SFH.03.Gen.ReEx.001.003_wall,76.12783120621422,
NL_1598100000016939,zone,north,surface_exterior_north,NL.N.SFH.01.Gen.ReEx.001.001_wall,106.35611152455508,
NL_1598100000016955,zone,north,surface_exterior_north,NL.N.SFH.04.Gen.ReEx.001.003_wall,83.53936640860013,
NL_1598100000016956,zone,north,surface_exterior_north,NL.N.SFH.04.Gen.ReEx.001.003_wall,27.40462561956069,
NL_1598100000016957,zone,north,surface_exterior_north,NL.N.SFH.04.Gen.ReEx.001.001_wall,132.54539980687736,
NL_1598100000016962,zone,north,surface_exterior_north,NL.N.SFH.04.Gen.ReEx.001.002_wall,108.31957959386638,
NL_1598100000016972,zone,north,surface_exterior_north,NL.N.SFH.02.Gen.ReEx.001.001_wall,97.01025860147708,
NL_1598100000016978,zone,north,surface_exterior_north,NL.N.SFH.01.Gen.ReEx.001.001_wall,64.65356467635648,
NL_1598100000016985,zone,north,surface_exterior_north,NA_generic_wall,59.59344492805448,
NL_1598100000016992,zone,north,surface_exterior_north,NL.N.MFH.04.Gen.ReEx.001.002_wall,166.0473929877355,
NL_1598100000017064,zone,north,surface_exterior_north,NL.N.SFH.02.Gen.ReEx.001.003_wall,120.34797224404896,
NL_1598100000017070,zone,north,surface_exterior_north,NL.N.SFH.01.Gen.ReEx.001.001_wall,84.67521727939723,
NL_1598100000017082,zone,north,surface_exterior_north,NA_generic_wall,106.92359720293136,
NL_1598100000017084,zone,north,surface_exterior_north,NA_generic_wall,170.58155443644745,
NL_1598100000017143,zone,north,surface_exterior_north,NL.N.SFH.01.Gen.ReEx.001.001_wall,58.9755052226971,
NL_1598100000017158,zone,north,surface_exterior_north,NL.N.SFH.01.Gen.ReEx.001.001_wall,37.14684725008391,
NL_1598100000017169,zone,north,surface_exterior_north,NL.N.SFH.01.Gen.ReEx.001.002_wall,27.57713624129234,
NL_1598100000017172,zone,north,surface_exterior_north,NL.N.SFH.03.Gen.ReEx.001.002_wall,282.30404616278355,
NL_1598100000017177,zone,north,surface_exterior_north,NL.N.SFH.01.Gen.ReEx.001.002_wall,31.80507233375133,
NL_1598100000017203,zone,north,surface_exterior_north,NL.N.SFH.05.Gen.ReEx.001.001_wall,51.84755927212869,
NL_1598100000017204,zone,north,surface_exterior_north,NL.N.SFH.05.Gen.ReEx.001.002_wall,87.9189101609726,
NL_1598100000023221,zone,north,surface_exterior_north,NL.N.SFH.05.Gen.ReEx.001.003_wall,103.89689268806937,
NL_1598100000023223,zone,north,surface_exterior_north,NL.N.SFH.05.Gen.ReEx.001.001_wall,99.81203707121647,
NL_1598100000023225,zone,north,surface_exterior_north,NA_generic_wall,76.19819400553754,
NL_1598100000023226,zone,north,surface_exterior_north,NL.N.SFH.05.Gen.ReEx.001.002_wall,121.03007332916842,
NL_1598100000023227,zone,north,surface_exterior_north,NL.N.SFH.05.Gen.ReEx.001.002_wall,117.77886102342492,
NL_1598100000023228,zone,north,surface_exterior_north,NL.N.SFH.05.Gen.ReEx.001.001_wall,51.644285477697764,
NL_1598100000023229,zone,north,surface_exterior_north,NA_generic_wall,41.57839229782018,
NL_1598100000023418,zone,north,surface_exterior_north,NL.N.SFH.05.Gen.ReEx.001.001_wall,49.32656772643662,
NL_1598100000023419,zone,north,surface_exterior_north,NL.N.SFH.05.Gen.ReEx.001.001_wall,49.330031510166656,
NL_1598100000023422,zone,north,surface_exterior_north,NL.N.TH.05.End.ReEx.001.002_wall,71.88562478957223,
NL_1598100000023669,zone,north,surface_exterior_north,NL.N.SFH.05.Gen.ReEx.001.003_wall,29.69003906674387,
NL_1598100000023814,zone,north,surface_exterior_north,NL.N.SFH.05.Gen.ReEx.001.003_wall,76.49122432308853,
NL_1598100000024039,zone,north,surface_exterior_north,NL.N.SFH.05.Gen.ReEx.001.001_wall,39.08588966727592,
NL_1598100000024610,zone,north,surface_exterior_north,NL.N.TH.05.End.ReEx.001.002_wall,23.474336280844685,
NL_1598100000024611,zone,north,surface_exterior_north,NL.N.TH.05.Gen.ReEx.001.001_wall,22.70000732200739,
NL_1598100000024612,zone,north,surface_exterior_north,NL.N.TH.05.Gen.ReEx.001.001_wall,23.01785091430516,
NL_1598100000024613,zone,north,surface_exterior_north,NL.N.TH.05.End.ReEx.001.002_wall,20.044183564722776,
NL_1598100000025140,zone,north,surface_exterior_north,NL.N.SFH.06.Gen.ReEx.001.003_wall,38.519843531416655,
NL_1598100000025392,zone,north,surface_exterior_north,NL.N.SFH.06.Gen.ReEx.001.001_wall,40.103846601477514,
NL_1598100000026274,zone,north,surface_exterior_north,NL.N.SFH.06.Gen.ReEx.001.001_wall,102.38253761391577,
NL_1598100000025632,zone,north,surface_exterior_north,NL.N.SFH.06.Gen.ReEx.001.001_wall,72.4338528920466,
NL_1598100000016886,zone,north,surface_exterior_north,NL.N.SFH.02.Gen.ReEx.001.001_wall,118.49210993117819,
NL_1598100000016887,zone,north,surface_exterior_north,NL.N.SFH.01.Gen.ReEx.001.001_wall,110.41830252590307,
NL_1598100000016891,zone,north,surface_exterior_north,NL.N.SFH.01.Gen.ReEx.001.001_wall,35.546064428579115,
NL_1598100000016893,zone,north,surface_exterior_north,NL.N.SFH.03.Gen.ReEx.001.002_wall,116.91577492942724,
NL_1598100000016902,zone,north,surface_exterior_north,NL.N.SFH.02.Gen.ReEx.001.001_wall,86.40787666590813,
NL_1598100000016903,zone,north,surface_exterior_north,NL.N.SFH.02.Gen.ReEx.001.002_wall,97.3170755315729,
NL_1598100000016959,zone,north,surface_exterior_north,NL.N.SFH.02.Gen.ReEx.001.002_wall,41.48138400379115,
