weather_type,time,ambient_air_temperature,sky_temperature,ambient_air_absolute_humidity,irradiation_horizontal,irradiation_east,irradiation_south,irradiation_west,irradiation_north
cabauw_knmi,2016-01-01T01:00:00,6.94,-4.06,0.005107927,0,0,0,0,0
cabauw_knmi,2016-01-01T02:00:00,6.07,-4.93,0.005147183,0,0,0,0,0
cabauw_knmi,2016-01-01T03:00:00,6.28,-4.72,0.005375561,0,0,0,0,0
cabauw_knmi,2016-01-01T04:00:00,3.97,-7.03,0.004797037,0,0,0,0,0
cabauw_knmi,2016-01-01T05:00:00,3.3,-7.7,0.004599248,0,0,0,0,0
cabauw_knmi,2016-01-01T06:00:00,2.36,-8.64,0.004327181,0,0,0,0,0
cabauw_knmi,2016-01-01T07:00:00,2.62,-8.38,0.004458138,0,0,0,0,0
cabauw_knmi,2016-01-01T08:00:00,2.53,-8.47,0.004489354,0,0,0,0,0
cabauw_knmi,2016-01-01T09:00:00,1.99,-9.01,0.004325532,9.625487513,7.743405747,7.44645966,5.762548751,5.762548751
cabauw_knmi,2016-01-01T10:00:00,1.78,-9.22,0.004236672,39.83252003,24.49587156,24.70122306,23.833252,23.833252
cabauw_knmi,2016-01-01T11:00:00,1.75,-9.25,0.004249789,89.35864495,71.87872267,101.7002915,47.48586449,47.48586449
cabauw_knmi,2016-01-01T12:00:00,4.97,-6.03,0.005232133,207.4325284,147.0653141,501.9984674,67.79325284,67.79325284
cabauw_knmi,2016-01-01T13:00:00,5.8,-5.2,0.005294757,173.0125488,62.10125488,374.3499603,83.41563216,62.10125488
cabauw_knmi,2016-01-01T14:00:00,5.69,-5.31,0.005325737,131.7196097,65.77196097,173.5556619,100.8197015,65.77196097
cabauw_knmi,2016-01-01T15:00:00,4.69,-6.31,0.00525664,43.46164165,25.99616416,26.83742868,26.51205756,25.99616416
cabauw_knmi,2016-01-01T16:00:00,4.5,-6.5,0.005191727,11.86346501,7.086346501,7.802003199,7.781909354,7.086346501
cabauw_knmi,2016-01-01T17:00:00,4.4,-6.6,0.005155177,0,0,0,0,0
cabauw_knmi,2016-01-01T18:00:00,4.7,-6.3,0.005270704,0,0,0,0,0
cabauw_knmi,2016-01-01T19:00:00,5.15,-5.85,0.005391841,0,0,0,0,0
cabauw_knmi,2016-01-01T20:00:00,5.62,-5.38,0.005373559,0,0,0,0,0
cabauw_knmi,2016-01-01T21:00:00,5.41,-5.59,0.005211144,0,0,0,0,0
cabauw_knmi,2016-01-01T22:00:00,5.04,-5.96,0.005097814,0,0,0,0,0
cabauw_knmi,2016-01-01T23:00:00,5.23,-5.77,0.005099369,0,0,0,0,0
cabauw_knmi,2016-01-02T00:00:00,5.39,-5.61,0.00506182,0,0,0,0,0
cabauw_knmi,2016-01-02T01:00:00,5.46,-5.54,0.004980103,0,0,0,0,0
cabauw_knmi,2016-01-02T02:00:00,5.45,-5.55,0.004922905,0,0,0,0,0
cabauw_knmi,2016-01-02T03:00:00,5.59,-5.41,0.004828162,0,0,0,0,0
cabauw_knmi,2016-01-02T04:00:00,5.65,-5.35,0.004738757,0,0,0,0,0
cabauw_knmi,2016-01-02T05:00:00,5.65,-5.35,0.004714555,0,0,0,0,0
cabauw_knmi,2016-01-02T06:00:00,5.4,-5.6,0.004660073,0,0,0,0,0
cabauw_knmi,2016-01-02T07:00:00,5.3,-5.7,0.004674675,0,0,0,0,0
cabauw_knmi,2016-01-02T08:00:00,4.9,-6.1,0.004870777,0,0,0,0,0
cabauw_knmi,2016-01-02T09:00:00,4.93,-6.07,0.004965142,0,0,0,0,0
cabauw_knmi,2016-01-02T10:00:00,4.8,-6.2,0.005046538,22,13.2,13.2,13.2,13.2
