window_type,heat_transfer_coefficient_conduction_window,absorptivity_window,emissivity_window
NL.N.SFH.04.Gen.ReEx.001.001_window,2.303888888888889,0.45,0.95
NL.N.SFH.04.Gen.ReEx.001.002_window,1.8,0.45,0.95
NL.N.SFH.04.Gen.ReEx.001.003_window,1.0,0.45,0.95
NL.N.SFH.05.Gen.ReEx.001.001_window,1.8,0.45,0.95
NL.N.SFH.05.Gen.ReEx.001.002_window,1.8,0.45,0.95
NL.N.SFH.05.Gen.ReEx.001.003_window,1.0,0.45,0.95
NL.N.SFH.06.Gen.ReEx.001.001_window,1.8,0.45,0.95
NL.N.SFH.06.Gen.ReEx.001.003_window,1.0,0.45,0.95
NL.N.SFH.01.Gen.ReEx.001.001_window,3.551802120141343,0.45,0.95
NL.N.SFH.01.Gen.ReEx.001.002_window,1.8,0.45,0.95
NL.N.SFH.01.Gen.ReEx.001.003_window,1.0,0.45,0.95
NL.N.SFH.02.Gen.ReEx.001.001_window,3.3945367412140572,0.45,0.95
NL.N.SFH.02.Gen.ReEx.001.002_window,1.8,0.45,0.95
NL.N.SFH.02.Gen.ReEx.001.003_window,1.0,0.45,0.95
NL.N.TH.04.End.ReEx.001.002_window,1.8,0.45,0.95
NL.N.TH.05.End.ReEx.001.002_window,1.8,0.45,0.95
NL.N.TH.04.Gen.ReEx.001.001_window,2.1557339449541284,0.45,0.95
NL.N.TH.04.Gen.ReEx.001.002_window,1.8,0.45,0.95
NL.N.MFH.04.Gen.ReEx.001.002_window,1.8,0.45,0.95
NL.N.TH.05.Gen.ReEx.001.001_window,1.8,0.45,0.95
NL.N.SFH.03.Gen.ReEx.001.001_window,3.1996969696969697,0.45,0.95
NL.N.SFH.03.Gen.ReEx.001.002_window,1.8,0.45,0.95
NL.N.SFH.03.Gen.ReEx.001.003_window,1.0,0.45,0.95
NL.N.TH.01.Mid1964.ReEx.001.001_window,3.5996728971962613,0.45,0.95
NL.N.TH.01.Mid1964.ReEx.001.002_window,1.8000000000000003,0.45,0.95
NL.N.TH.01.End1964.ReEx.001.001_window,3.5453879310344822,0.45,0.95
NA_generic_window,2.0,0.45,0.95
