building_name,weather_type,building_storage_type
NL_1598100000017067,cabauw_knmi,
NL_1598100000017074,cabauw_knmi,
NL_1598100000017075,cabauw_knmi,
NL_1598100000017086,cabauw_knmi,
NL_1598100000017087,cabauw_knmi,
NL_1598100000017140,cabauw_knmi,
NL_1598100000016877,cabauw_knmi,
NL_1598100000016954,cabauw_knmi,
NL_1598100000017068,cabauw_knmi,
NL_1598100000017072,cabauw_knmi,
NL_1598100000017077,cabauw_knmi,
NL_1598100000017090,cabauw_knmi,
NL_1598100000016883,cabauw_knmi,
NL_1598100000016910,cabauw_knmi,
NL_1598100000016939,cabauw_knmi,
NL_1598100000016955,cabauw_knmi,
NL_1598100000016956,cabauw_knmi,
NL_1598100000016957,cabauw_knmi,
NL_1598100000016962,cabauw_knmi,
NL_1598100000016972,cabauw_knmi,
NL_1598100000016978,cabauw_knmi,
NL_1598100000016985,cabauw_knmi,
NL_1598100000016992,cabauw_knmi,
NL_1598100000017064,cabauw_knmi,
NL_1598100000017070,cabauw_knmi,
NL_1598100000017082,cabauw_knmi,
NL_1598100000017084,cabauw_knmi,
NL_1598100000017143,cabauw_knmi,
NL_1598100000017158,cabauw_knmi,
NL_1598100000017169,cabauw_knmi,
NL_1598100000017172,cabauw_knmi,
NL_1598100000017177,cabauw_knmi,
NL_1598100000017203,cabauw_knmi,
NL_1598100000017204,cabauw_knmi,
NL_1598100000023221,cabauw_knmi,
NL_1598100000023222,cabauw_knmi,
NL_1598100000023223,cabauw_knmi,
NL_1598100000023224,cabauw_knmi,
NL_1598100000023225,cabauw_knmi,
NL_1598100000023226,cabauw_knmi,
NL_1598100000023227,cabauw_knmi,
NL_1598100000023228,cabauw_knmi,
NL_1598100000023229,cabauw_knmi,
NL_1598100000023418,cabauw_knmi,
NL_1598100000023419,cabauw_knmi,
NL_1598100000023422,cabauw_knmi,
NL_1598100000023423,cabauw_knmi,
NL_1598100000023424,cabauw_knmi,
NL_1598100000023669,cabauw_knmi,
NL_1598100000023814,cabauw_knmi,
NL_1598100000024039,cabauw_knmi,
NL_1598100000024610,cabauw_knmi,
NL_1598100000024611,cabauw_knmi,
NL_1598100000024612,cabauw_knmi,
NL_1598100000024613,cabauw_knmi,
NL_1598100000025140,cabauw_knmi,
NL_1598100000025392,cabauw_knmi,
NL_1598100000026274,cabauw_knmi,
NL_1598100000025632,cabauw_knmi,
NL_1598100000016886,cabauw_knmi,
NL_1598100000016887,cabauw_knmi,
NL_1598100000016891,cabauw_knmi,
NL_1598100000016893,cabauw_knmi,
NL_1598100000016900,cabauw_knmi,
NL_1598100000016902,cabauw_knmi,
NL_1598100000016903,cabauw_knmi,
NL_1598100000016905,cabauw_knmi,
NL_1598100000016959,cabauw_knmi,
NL_1598100000016964,cabauw_knmi,
NL_1598100000016965,cabauw_knmi,
NL_1598100000016970,cabauw_knmi,
NL_1598100000016971,cabauw_knmi,
NL_1598100000016973,cabauw_knmi,
NL_1598100000016977,cabauw_knmi,
NL_1598100000016981,cabauw_knmi,
NL_1598100000016982,cabauw_knmi,
NL_1598100000016984,cabauw_knmi,
NL_1598100000016986,cabauw_knmi,
NL_1598100000017002,cabauw_knmi,
NL_1598100000017062,cabauw_knmi,
NL_1598100000017095,cabauw_knmi,
NL_1598100000017101,cabauw_knmi,
NL_1598100000017122,cabauw_knmi,
NL_1598100000017124,cabauw_knmi,
NL_1598100000017129,cabauw_knmi,
NL_1598100000017133,cabauw_knmi,
NL_1598100000017134,cabauw_knmi,
NL_1598100000017146,cabauw_knmi,
NL_1598100000017148,cabauw_knmi,
NL_1598100000017154,cabauw_knmi,
NL_1598100000017161,cabauw_knmi,
NL_1598100000017163,cabauw_knmi,
NL_1598100000017173,cabauw_knmi,
NL_1598100000017198,cabauw_knmi,
NL_1598100000023049,cabauw_knmi,
NL_1598100000016879,cabauw_knmi,
NL_1598100000016880,cabauw_knmi,
NL_1598100000016882,cabauw_knmi,
NL_1598100000016884,cabauw_knmi,
NL_1598100000016885,cabauw_knmi,
NL_1598100000016894,cabauw_knmi,
NL_1598100000016895,cabauw_knmi,
NL_1598100000016896,cabauw_knmi,
NL_1598100000016897,cabauw_knmi,
NL_1598100000016898,cabauw_knmi,
NL_1598100000016899,cabauw_knmi,
NL_1598100000016901,cabauw_knmi,
