constraint_type,time_period,minimum_air_temperature,maximum_air_temperature,minimum_fresh_air_flow_per_area,minimum_fresh_air_flow_per_person,maximum_co2_concentration,minimum_fresh_air_flow_per_area_no_dcv,minimum_relative_humidity,maximum_relative_humidity
NL_residential_constraints,01T00:00,18,25,0,0,3000,0,0,100
NL_residential_constraints,01T01:00,18,25,0,0,3000,0,0,100
NL_residential_constraints,01T02:00,18,25,0,0,3000,0,0,100
NL_residential_constraints,01T03:00,18,25,0,0,3000,0,0,100
NL_residential_constraints,01T04:00,18,25,0,0,3000,0,0,100
NL_residential_constraints,01T05:00,18,25,0,0,3000,0,0,100
NL_residential_constraints,01T06:00,21,25,0,0,3000,0,0,100
NL_residential_constraints,01T07:00,21,25,0,0,3000,0,0,100
NL_residential_constraints,01T08:00,21,25,0,0,3000,0,0,100
NL_residential_constraints,01T09:00,21,25,0,0,3000,0,0,100
NL_residential_constraints,01T10:00,21,30,0,0,3000,0,0,100
NL_residential_constraints,01T11:00,21,30,0,0,3000,0,0,100
NL_residential_constraints,01T12:00,21,30,0,0,3000,0,0,100
NL_residential_constraints,01T13:00,21,30,0,0,3000,0,0,100
NL_residential_constraints,01T14:00,21,30,0,0,3000,0,0,100
NL_residential_constraints,01T15:00,21,30,0,0,3000,0,0,100
NL_residential_constraints,01T16:00,21,30,0,0,3000,0,0,100
NL_residential_constraints,01T17:00,21,25,0,0,3000,0,0,100
NL_residential_constraints,01T18:00,21,25,0,0,3000,0,0,100
NL_residential_constraints,01T19:00,21,25,0,0,3000,0,0,100
NL_residential_constraints,01T20:00,21,25,0,0,3000,0,0,100
NL_residential_constraints,01T21:00,21,25,0,0,3000,0,0,100
NL_residential_constraints,01T22:00,21,25,0,0,3000,0,0,100
NL_residential_constraints,01T23:00,21,25,0,0,3000,0,0,100
NL_residential_constraints,06T00:00,18,25,0,0,3000,0,0,100
NL_residential_constraints,06T01:00,18,25,0,0,3000,0,0,100
NL_residential_constraints,06T02:00,18,25,0,0,3000,0,0,100
NL_residential_constraints,06T03:00,18,25,0,0,3000,0,0,100
NL_residential_constraints,06T04:00,18,25,0,0,3000,0,0,100
NL_residential_constraints,06T05:00,18,25,0,0,3000,0,0,100
NL_residential_constraints,06T06:00,21,25,0,0,3000,0,0,100
NL_residential_constraints,06T07:00,21,25,0,0,3000,0,0,100
NL_residential_constraints,06T08:00,21,25,0,0,3000,0,0,100
NL_residential_constraints,06T09:00,21,25,0,0,3000,0,0,100
NL_residential_constraints,06T10:00,21,30,0,0,3000,0,0,100
NL_residential_constraints,06T11:00,21,30,0,0,3000,0,0,100
NL_residential_constraints,06T12:00,21,30,0,0,3000,0,0,100
NL_residential_constraints,06T13:00,21,30,0,0,3000,0,0,100
NL_residential_constraints,06T14:00,21,30,0,0,3000,0,0,100
NL_residential_constraints,06T15:00,21,30,0,0,3000,0,0,100
NL_residential_constraints,06T16:00,21,30,0,0,3000,0,0,100
NL_residential_constraints,06T17:00,21,25,0,0,3000,0,0,100
NL_residential_constraints,06T18:00,21,25,0,0,3000,0,0,100
NL_residential_constraints,06T19:00,21,25,0,0,3000,0,0,100
NL_residential_constraints,06T20:00,21,25,0,0,3000,0,0,100
NL_residential_constraints,06T21:00,21,25,0,0,3000,0,0,100
NL_residential_constraints,06T22:00,21,25,0,0,3000,0,0,100
NL_residential_constraints,06T23:00,21,25,0,0,3000,0,0,100
NL_generic_constraints,01T00:00,21,25,0,0,3000,0,0,100
NL_generic_constraints,01T01:00,21,25,0,0,3000,0,0,100
NL_generic_constraints,01T02:00,21,25,0,0,3000,0,0,100
NL_generic_constraints,01T03:00,21,25,0,0,3000,0,0,100
NL_generic_constraints,01T04:00,21,25,0,0,3000,0,0,100
NL_generic_constraints,01T05:00,21,25,0,0,3000,0,0,100
NL_generic_constraints,01T06:00,21,25,0,0,3000,0,0,100
NL_generic_constraints,01T07:00,21,25,0,0,3000,0,0,100
NL_generic_constraints,01T08:00,21,25,0,0,3000,0,0,100
NL_generic_constraints,01T09:00,21,25,0,0,3000,0,0,100
NL_generic_constraints,01T10:00,21,25,0,0,3000,0,0,100
NL_generic_constraints,01T11:00,21,25,0,0,3000,0,0,100
NL_generic_constraints,01T12:00,21,25,0,0,3000,0,0,100
NL_generic_constraints,01T13:00,21,25,0,0,3000,0,0,100
NL_generic_constraints,01T14:00,21,25,0,0,3000,0,0,100
NL_generic_constraints,01T15:00,21,25,0,0,3000,0,0,100
NL_generic_constraints,01T16:00,21,25,0,0,3000,0,0,100
NL_generic_constraints,01T17:00,21,25,0,0,3000,0,0,100
NL_generic_constraints,01T18:00,21,25,0,0,3000,0,0,100
NL_generic_constraints,01T19:00,21,25,0,0,3000,0,0,100
NL_generic_constraints,01T20:00,21,25,0,0,3000,0,0,100
NL_generic_constraints,01T21:00,21,25,0,0,3000,0,0,100
NL_generic_constraints,01T22:00,21,25,0,0,3000,0,0,100
NL_generic_constraints,01T23:00,21,25,0,0,3000,0,0,100
NL_retail_constraints,01T00:00,5,30,0,0,3000,0,0,100
NL_retail_constraints,01T01:00,5,30,0,0,3000,0,0,100
NL_retail_constraints,01T02:00,5,30,0,0,3000,0,0,100
NL_retail_constraints,01T03:00,5,30,0,0,3000,0,0,100
NL_retail_constraints,01T04:00,5,30,0,0,3000,0,0,100
NL_retail_constraints,01T05:00,5,30,0,0,3000,0,0,100
NL_retail_constraints,01T06:00,5,30,0,0,3000,0,0,100
NL_retail_constraints,01T07:00,5,30,0,0,3000,0,0,100
NL_retail_constraints,01T08:00,20,25,0,0,3000,0,0,100
NL_retail_constraints,01T09:00,20,25,0,0,3000,0,0,100
NL_retail_constraints,01T10:00,20,25,0,0,3000,0,0,100
NL_retail_constraints,01T11:00,20,25,0,0,3000,0,0,100
NL_retail_constraints,01T12:00,20,25,0,0,3000,0,0,100
NL_retail_constraints,01T13:00,20,25,0,0,3000,0,0,100
NL_retail_constraints,01T14:00,20,25,0,0,3000,0,0,100
NL_retail_constraints,01T15:00,20,25,0,0,3000,0,0,100
NL_retail_constraints,01T16:00,20,25,0,0,3000,0,0,100
NL_retail_constraints,01T17:00,20,25,0,0,3000,0,0,100
NL_retail_constraints,01T18:00,20,25,0,0,3000,0,0,100
NL_retail_constraints,01T19:00,20,25,0,0,3000,0,0,100
NL_retail_constraints,01T20:00,20,25,0,0,3000,0,0,100
NL_retail_constraints,01T21:00,5,30,0,0,3000,0,0,100
NL_retail_constraints,01T22:00,5,30,0,0,3000,0,0,100
NL_retail_constraints,01T23:00,5,30,0,0,3000,0,0,100
NL_retail_constraints,07T00:00,5,30,0,0,3000,0,0,100
NL_retail_constraints,07T01:00,5,30,0,0,3000,0,0,100
NL_retail_constraints,07T02:00,5,30,0,0,3000,0,0,100
NL_retail_constraints,07T03:00,5,30,0,0,3000,0,0,100
NL_retail_constraints,07T04:00,5,30,0,0,3000,0,0,100
NL_retail_constraints,07T05:00,5,30,0,0,3000,0,0,100
