surface_type,heat_capacity,thermal_resistance_surface,absorptivity,emissivity,window_type,window_wall_ratio,sky_view_factor
NL.N.SFH.04.Gen.ReEx.001.001_wall,306000.0,2.7900000005301,0.6,0.9,NL.N.SFH.04.Gen.ReEx.001.001_window,0.22416452442159385,0.5
NL.N.SFH.04.Gen.ReEx.001.002_wall,306000.0,6.2899999969808,0.6,0.9,NL.N.SFH.04.Gen.ReEx.001.002_window,0.22416452442159385,0.5
NL.N.SFH.04.Gen.ReEx.001.003_wall,306000.0,7.7899999848095,0.6,0.9,NL.N.SFH.04.Gen.ReEx.001.003_window,0.22416452442159385,0.5
NL.N.SFH.05.Gen.ReEx.001.001_wall,306000.0,3.7599999972928,0.6,0.9,NL.N.SFH.05.Gen.ReEx.001.001_window,0.19053819444444442,0.5
NL.N.SFH.05.Gen.ReEx.001.002_wall,306000.0,7.2599999911427995,0.6,0.9,NL.N.SFH.05.Gen.ReEx.001.002_window,0.19053819444444442,0.5
NL.N.SFH.05.Gen.ReEx.001.003_wall,306000.0,8.7600000108624,0.6,0.9,NL.N.SFH.05.Gen.ReEx.001.003_window,0.19053819444444442,0.5
NL.N.SFH.06.Gen.ReEx.001.001_wall,306000.0,4.7599999912416,0.6,0.9,NL.N.SFH.06.Gen.ReEx.001.001_window,0.19053819444444442,0.5
NL.N.SFH.06.Gen.ReEx.001.003_wall,306000.0,9.7600000374784,0.6,0.9,NL.N.SFH.06.Gen.ReEx.001.003_window,0.19053819444444442,0.5
NL.N.SFH.01.Gen.ReEx.001.001_wall,306000.0,0.6199999999256,0.6,0.9,NL.N.SFH.01.Gen.ReEx.001.001_window,0.18582489577129246,0.5
NL.N.SFH.01.Gen.ReEx.001.002_wall,306000.0,4.1199999932432,0.6,0.9,NL.N.SFH.01.Gen.ReEx.001.002_window,0.18582489577129246,0.5
NL.N.SFH.01.Gen.ReEx.001.003_wall,306000.0,5.6200000019108,0.6,0.9,NL.N.SFH.01.Gen.ReEx.001.003_window,0.18582489577129246,0.5
NL.N.SFH.02.Gen.ReEx.001.001_wall,306000.0,0.6900000001518,0.6,0.9,NL.N.SFH.02.Gen.ReEx.001.001_window,0.24075416968817986,0.5
NL.N.SFH.02.Gen.ReEx.001.002_wall,306000.0,4.1900000085475995,0.6,0.9,NL.N.SFH.02.Gen.ReEx.001.002_window,0.24075416968817986,0.5
NL.N.SFH.02.Gen.ReEx.001.003_wall,306000.0,5.6900000138836,0.6,0.9,NL.N.SFH.02.Gen.ReEx.001.003_window,0.24075416968817986,0.5
NL.N.TH.04.End.ReEx.001.002_wall,306000.0,6.2899999969808,0.6,0.9,NL.N.TH.04.End.ReEx.001.002_window,0.1917098445595855,0.5
NL.N.TH.05.End.ReEx.001.002_wall,306000.0,7.2599999911427995,0.6,0.9,NL.N.TH.05.End.ReEx.001.002_window,0.2245557350565428,0.5
NL.N.TH.04.Gen.ReEx.001.001_wall,306000.0,2.7900000005301,0.6,0.9,NL.N.TH.04.Gen.ReEx.001.001_window,0.3256756756756757,0.5
NL.N.TH.04.Gen.ReEx.001.002_wall,306000.0,6.2899999969808,0.6,0.9,NL.N.TH.04.Gen.ReEx.001.002_window,0.3256756756756757,0.5
NL.N.MFH.04.Gen.ReEx.001.002_wall,306000.0,6.2899999969808,0.6,0.9,NL.N.MFH.04.Gen.ReEx.001.002_window,0.301295570955107,0.5
NL.N.TH.05.Gen.ReEx.001.001_wall,306000.0,3.7599999972928,0.6,0.9,NL.N.TH.05.Gen.ReEx.001.001_window,0.4153605015673981,0.5
NL.N.SFH.03.Gen.ReEx.001.001_wall,306000.0,1.5600000000624,0.6,0.9,NL.N.SFH.03.Gen.ReEx.001.001_window,0.22658126501200962,0.5
NL.N.SFH.03.Gen.ReEx.001.002_wall,306000.0,5.0600000127512,0.6,0.9,NL.N.SFH.03.Gen.ReEx.001.002_window,0.22658126501200962,0.5
NL.N.SFH.03.Gen.ReEx.001.003_wall,306000.0,6.5600000167936,0.6,0.9,NL.N.SFH.03.Gen.ReEx.001.003_window,0.22658126501200962,0.5
NL.N.TH.01.Mid1964.ReEx.001.001_wall,306000.0,0.6199999999256,0.6,0.9,NL.N.TH.01.Mid1964.ReEx.001.001_window,0.34923076923076923,0.5
NL.N.TH.01.Mid1964.ReEx.001.002_wall,306000.0,4.1199999932432,0.6,0.9,NL.N.TH.01.Mid1964.ReEx.001.002_window,0.34923076923076923,0.5
NL.N.TH.01.End1964.ReEx.001.001_wall,306000.0,0.6199999999256,0.6,0.9,NL.N.TH.01.End1964.ReEx.001.001_window,0.20450751252086816,0.5
NA_generic_wall,306000.0,2.0,0.6,0.9,NA_generic_window,0.5,0.5
NL.N.SFH.04.Gen.ReEx.001.001_roof,50000.0,2.7900000005301,0.65,0.9,NL.N.SFH.04.Gen.ReEx.001.001_window,0.0,1.0
NL.N.SFH.04.Gen.ReEx.001.002_roof,50000.0,6.2899999969808,0.65,0.9,NL.N.SFH.04.Gen.ReEx.001.002_window,0.0,1.0
NL.N.SFH.04.Gen.ReEx.001.003_roof,50000.0,8.7899999826837,0.65,0.9,NL.N.SFH.04.Gen.ReEx.001.003_window,0.0,1.0
NL.N.SFH.05.Gen.ReEx.001.001_roof,50000.0,4.2600000006815995,0.65,0.9,NL.N.SFH.05.Gen.ReEx.001.001_window,0.0,1.0
