window_type,thermal_resistance_window,absorptivity_window,emissivity_window
NL.N.SFH.04.Gen.ReEx.001.001_window,0.4340487099107789,0.45,0.95
NL.N.SFH.04.Gen.ReEx.001.002_window,0.5555555555555556,0.45,0.95
NL.N.SFH.04.Gen.ReEx.001.003_window,1.0,0.45,0.95
NL.N.SFH.05.Gen.ReEx.001.001_window,0.5555555555555556,0.45,0.95
NL.N.SFH.05.Gen.ReEx.001.002_window,0.5555555555555556,0.45,0.95
NL.N.SFH.05.Gen.ReEx.001.003_window,1.0,0.45,0.95
NL.N.SFH.06.Gen.ReEx.001.001_window,0.5555555555555556,0.45,0.95
NL.N.SFH.06.Gen.ReEx.001.003_window,1.0,0.45,0.95
NL.N.SFH.01.Gen.ReEx.001.001_window,0.281547216363564,0.45,0.95
NL.N.SFH.01.Gen.ReEx.001.002_window,0.5555555555555556,0.45,0.95
NL.N.SFH.01.Gen.ReEx.001.003_window,1.0,0.45,0.95
NL.N.SFH.02.Gen.ReEx.001.001_window,0.29459100791536863,0.45,0.95
NL.N.SFH.02.Gen.ReEx.001.002_window,0.5555555555555556,0.45,0.95
NL.N.SFH.02.Gen.ReEx.001.003_window,1.0,0.45,0.95
NL.N.TH.04.End.ReEx.001.002_window,0.5555555555555556,0.45,0.95
NL.N.TH.05.End.ReEx.001.002_window,0.5555555555555556,0.45,0.95
NL.N.TH.04.Gen.ReEx.001.001_window,0.4638791360783062,0.45,0.95
NL.N.TH.04.Gen.ReEx.001.002_window,0.5555555555555556,0.45,0.95
NL.N.MFH.04.Gen.ReEx.001.002_window,0.5555555555555556,0.45,0.95
NL.N.TH.05.Gen.ReEx.001.001_window,0.5555555555555556,0.45,0.95
NL.N.SFH.03.Gen.ReEx.001.001_window,0.3125295956056445,0.45,0.95
NL.N.SFH.03.Gen.ReEx.001.002_window,0.5555555555555556,0.45,0.95
NL.N.SFH.03.Gen.ReEx.001.003_window,1.0,0.45,0.95
NL.N.TH.01.Mid1964.ReEx.001.001_window,0.27780301948515573,0.45,0.95
NL.N.TH.01.Mid1964.ReEx.001.002_window,0.5555555555555555,0.45,0.95
NL.N.TH.01.End1964.ReEx.001.001_window,0.28205658152286245,0.45,0.95
NA_generic_window,0.5,0.45,0.95
