der_type,der_model_name,definition_type,definition_name,power_per_unit_minimum,power_per_unit_maximum,power_factor_minimum,power_factor_maximum,energy_storage_capacity_per_unit,charging_efficiency,self_discharge_rate,marginal_cost,heat_pump_efficiency,thermal_efficiency,electric_efficiency
fixed_load,mixed_commercial_residential,schedule_per_unit,mixed_commercial_residential,,,,,,,,,,,
fixed_load,residential_landed,schedule_per_unit,residential_landed,,,,,,,,,,,
fixed_load,fixed_power_residential_ISGT,schedule_per_unit,power_residential_ISGT,,,,,,,,,,,
fixed_load,thermal_load,schedule_per_unit,thermal_load,,,,,,,,,,,
fixed_load,fixed_thermal_residential_ISGT,schedule_per_unit,thermal_residential_ISGT,,,,,,,,,,,
flexible_load,mixed_commercial_residential,schedule_per_unit,mixed_commercial_residential,0.6,1.4,,,6,,,,,,
flexible_load,residential_landed,schedule_per_unit,residential_landed,0.6,1.4,,,6,,,,,,
flexible_load,flex_power_residential_ISGT,schedule_per_unit,power_residential_ISGT,0.6,1.4,,,6,,,,,,
flexible_load,flex_thermal_residential_ISGT,schedule_per_unit,thermal_residential_ISGT,0.6,1.4,,,6,,,,,,
flexible_load,thermal_load,schedule_per_unit,thermal_load,0.6,1.4,,,6,,,,,,
fixed_generator,photovoltaic,schedule_per_unit,photovoltaic,,,,,,,,,,,
fixed_generator,solarthermal,schedule_per_unit,solarthermal,,,,,,,,,,,
flexible_generator,photovoltaic,schedule_per_unit,photovoltaic,0,1,,,,,,0.1,,,
flexible_generator,thermal,schedule_per_unit,thermal,0,1,,,,,,0.1,,,
flexible_generator,thermal_generator,schedule_per_unit,thermal_generator,0,1,,,,,,0.1,,,
fixed_ev_charger,fixed_ev_charger_generic,schedule_per_unit,fixed_ev_charger_generic,,,,,,,,,,,
cooling_plant,cooling_plant_singapore,cooling_plant,cooling_plant_singapore,,,,,,,,,,,
heat_pump,heat_pump_test,schedule_per_unit,heat_pump_test,0,1,,,6,,,0.00004,1.2,,
storage,default_battery_storage,,,0,1,,,12,0.99,0.01,,,,
storage,default_heat_storage,,,0.5,1,,,6,0.99,0.01,,,,
flexible_chp,fc_micro_chp,schedule_per_unit,fc_micro_chp,0,1,,,6,,,0.00004,,0.55,0.37
cooling_plant,heating_plant_MES,cooling_plant,heating_plant_MES,,,,,,,,,,,
