definition_name,time_period,value
mixed_commercial_residential,01T00:00,0.361608454
mixed_commercial_residential,01T00:30,0.354681705
mixed_commercial_residential,01T01:00,0.354681705
mixed_commercial_residential,01T01:30,0.349753706
mixed_commercial_residential,01T02:00,0.349753706
mixed_commercial_residential,01T02:30,0.349301151
mixed_commercial_residential,01T03:00,0.349301151
mixed_commercial_residential,01T03:30,0.350305213
mixed_commercial_residential,01T04:00,0.350305213
mixed_commercial_residential,01T04:30,0.354163818
mixed_commercial_residential,01T05:00,0.354163818
mixed_commercial_residential,01T05:30,0.398897087
mixed_commercial_residential,01T06:00,0.398897087
mixed_commercial_residential,01T06:30,0.85577694
mixed_commercial_residential,01T07:00,0.85577694
mixed_commercial_residential,01T07:30,1
mixed_commercial_residential,01T08:00,1
mixed_commercial_residential,01T08:30,0.928799287
mixed_commercial_residential,01T09:00,0.928799287
mixed_commercial_residential,01T09:30,0.918009417
mixed_commercial_residential,01T10:00,0.918009417
mixed_commercial_residential,01T10:30,0.931841075
mixed_commercial_residential,01T11:00,0.931841075
mixed_commercial_residential,01T11:30,0.929693582
mixed_commercial_residential,01T12:00,0.929693582
mixed_commercial_residential,01T12:30,0.901833697
mixed_commercial_residential,01T13:00,0.901833697
mixed_commercial_residential,01T13:30,0.901467163
mixed_commercial_residential,01T14:00,0.901467163
mixed_commercial_residential,01T14:30,0.877993235
mixed_commercial_residential,01T15:00,0.877993235
mixed_commercial_residential,01T15:30,0.842624793
mixed_commercial_residential,01T16:00,0.842624793
mixed_commercial_residential,01T16:30,0.759045678
mixed_commercial_residential,01T17:00,0.759045678
mixed_commercial_residential,01T17:30,0.642952884
mixed_commercial_residential,01T18:00,0.642952884
mixed_commercial_residential,01T18:30,0.610375137
mixed_commercial_residential,01T19:00,0.610375137
mixed_commercial_residential,01T19:30,0.587161293
mixed_commercial_residential,01T20:00,0.587161293
mixed_commercial_residential,01T20:30,0.571514815
mixed_commercial_residential,01T21:00,0.571514815
mixed_commercial_residential,01T21:30,0.524864052
mixed_commercial_residential,01T22:00,0.524864052
mixed_commercial_residential,01T22:30,0.426348759
mixed_commercial_residential,01T23:00,0.426348759
mixed_commercial_residential,01T23:30,0.426348759
mixed_commercial_residential,06T00:00,0.35421218
mixed_commercial_residential,06T00:30,0.347009078
mixed_commercial_residential,06T01:00,0.347009078
mixed_commercial_residential,06T01:30,0.344335218
mixed_commercial_residential,06T02:00,0.344335218
