internal_gain_type,time_period,internal_gain_occupancy,internal_gain_appliances,warm_water_demand
primo_survey_internal_gains,01T00:00,1,0.6,0.0
primo_survey_internal_gains,01T01:00,1,0.5,0.0
primo_survey_internal_gains,01T02:00,1,0.4,0.0
primo_survey_internal_gains,01T03:00,1,0.4,0.0
primo_survey_internal_gains,01T04:00,1,0.4,0.0
primo_survey_internal_gains,01T05:00,1,0.4,0.0
primo_survey_internal_gains,01T06:00,1,0.4,0.0
primo_survey_internal_gains,01T07:00,1,0.5,0.0
primo_survey_internal_gains,01T08:00,1,0.7,0.0
primo_survey_internal_gains,01T09:00,1,0.7,0.0
primo_survey_internal_gains,01T10:00,1,0.7,0.0
primo_survey_internal_gains,01T11:00,1,0.7,0.0
primo_survey_internal_gains,01T12:00,1,0.7,0.0
primo_survey_internal_gains,01T13:00,1,0.7,0.0
primo_survey_internal_gains,01T14:00,1,0.7,0.0
primo_survey_internal_gains,01T15:00,1,0.7,0.0
primo_survey_internal_gains,01T16:00,1,0.7,0.0
primo_survey_internal_gains,01T17:00,1,0.7,0.0
primo_survey_internal_gains,01T18:00,1,0.8,0.0
primo_survey_internal_gains,01T19:00,1,0.9,0.0
primo_survey_internal_gains,01T20:00,1,0.9,0.0
primo_survey_internal_gains,01T21:00,1,0.9,0.0
primo_survey_internal_gains,01T22:00,1,0.8,0.0
primo_survey_internal_gains,01T23:00,1,0.7,0.0
