definition_name,time_period,value
primo_survey_ev_charger_nominal,01T00:00,0.0
primo_survey_ev_charger_nominal,01T01:00,0.0
primo_survey_ev_charger_nominal,01T02:00,0.0
primo_survey_ev_charger_nominal,01T03:00,0.0
primo_survey_ev_charger_nominal,01T04:00,0.0
primo_survey_ev_charger_nominal,01T05:00,0.0
primo_survey_ev_charger_nominal,01T06:00,0.0
primo_survey_ev_charger_nominal,01T07:00,0.0
primo_survey_ev_charger_nominal,01T08:00,0.0
primo_survey_ev_charger_nominal,01T09:00,0.0
primo_survey_ev_charger_nominal,01T10:00,0.0
primo_survey_ev_charger_nominal,01T11:00,0.0
primo_survey_ev_charger_nominal,01T12:00,0.0
primo_survey_ev_charger_nominal,01T13:00,0.0
primo_survey_ev_charger_nominal,01T14:00,0.0
primo_survey_ev_charger_nominal,01T15:00,0.0
primo_survey_ev_charger_nominal,01T16:00,0.0
primo_survey_ev_charger_nominal,01T17:00,50000.0
primo_survey_ev_charger_nominal,01T18:00,50000.0
primo_survey_ev_charger_nominal,01T19:00,0.0
primo_survey_ev_charger_nominal,01T20:00,0.0
primo_survey_ev_charger_nominal,01T21:00,0.0
primo_survey_ev_charger_nominal,01T22:00,0.0
primo_survey_ev_charger_nominal,01T23:00,0.0
primo_survey_ev_charger_maximum_charging,01T00:00,50000.0
primo_survey_ev_charger_maximum_charging,01T01:00,50000.0
primo_survey_ev_charger_maximum_charging,01T02:00,50000.0
primo_survey_ev_charger_maximum_charging,01T03:00,50000.0
primo_survey_ev_charger_maximum_charging,01T04:00,50000.0
primo_survey_ev_charger_maximum_charging,01T05:00,50000.0
primo_survey_ev_charger_maximum_charging,01T06:00,50000.0
primo_survey_ev_charger_maximum_charging,01T07:00,50000.0
primo_survey_ev_charger_maximum_charging,01T08:00,50000.0
primo_survey_ev_charger_maximum_charging,01T09:00,0.0
primo_survey_ev_charger_maximum_charging,01T10:00,0.0
primo_survey_ev_charger_maximum_charging,01T11:00,0.0
primo_survey_ev_charger_maximum_charging,01T12:00,0.0
primo_survey_ev_charger_maximum_charging,01T13:00,0.0
primo_survey_ev_charger_maximum_charging,01T14:00,0.0
primo_survey_ev_charger_maximum_charging,01T15:00,0.0
primo_survey_ev_charger_maximum_charging,01T16:00,0.0
primo_survey_ev_charger_maximum_charging,01T17:00,50000.0
primo_survey_ev_charger_maximum_charging,01T18:00,50000.0
primo_survey_ev_charger_maximum_charging,01T19:00,50000.0
primo_survey_ev_charger_maximum_charging,01T20:00,50000.0
primo_survey_ev_charger_maximum_charging,01T21:00,50000.0
primo_survey_ev_charger_maximum_charging,01T22:00,50000.0
primo_survey_ev_charger_maximum_charging,01T23:00,50000.0
primo_survey_ev_charger_maximum_discharging,01T00:00,0.0
primo_survey_ev_charger_maximum_discharging,01T01:00,0.0
primo_survey_ev_charger_maximum_discharging,01T02:00,0.0
primo_survey_ev_charger_maximum_discharging,01T03:00,0.0
primo_survey_ev_charger_maximum_discharging,01T04:00,0.0
primo_survey_ev_charger_maximum_discharging,01T05:00,0.0
primo_survey_ev_charger_maximum_discharging,01T06:00,0.0
primo_survey_ev_charger_maximum_discharging,01T07:00,0.0
primo_survey_ev_charger_maximum_discharging,01T08:00,0.0
primo_survey_ev_charger_maximum_discharging,01T09:00,0.0
primo_survey_ev_charger_maximum_discharging,01T10:00,0.0
primo_survey_ev_charger_maximum_discharging,01T11:00,0.0
primo_survey_ev_charger_maximum_discharging,01T12:00,0.0
primo_survey_ev_charger_maximum_discharging,01T13:00,0.0
primo_survey_ev_charger_maximum_discharging,01T14:00,0.0
primo_survey_ev_charger_maximum_discharging,01T15:00,0.0
primo_survey_ev_charger_maximum_discharging,01T16:00,0.0
primo_survey_ev_charger_maximum_discharging,01T17:00,0.0
primo_survey_ev_charger_maximum_discharging,01T18:00,0.0
primo_survey_ev_charger_maximum_discharging,01T19:00,0.0
primo_survey_ev_charger_maximum_discharging,01T20:00,0.0
primo_survey_ev_charger_maximum_discharging,01T21:00,0.0
primo_survey_ev_charger_maximum_discharging,01T22:00,0.0
primo_survey_ev_charger_maximum_discharging,01T23:00,0.0
primo_survey_ev_charger_maximum_energy,01T00:00,100000.0
primo_survey_ev_charger_maximum_energy,01T01:00,100000.0
primo_survey_ev_charger_maximum_energy,01T02:00,100000.0
primo_survey_ev_charger_maximum_energy,01T03:00,100000.0
primo_survey_ev_charger_maximum_energy,01T04:00,100000.0
primo_survey_ev_charger_maximum_energy,01T05:00,100000.0
primo_survey_ev_charger_maximum_energy,01T06:00,100000.0
primo_survey_ev_charger_maximum_energy,01T07:00,100000.0
primo_survey_ev_charger_maximum_energy,01T08:00,100000.0
primo_survey_ev_charger_maximum_energy,01T09:00,0.0
primo_survey_ev_charger_maximum_energy,01T10:00,0.0
primo_survey_ev_charger_maximum_energy,01T11:00,0.0
primo_survey_ev_charger_maximum_energy,01T12:00,0.0
primo_survey_ev_charger_maximum_energy,01T13:00,0.0
primo_survey_ev_charger_maximum_energy,01T14:00,0.0
primo_survey_ev_charger_maximum_energy,01T15:00,0.0
primo_survey_ev_charger_maximum_energy,01T16:00,0.0
primo_survey_ev_charger_maximum_energy,01T17:00,100000.0
primo_survey_ev_charger_maximum_energy,01T18:00,100000.0
primo_survey_ev_charger_maximum_energy,01T19:00,100000.0
primo_survey_ev_charger_maximum_energy,01T20:00,100000.0
primo_survey_ev_charger_maximum_energy,01T21:00,100000.0
primo_survey_ev_charger_maximum_energy,01T22:00,100000.0
primo_survey_ev_charger_maximum_energy,01T23:00,100000.0
primo_survey_ev_charger_departing_energy,01T00:00,0.0
primo_survey_ev_charger_departing_energy,01T01:00,0.0
primo_survey_ev_charger_departing_energy,01T02:00,0.0
primo_survey_ev_charger_departing_energy,01T03:00,0.0
primo_survey_ev_charger_departing_energy,01T04:00,0.0
primo_survey_ev_charger_departing_energy,01T05:00,0.0
primo_survey_ev_charger_departing_energy,01T06:00,0.0
primo_survey_ev_charger_departing_energy,01T07:00,0.0
primo_survey_ev_charger_departing_energy,01T08:00,100000.0
primo_survey_ev_charger_departing_energy,01T09:00,0.0
primo_survey_ev_charger_departing_energy,01T10:00,0.0
primo_survey_ev_charger_departing_energy,01T11:00,0.0
primo_survey_ev_charger_departing_energy,01T12:00,0.0
primo_survey_ev_charger_departing_energy,01T13:00,0.0
primo_survey_ev_charger_departing_energy,01T14:00,0.0
primo_survey_ev_charger_departing_energy,01T15:00,0.0
primo_survey_ev_charger_departing_energy,01T16:00,0.0
primo_survey_ev_charger_departing_energy,01T17:00,0.0
primo_survey_ev_charger_departing_energy,01T18:00,0.0
primo_survey_ev_charger_departing_energy,01T19:00,0.0
primo_survey_ev_charger_departing_energy,01T20:00,0.0
primo_survey_ev_charger_departing_energy,01T21:00,0.0
primo_survey_ev_charger_departing_energy,01T22:00,0.0
primo_survey_ev_charger_departing_energy,01T23:00,0.0
