der_name,electric_grid_name,der_type,model_name,node_name,is_phase_0_connected,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,n_phases,connection,active_power,reactive_power
1,ieee_4_mod,fixed_load,fixed_load_default,4,1,1,0,0,1,wye,-400000.0,-200000.0
2,ieee_4_mod,ev_charger,ev_charger_default,4,0,1,1,0,1,delta,-400000.0,-200000.0
fixed_1,singapore_6node,fixed_load,fixed_load_default,6,1,1,0,0,1,wye,-150000.0,-75000.0
fixed_2,singapore_6node,fixed_load,fixed_load_default,6,1,0,1,0,1,wye,-100000.0,-50000.0
fixed_3,singapore_6node,fixed_load,fixed_load_default,6,1,0,0,1,1,wye,-50000.0,-25000.0
flex_1,singapore_6node,flexible_load,flexible_load_default,6,1,1,0,0,1,wye,-150000.0,-75000.0
flex_2,singapore_6node,flexible_load,flexible_load_default,6,1,0,1,0,1,wye,-100000.0,-50000.0
flex_3,singapore_6node,flexible_load,flexible_load_default,6,1,0,0,1,1,wye,-50000.0,-25000.0
1,hougang_405node,fixed_load,industrial,8,0,1,0,0,1,wye,-5950000.0,-1955670.426
2,hougang_405node,fixed_load,industrial,8,0,0,1,0,1,wye,-2550000.0,-838144.4682
3,hougang_405node,fixed_load,industrial,8,0,0,0,1,1,wye,-4250000.0,-1396907.447
4,hougang_405node,fixed_load,commercial,9,0,1,0,0,1,wye,-1699709.952,-558667.6446
5,hougang_405node,fixed_load,commercial,9,0,0,1,0,1,wye,-2913788.489,-957715.9621
6,hougang_405node,fixed_load,commercial,9,0,0,0,1,1,wye,-2670972.782,-877906.2986
7,hougang_405node,fixed_load,commercial,10,0,1,0,0,1,wye,-1584297.498,-520733.4054
8,hougang_405node,fixed_load,commercial,10,0,0,1,0,1,wye,-1109008.248,-364513.3838
9,hougang_405node,fixed_load,commercial,10,0,0,0,1,1,wye,-2059586.747,-676953.427
10,hougang_405node,fixed_load,industrial,11,0,1,0,0,1,wye,-3825403.632,-1257349.37
11,hougang_405node,fixed_load,industrial,11,0,0,1,0,1,wye,-4781754.54,-1571686.712
12,hougang_405node,fixed_load,industrial,11,0,0,0,1,1,wye,-5738105.448,-1886024.054
13,hougang_405node,fixed_load,residential,12,0,1,0,0,1,wye,-1083676.512,-356187.2446
14,hougang_405node,fixed_load,residential,12,0,0,1,0,1,wye,-1324493.515,-435339.9656
15,hougang_405node,fixed_load,residential,12,0,0,0,1,1,wye,-1204085.013,-395763.6051
16,hougang_405node,fixed_load,residential,13,0,1,0,0,1,wye,-1536811.5,-505125.5125
17,hougang_405node,fixed_load,residential,13,0,0,1,0,1,wye,-2414989.499,-793768.6625
18,hougang_405node,fixed_load,residential,13,0,0,0,1,1,wye,-2634533.999,-865929.45
19,hougang_405node,fixed_load,residential,14,0,1,0,0,1,wye,-86335.0827,-28376.9694
20,hougang_405node,fixed_load,residential,14,0,0,1,0,1,wye,-59770.4419,-19645.5942
21,hougang_405node,fixed_load,residential,14,0,0,0,1,1,wye,-53129.2817,-17462.7504
22,hougang_405node,fixed_load,residential,15,0,1,0,0,1,wye,-70955.1858,-23321.8417
23,hougang_405node,fixed_load,residential,15,0,0,1,0,1,wye,-70955.1858,-23321.8417
24,hougang_405node,fixed_load,residential,15,0,0,0,1,1,wye,-70955.1858,-23321.8417
25,hougang_405node,fixed_load,residential,16,0,1,0,0,1,wye,-141392.3509,-46473.4183
26,hougang_405node,fixed_load,residential,16,0,0,1,0,1,wye,-102830.8006,-33798.8497
