conductor_id,conductor_size,conductor_stranding,conductor_material,conductor_diameter,conductor_geometric_mean_radius,conductor_resistance,conductor_current_capacity,conductor_type
1,1,,ACSR,0.355,0.00418,1.38,200,overhead
2,1,7 STRD,Copper,0.328,0.00992,0.765,270,overhead
3,1,CLASS A,AA,0.328,0.00991,1.224,177,overhead
4,2,6-Jan,ACSR,0.316,0.00418,1.69,180,overhead
5,2,7 STRD,Copper,0.292,0.00883,0.964,230,overhead
6,2,7-Jan,ACSR,0.325,0.00504,1.65,180,overhead
7,2,AWG SLD,Copper,0.258,0.00836,0.945,220,overhead
8,2,CLASS A,AA,0.292,0.00883,1.541,156,overhead
9,3,6-Jan,ACSR,0.281,0.0043,2.07,160,overhead
10,3,AWG SLD,Copper,0.229,0.00745,1.192,190,overhead
11,4,6-Jan,ACSR,0.25,0.00437,2.57,140,overhead
12,4,7-Jan,ACSR,0.257,0.00452,2.55,140,overhead
13,4,AWG SLD,Copper,0.204,0.00663,1.503,170,overhead
14,4,CLASS A,AA,0.232,0.007,2.453,90,overhead
15,5,6-Jan,ACSR,0.223,0.00416,3.18,120,overhead
16,5,AWG SLD,Copper,0.1819,0.0059,1.895,140,overhead
17,6,6-Jan,ACSR,0.198,0.00394,3.98,100,overhead
18,6,AWG SLD,Copper,0.162,0.00526,2.39,120,overhead
19,6,CLASS A,AA,0.184,0.00555,3.903,65,overhead
20,7,AWG SLD,Copper,0.1443,0.00468,3.01,110,overhead
21,8,AWG SLD,Copper,0.1285,0.00416,3.8,90,overhead
22,9,AWG SLD,Copper,0.1144,0.00371,4.6758,80,overhead
23,10,AWG SLD,Copper,0.1019,0.0033,5.9026,75,overhead
24,12,AWG SLD,Copper,0.0808,0.00262,9.3747,40,overhead
25,14,AWG SLD,Copper,0.0641,0.00208,14.8722,20,overhead
26,16,AWG SLD,Copper,0.0508,0.00164,23.7262,10,overhead
27,18,AWG SLD,Copper,0.0403,0.0013,37.6726,5,overhead
28,19,AWG SLD,Copper,0.0359,0.00116,47.5103,4,overhead
29,20,AWG SLD,Copper,0.032,0.00103,59.684,3,overhead
30,22,AWG SLD,Copper,0.0253,0.00082,95.4835,2,overhead
31,24,AWG SLD,Copper,0.0201,0.00065,151.616,1,overhead
32,1/0,,ACSR,0.398,0.00446,1.12,230,overhead
33,1/0,7 STRD,Copper,0.368,0.01113,0.607,310,overhead
34,1/0,CLASS A,AA,0.368,0.0111,0.97,202,overhead
35,2/0,,ACSR,0.447,0.0051,0.895,270,overhead
36,2/0,7 STRD,Copper,0.414,0.01252,0.481,360,overhead
37,2/0,CLASS A,AA,0.414,0.0125,0.769,230,overhead
38,3/0,12 STRD,Copper,0.492,0.01559,0.382,420,overhead
39,3/0,6-Jan,ACSR,0.502,0.006,0.723,300,overhead
40,3/0,7 STRD,Copper,0.464,0.01404,0.382,420,overhead
41,3/0,CLASS A,AA,0.464,0.014,0.611,263,overhead
42,3-Aug,INCH STE,Steel,0.375,0.00001,4.3,150,overhead
43,4/0,12 STRD,Copper,0.552,0.0175,0.303,490,overhead
44,4/0,19 STRD,Copper,0.528,0.01668,0.303,480,overhead
45,4/0,6-Jan,ACSR,0.563,0.00814,0.592,340,overhead
46,4/0,7 STRD,Copper,0.522,0.01579,0.303,480,overhead
47,4/0,CLASS A,AA,0.522,0.0158,0.484,299,overhead
48,"250,000",12 STRD,Copper,0.6,0.01902,0.257,540,overhead
49,"250,000",19 STRD,Copper,0.574,0.01813,0.257,540,overhead
50,"250,000",CON LAY,AA,0.567,0.0171,0.41,329,overhead
51,"266,800",26-Jul,ACSR,0.642,0.0217,0.385,460,overhead
52,"266,800",CLASS A,AA,0.586,0.0177,0.384,320,overhead
53,"300,000",12 STRD,Copper,0.657,0.0208,0.215,610,overhead
54,"300,000",19 STRD,Copper,0.629,0.01987,0.215,610,overhead
55,"300,000",26-Jul,ACSR,0.68,0.023,0.342,490,overhead
56,"300,000",30-Jul,ACSR,0.7,0.0241,0.342,500,overhead
57,"300,000",CON LAY,AA,0.629,0.0198,0.342,350,overhead
58,"336,400",26-Jul,ACSR,0.721,0.0244,0.306,530,overhead
59,"336,400",30-Jul,ACSR,0.741,0.0255,0.306,530,overhead
60,"336,400",CLASS A,AA,0.666,0.021,0.305,410,overhead
61,"350,000",12 STRD,Copper,0.71,0.0225,0.1845,670,overhead
62,"350,000",19 STRD,Copper,0.679,0.0214,0.1845,670,overhead
63,"350,000",CON LAY,AA,0.679,0.0214,0.294,399,overhead
64,"397,500",26-Jul,ACSR,0.783,0.0265,0.259,590,overhead
65,"397,500",30-Jul,ACSR,0.806,0.0278,0.259,600,overhead
66,"397,500",CLASS A,AA,0.724,0.0228,0.258,440,overhead
67,"400,000",19 STRD,Copper,0.726,0.0229,0.1619,730,overhead
68,"450,000",19 STRD,Copper,0.77,0.0243,0.1443,780,overhead
69,"450,000",CON LAG,AA,0.77,0.0243,0.229,450,overhead
70,"477,000",26-Jul,ACSR,0.858,0.029,0.216,670,overhead
71,"477,000",30-Jul,ACSR,0.883,0.0304,0.216,670,overhead
72,"477,000",CLASS A,AA,0.795,0.0254,0.216,510,overhead
73,"500,000",19 STRD,Copper,0.811,0.0256,0.1303,840,overhead
74,"500,000",37 STRD,Copper,0.814,0.026,0.1303,840,overhead
75,"500,000",CON LAY,AA,0.813,0.026,0.206,483,overhead
76,"556,500",26-Jul,ACSR,0.927,0.0313,0.1859,730,overhead
77,"556,500",30-Jul,ACSR,0.953,0.0328,0.1859,730,overhead
78,"556,500",CLASS A,AA,0.858,0.0275,0.186,560,overhead
79,"600,000",37 STRD,Copper,0.891,0.0285,0.1095,940,overhead
80,"600,000",CON LAY,AA,0.891,0.0285,0.172,520,overhead
81,"605,000",26-Jul,ACSR,0.966,0.0327,0.172,760,overhead
82,"605,000",54/7,ACSR,0.953,0.0321,0.1775,750,overhead
83,"636,000",27-Jul,ACSR,0.99,0.0335,0.1618,780,overhead
84,"636,000",30/19,ACSR,1.019,0.0351,0.1618,780,overhead
85,"636,000",54/7,ACSR,0.977,0.0329,0.1688,770,overhead
86,"636,000",CLASS A,AA,0.918,0.0294,0.163,620,overhead
87,"666,600",54/7,ACSR,1,0.0337,0.1601,800,overhead
88,"700,000",37 STRD,Copper,0.963,0.0308,0.0947,1040,overhead
89,"700,000",CON LAY,AA,0.963,0.0308,0.148,580,overhead
90,"715,500",26-Jul,ACSR,1.051,0.0355,0.1442,840,overhead
91,"715,500",30/19,ACSR,1.081,0.0372,0.1442,840,overhead
92,"715,500",54/7,ACSR,1.036,0.0349,0.1482,830,overhead
93,"715,500",CLASS A,AA,0.974,0.0312,0.145,680,overhead
94,"750,000",37 STRD,AA,0.997,0.0319,0.0888,1090,overhead
95,"750,000",CON LAY,AA,0.997,0.0319,0.139,602,overhead
96,"795,000",26-Jul,ACSR,1.108,0.0375,0.1288,900,overhead
97,"795,000",30/19,ACSR,1.14,0.0393,0.1288,910,overhead
98,"795,000",54/7,ACSR,1.093,0.0368,0.1378,900,overhead
99,"795,000",CLASS A,AA,1.026,0.0328,0.131,720,overhead
