line_name,electric_grid_name,line_type,node_1_name,node_2_name,is_phase_0_connected,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,length
1,ieee_4_mod,mtx601,1,2,0,1,1,1,0.3787879
2,ieee_4_mod,mtx602,3,4,0,1,1,0,0.4734848
1,singapore_6node,mtx601,1,2,0,1,1,1,0.189394
2,singapore_6node,mtx601,3,4,0,1,1,1,0.094697
3,singapore_6node,mtx601,5,6,0,1,1,1,0.0189394
1,hougang_405node,hougang_linetype_22,5,52,0,1,1,1,0.30564
2,hougang_405node,hougang_linetype_22,5,53,0,1,1,1,0.14614
3,hougang_405node,hougang_linetype_22,5,107,0,1,1,1,0.40458
4,hougang_405node,hougang_linetype_22,5,150,0,1,1,1,0.26632
5,hougang_405node,hougang_linetype_22,5,307,0,1,1,1,0.21021
6,hougang_405node,hougang_linetype_22,52,148,0,1,1,1,0.25086
7,hougang_405node,hougang_linetype_22,53,149,0,1,1,1,0.092025
8,hougang_405node,hougang_linetype_22,107,51,0,1,1,1,0.43983
9,hougang_405node,hougang_linetype_22,107,54,0,1,1,1,0.21324
10,hougang_405node,hougang_linetype_22,150,10,0,1,1,1,0.14385
11,hougang_405node,hougang_linetype_22,150,135,0,1,1,1,0.35433
12,hougang_405node,hougang_linetype_22,307,302,0,1,1,1,0.38814
13,hougang_405node,hougang_linetype_22,148,32,0,1,1,1,0.18701
14,hougang_405node,hougang_linetype_22,149,50,0,1,1,1,0.077401
15,hougang_405node,hougang_linetype_22,51,105,0,1,1,1,0.089686
16,hougang_405node,hougang_linetype_22,51,300,0,1,1,1,0.087676
17,hougang_405node,hougang_linetype_22,10,76,0,1,1,1,0.11869
18,hougang_405node,hougang_linetype_22,10,137,0,1,1,1,0.13432
19,hougang_405node,hougang_linetype_22,135,128,0,1,1,1,0.29221
20,hougang_405node,hougang_linetype_22,135,134,0,1,1,1,0.07592
21,hougang_405node,hougang_linetype_22,302,303,0,1,1,1,0.096598
22,hougang_405node,hougang_linetype_22,32,26,0,1,1,1,0.11417
23,hougang_405node,hougang_linetype_22,50,49,0,1,1,1,0.12641
24,hougang_405node,hougang_linetype_22,50,104,0,1,1,1,0.48289
25,hougang_405node,hougang_linetype_22,105,106,0,1,1,1,0.075172
26,hougang_405node,hougang_linetype_22,300,37,0,1,1,1,0.071566
27,hougang_405node,hougang_linetype_22,137,136,0,1,1,1,0.10363
28,hougang_405node,hougang_linetype_22,128,124,0,1,1,1,0.2351
29,hougang_405node,hougang_linetype_22,128,126,0,1,1,1,0.10392
30,hougang_405node,hougang_linetype_22,303,305,0,1,1,1,0.17011
31,hougang_405node,hougang_linetype_22,26,31,0,1,1,1,0.093298
32,hougang_405node,hougang_linetype_22,104,299,0,1,1,1,0.049821
33,hougang_405node,hougang_linetype_22,37,36,0,1,1,1,0.045219
34,hougang_405node,hougang_linetype_22,136,138,0,1,1,1,0.16046
35,hougang_405node,hougang_linetype_22,124,125,0,1,1,1,0.10855
36,hougang_405node,hougang_linetype_22,126,79,0,1,1,1,0.16578
37,hougang_405node,hougang_linetype_22,126,127,0,1,1,1,0.069665
38,hougang_405node,hougang_linetype_22,305,304,0,1,1,1,0.17195
39,hougang_405node,hougang_linetype_22,305,306,0,1,1,1,0.050392
40,hougang_405node,hougang_linetype_22,31,23,0,1,1,1,0.13602
41,hougang_405node,hougang_linetype_22,299,8,0,1,1,1,0.066644
42,hougang_405node,hougang_linetype_22,299,294,0,1,1,1,0.10254
43,hougang_405node,hougang_linetype_22,299,301,0,1,1,1,0.075794
44,hougang_405node,hougang_linetype_22,36,11,0,1,1,1,0.046861
45,hougang_405node,hougang_linetype_22,36,39,0,1,1,1,0.061069
46,hougang_405node,hougang_linetype_22,138,91,0,1,1,1,0.16132
47,hougang_405node,hougang_linetype_22,138,139,0,1,1,1,0.10969
48,hougang_405node,hougang_linetype_22,125,82,0,1,1,1,0.11854
49,hougang_405node,hougang_linetype_22,79,119,0,1,1,1,0.13052
50,hougang_405node,hougang_linetype_22,79,123,0,1,1,1,0.090971
51,hougang_405node,hougang_linetype_22,127,80,0,1,1,1,0.085134
52,hougang_405node,hougang_linetype_22,304,286,0,1,1,1,0.17346
53,hougang_405node,hougang_linetype_22,306,222,0,1,1,1,0.26281
54,hougang_405node,hougang_linetype_22,306,324,0,1,1,1,0.11644
55,hougang_405node,hougang_linetype_22,23,24,0,1,1,1,0.12335
56,hougang_405node,hougang_linetype_22,294,98,0,1,1,1,0.12303
57,hougang_405node,hougang_linetype_22,301,100,0,1,1,1,0.071871
58,hougang_405node,hougang_linetype_22,11,101,0,1,1,1,0.065969
59,hougang_405node,hougang_linetype_22,39,38,0,1,1,1,0.073878
60,hougang_405node,hougang_linetype_22,139,140,0,1,1,1,0.094207
61,hougang_405node,hougang_linetype_22,119,120,0,1,1,1,0.082753
62,hougang_405node,hougang_linetype_22,80,27,0,1,1,1,0.085249
63,hougang_405node,hougang_linetype_22,80,30,0,1,1,1,0.16935
64,hougang_405node,hougang_linetype_22,286,247,0,1,1,1,0.093105
65,hougang_405node,hougang_linetype_22,286,284,0,1,1,1,0.1137
66,hougang_405node,hougang_linetype_22,286,285,0,1,1,1,0.1332
67,hougang_405node,hougang_linetype_22,222,221,0,1,1,1,0.10265
68,hougang_405node,hougang_linetype_22,24,287,0,1,1,1,0.079792
69,hougang_405node,hougang_linetype_22,98,99,0,1,1,1,0.043085
70,hougang_405node,hougang_linetype_22,101,35,0,1,1,1,0.05896
71,hougang_405node,hougang_linetype_22,101,296,0,1,1,1,0.10054
72,hougang_405node,hougang_linetype_22,38,42,0,1,1,1,0.079608
73,hougang_405node,hougang_linetype_22,38,55,0,1,1,1,0.11689
74,hougang_405node,hougang_linetype_22,140,13,0,1,1,1,0.13812
75,hougang_405node,hougang_linetype_22,140,143,0,1,1,1,0.10067
76,hougang_405node,hougang_linetype_22,120,77,0,1,1,1,0.19062
77,hougang_405node,hougang_linetype_22,120,78,0,1,1,1,0.10247
78,hougang_405node,hougang_linetype_22,30,9,0,1,1,1,0.15967
79,hougang_405node,hougang_linetype_22,30,29,0,1,1,1,0.13263
80,hougang_405node,hougang_linetype_22,30,147,0,1,1,1,0.11659
81,hougang_405node,hougang_linetype_22,247,325,0,1,1,1,0.11221
82,hougang_405node,hougang_linetype_22,284,248,0,1,1,1,0.069844
83,hougang_405node,hougang_linetype_22,285,279,0,1,1,1,0.087989
84,hougang_405node,hougang_linetype_22,221,226,0,1,1,1,0.17877
85,hougang_405node,hougang_linetype_22,287,268,0,1,1,1,0.098553
86,hougang_405node,hougang_linetype_22,287,288,0,1,1,1,0.075975
87,hougang_405node,hougang_linetype_22,99,229,0,1,1,1,0.12686
88,hougang_405node,hougang_linetype_22,99,230,0,1,1,1,0.082698
89,hougang_405node,hougang_linetype_22,35,33,0,1,1,1,0.063755
90,hougang_405node,hougang_linetype_22,35,34,0,1,1,1,0.071321
91,hougang_405node,hougang_linetype_22,296,297,0,1,1,1,0.086617
92,hougang_405node,hougang_linetype_22,296,298,0,1,1,1,0.12337
93,hougang_405node,hougang_linetype_22,42,43,0,1,1,1,0.050239
94,hougang_405node,hougang_linetype_22,42,110,0,1,1,1,0.071363
95,hougang_405node,hougang_linetype_22,13,92,0,1,1,1,0.092866
96,hougang_405node,hougang_linetype_22,143,141,0,1,1,1,0.086944
97,hougang_405node,hougang_linetype_22,77,84,0,1,1,1,0.11932
98,hougang_405node,hougang_linetype_22,77,85,0,1,1,1,0.20153
99,hougang_405node,hougang_linetype_22,78,117,0,1,1,1,0.10161
100,hougang_405node,hougang_linetype_22,29,28,0,1,1,1,0.08017
101,hougang_405node,hougang_linetype_22,147,146,0,1,1,1,0.079475
102,hougang_405node,hougang_linetype_22,325,281,0,1,1,1,0.12156
103,hougang_405node,hougang_linetype_22,248,283,0,1,1,1,0.074857
104,hougang_405node,hougang_linetype_22,279,278,0,1,1,1,0.070358
105,hougang_405node,hougang_linetype_22,279,280,0,1,1,1,0.14639
106,hougang_405node,hougang_linetype_22,226,213,0,1,1,1,0.10022
107,hougang_405node,hougang_linetype_22,268,15,0,1,1,1,0.068473
108,hougang_405node,hougang_linetype_22,288,271,0,1,1,1,0.079273
109,hougang_405node,hougang_linetype_22,229,223,0,1,1,1,0.1373
110,hougang_405node,hougang_linetype_22,230,227,0,1,1,1,0.10758
111,hougang_405node,hougang_linetype_22,297,233,0,1,1,1,0.07113
112,hougang_405node,hougang_linetype_22,297,295,0,1,1,1,0.081501
113,hougang_405node,hougang_linetype_22,43,45,0,1,1,1,0.0929
114,hougang_405node,hougang_linetype_22,43,111,0,1,1,1,0.13995
115,hougang_405node,hougang_linetype_22,92,93,0,1,1,1,0.11035
116,hougang_405node,hougang_linetype_22,92,96,0,1,1,1,0.11185
117,hougang_405node,hougang_linetype_22,84,12,0,1,1,1,0.040077
118,hougang_405node,hougang_linetype_22,84,131,0,1,1,1,0.14661
119,hougang_405node,hougang_linetype_22,85,132,0,1,1,1,0.20324
120,hougang_405node,hougang_linetype_22,117,63,0,1,1,1,0.084148
121,hougang_405node,hougang_linetype_22,117,116,0,1,1,1,0.16153
122,hougang_405node,hougang_linetype_22,28,21,0,1,1,1,0.089685
123,hougang_405node,hougang_linetype_22,28,22,0,1,1,1,0.063843
124,hougang_405node,hougang_linetype_22,146,66,0,1,1,1,0.11873
125,hougang_405node,hougang_linetype_22,283,282,0,1,1,1,0.090028
126,hougang_405node,hougang_linetype_22,213,212,0,1,1,1,0.22684
127,hougang_405node,hougang_linetype_22,213,216,0,1,1,1,0.1181
128,hougang_405node,hougang_linetype_22,271,272,0,1,1,1,0.059923
129,hougang_405node,hougang_linetype_22,227,206,0,1,1,1,0.0021363
130,hougang_405node,hougang_linetype_22,233,234,0,1,1,1,0.04596
131,hougang_405node,hougang_linetype_22,295,242,0,1,1,1,0.067524
132,hougang_405node,hougang_linetype_22,45,41,0,1,1,1,0.080458
133,hougang_405node,hougang_linetype_22,45,44,0,1,1,1,0.1676
134,hougang_405node,hougang_linetype_22,93,95,0,1,1,1,0.062629
135,hougang_405node,hougang_linetype_22,96,144,0,1,1,1,0.11301
136,hougang_405node,hougang_linetype_22,131,129,0,1,1,1,0.088409
137,hougang_405node,hougang_linetype_22,131,130,0,1,1,1,0.24696
138,hougang_405node,hougang_linetype_22,132,81,0,1,1,1,0.10787
139,hougang_405node,hougang_linetype_22,132,87,0,1,1,1,0.13007
140,hougang_405node,hougang_linetype_22,63,64,0,1,1,1,0.087094
141,hougang_405node,hougang_linetype_22,116,68,0,1,1,1,0.14157
142,hougang_405node,hougang_linetype_22,116,115,0,1,1,1,0.12399
143,hougang_405node,hougang_linetype_22,21,16,0,1,1,1,0.090148
144,hougang_405node,hougang_linetype_22,21,20,0,1,1,1,0.058289
145,hougang_405node,hougang_linetype_22,66,65,0,1,1,1,0.10322
146,hougang_405node,hougang_linetype_22,282,289,0,1,1,1,0.15001
147,hougang_405node,hougang_linetype_22,212,244,0,1,1,1,0.12832
148,hougang_405node,hougang_linetype_22,216,207,0,1,1,1,0.15491
149,hougang_405node,hougang_linetype_22,216,214,0,1,1,1,0.069944
150,hougang_405node,hougang_linetype_22,272,277,0,1,1,1,0.077468
151,hougang_405node,hougang_linetype_22,272,290,0,1,1,1,0.067781
152,hougang_405node,hougang_linetype_22,206,224,0,1,1,1,0.087734
153,hougang_405node,hougang_linetype_22,234,231,0,1,1,1,0.07269
154,hougang_405node,hougang_linetype_22,242,228,0,1,1,1,0.048655
155,hougang_405node,hougang_linetype_22,41,40,0,1,1,1,0.050489
156,hougang_405node,hougang_linetype_22,95,405,0,1,1,1,0.10511
157,hougang_405node,hougang_linetype_22,144,145,0,1,1,1,0.084099
158,hougang_405node,hougang_linetype_22,130,83,0,1,1,1,0.085416
159,hougang_405node,hougang_linetype_22,130,370,0,1,1,1,0.12175
160,hougang_405node,hougang_linetype_22,87,133,0,1,1,1,0.16778
161,hougang_405node,hougang_linetype_22,64,60,0,1,1,1,0.095219
162,hougang_405node,hougang_linetype_22,68,69,0,1,1,1,0.067169
163,hougang_405node,hougang_linetype_22,68,75,0,1,1,1,0.11198
164,hougang_405node,hougang_linetype_22,115,67,0,1,1,1,0.099003
165,hougang_405node,hougang_linetype_22,115,114,0,1,1,1,0.077899
166,hougang_405node,hougang_linetype_22,20,19,0,1,1,1,0.082359
167,hougang_405node,hougang_linetype_22,289,25,0,1,1,1,0.10342
168,hougang_405node,hougang_linetype_22,244,211,0,1,1,1,0.20288
169,hougang_405node,hougang_linetype_22,207,215,0,1,1,1,0.0031619
170,hougang_405node,hougang_linetype_22,277,273,0,1,1,1,0.16178
171,hougang_405node,hougang_linetype_22,290,276,0,1,1,1,0.093641
172,hougang_405node,hougang_linetype_22,224,225,0,1,1,1,0.08807
173,hougang_405node,hougang_linetype_22,231,232,0,1,1,1,0.090103
174,hougang_405node,hougang_linetype_22,228,246,0,1,1,1,0.088593
175,hougang_405node,hougang_linetype_22,405,94,0,1,1,1,0.10061
176,hougang_405node,hougang_linetype_22,405,108,0,1,1,1,0.11467
177,hougang_405node,hougang_linetype_22,145,97,0,1,1,1,0.15306
178,hougang_405node,hougang_linetype_22,370,86,0,1,1,1,0.14609
179,hougang_405node,hougang_linetype_22,133,88,0,1,1,1,0.095324
180,hougang_405node,hougang_linetype_22,133,142,0,1,1,1,0.20907
181,hougang_405node,hougang_linetype_22,60,62,0,1,1,1,0.081437
182,hougang_405node,hougang_linetype_22,67,74,0,1,1,1,0.20634
183,hougang_405node,hougang_linetype_22,19,17,0,1,1,1,0.088258
184,hougang_405node,hougang_linetype_22,215,352,0,1,1,1,0.12421
185,hougang_405node,hougang_linetype_22,273,266,0,1,1,1,0.13168
186,hougang_405node,hougang_linetype_22,273,275,0,1,1,1,0.11356
187,hougang_405node,hougang_linetype_22,225,236,0,1,1,1,0.081688
188,hougang_405node,hougang_linetype_22,232,356,0,1,1,1,0.076769
189,hougang_405node,hougang_linetype_22,246,241,0,1,1,1,0.063103
190,hougang_405node,hougang_linetype_22,108,59,0,1,1,1,0.16206
191,hougang_405node,hougang_linetype_22,108,109,0,1,1,1,0.085503
192,hougang_405node,hougang_linetype_22,97,389,0,1,1,1,0.30536
193,hougang_405node,hougang_linetype_22,88,89,0,1,1,1,0.092032
194,hougang_405node,hougang_linetype_22,142,373,0,1,1,1,0.093207
195,hougang_405node,hougang_linetype_22,62,61,0,1,1,1,0.10636
196,hougang_405node,hougang_linetype_22,74,70,0,1,1,1,0.10913
197,hougang_405node,hougang_linetype_22,74,73,0,1,1,1,0.10787
198,hougang_405node,hougang_linetype_22,17,18,0,1,1,1,0.089342
199,hougang_405node,hougang_linetype_22,352,363,0,1,1,1,0.06025
200,hougang_405node,hougang_linetype_22,266,263,0,1,1,1,0.095829
201,hougang_405node,hougang_linetype_22,275,270,0,1,1,1,0.053259
