node_name,electric_grid_name,is_phase_0_connected,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,voltage,latitude,longitude,node_annotation
1,ieee_4_mod,0,1,1,1,12470.0,1.30862,103.772371,
2,ieee_4_mod,0,1,1,1,12470.0,1.3052,103.772152,
3,ieee_4_mod,0,1,1,1,4160.0,1.305,103.772152,
4,ieee_4_mod,0,1,1,0,4160.0,1.303762,103.773654,
1,singapore_6node,0,1,1,1,22000.0,1.30862,103.772371,
2,singapore_6node,0,1,1,1,22000.0,1.3052,103.772152,
3,singapore_6node,0,1,1,1,6600.0,1.305,103.772152,
4,singapore_6node,0,1,1,1,6600.0,1.303762,103.773654,
5,singapore_6node,0,1,1,1,415.0,1.3051,103.772152,
6,singapore_6node,0,1,1,1,415.0,1.306261,103.773708,
1,hougang_405node,0,1,1,1,66000.0,,,substation
2,hougang_405node,0,1,1,1,66000.0,1.3674,103.8933,substation
3,hougang_405node,0,1,1,1,66000.0,1.3398,103.8866,substation
4,hougang_405node,0,1,1,1,66000.0,1.3676,103.9093,substation
5,hougang_405node,0,1,1,1,22000.0,1.3674,103.8933,industrial
6,hougang_405node,0,1,1,1,22000.0,1.3398,103.8866,industrial
7,hougang_405node,0,1,1,1,22000.0,1.3676,103.9093,industrial
8,hougang_405node,0,1,1,1,22000.0,1.3609,103.8971,industrial
9,hougang_405node,0,1,1,1,22000.0,1.368,103.886,commercial
10,hougang_405node,0,1,1,1,22000.0,1.3696,103.8946,commercial
11,hougang_405node,0,1,1,1,22000.0,1.3592,103.8989,industrial
12,hougang_405node,0,1,1,1,22000.0,1.3767,103.8829,residential
13,hougang_405node,0,1,1,1,22000.0,1.3729,103.8971,residential
14,hougang_405node,0,1,1,1,22000.0,1.3664,103.8802,residential
15,hougang_405node,0,1,1,1,22000.0,1.3655,103.8821,residential
16,hougang_405node,0,1,1,1,22000.0,1.3669,103.8825,residential
17,hougang_405node,0,1,1,1,22000.0,1.3681,103.8804,residential
18,hougang_405node,0,1,1,1,22000.0,1.3673,103.8807,residential
19,hougang_405node,0,1,1,1,22000.0,1.3679,103.8812,residential
20,hougang_405node,0,1,1,1,22000.0,1.3676,103.882,residential
21,hougang_405node,0,1,1,1,22000.0,1.3678,103.8825,residential
