transformer_name,electric_grid_name,winding,node_name,is_phase_0_connected,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,n_phases,connection,power,resistance_percentage
1,ieee_4_mod,1,2,1,1,1,1,3,wye,6000000.0,0.55
1,ieee_4_mod,2,3,1,1,1,1,3,wye,6000000.0,0.55
1,singapore_6node,1,2,1,1,1,1,3,wye,1000000.0,0.55
1,singapore_6node,2,3,1,1,1,1,3,wye,1000000.0,0.55
2,singapore_6node,1,2,1,1,1,1,3,wye,1000000.0,0.55
2,singapore_6node,2,5,1,1,1,1,3,wye,1000000.0,0.55
1,hougang_405node,1,2,1,1,1,1,3,wye,224176292.2,0.75
1,hougang_405node,2,5,1,1,1,1,3,wye,224176292.2,0.75
2,hougang_405node,1,3,1,1,1,1,3,wye,106300482.1,0.75
2,hougang_405node,2,6,1,1,1,1,3,wye,106300482.1,0.75
3,hougang_405node,1,4,1,1,1,1,3,wye,5408326.913,0.75
3,hougang_405node,2,7,1,1,1,1,3,wye,5408326.913,0.75
