model_name,case_name,timeseries_name,use_per_unit,scaling_factor
ev_charger_default,case_default,HG95,1.0,1.0
ev_charger_default,case_1,HG95,1.0,0.0
ev_charger_default,case_2,HG95,1.0,0.3
ev_charger_default,case_3,HG95,1.0,0.3
HG10,case_1,HG10,1.0,0.0
HG11,case_1,HG11,1.0,0.0
HG12,case_1,HG12,1.0,0.0
HG13,case_1,HG13,1.0,0.0
HG14,case_1,HG14,1.0,0.0
HG15,case_1,HG15,1.0,0.0
HG16,case_1,HG16,1.0,0.0
HG17,case_1,HG17,1.0,0.0
HG19,case_1,HG19,1.0,0.0
HG1A,case_1,HG1A,1.0,0.0
HG1B,case_1,HG1B,1.0,0.0
HG1C,case_1,HG1C,1.0,0.0
HG1D,case_1,HG1D,1.0,0.0
HG2,case_1,HG2,1.0,0.0
HG20,case_1,HG20,1.0,0.0
HG22,case_1,HG22,1.0,0.0
HG23,case_1,HG23,1.0,0.0
HG24,case_1,HG24,1.0,0.0
HG25,case_1,HG25,1.0,0.0
HG29,case_1,HG29,1.0,0.0
HG2B,case_1,HG2B,1.0,0.0
HG30,case_1,HG30,1.0,0.0
HG31,case_1,HG31,1.0,0.0
HG32,case_1,HG32,1.0,0.0
HG33,case_1,HG33,1.0,0.0
HG34,case_1,HG34,1.0,0.0
HG35,case_1,HG35,1.0,0.0
HG36,case_1,HG36,1.0,0.0
HG37,case_1,HG37,1.0,0.0
HG38,case_1,HG38,1.0,0.0
HG39,case_1,HG39,1.0,0.0
HG4,case_1,HG4,1.0,0.0
HG41,case_1,HG41,1.0,0.0
HG42,case_1,HG42,1.0,0.0
HG43,case_1,HG43,1.0,0.0
HG44,case_1,HG44,1.0,0.0
HG45,case_1,HG45,1.0,0.0
HG46,case_1,HG46,1.0,0.0
HG47,case_1,HG47,1.0,0.0
HG48,case_1,HG48,1.0,0.0
HG49,case_1,HG49,1.0,0.0
HG5,case_1,HG5,1.0,0.0
HG50,case_1,HG50,1.0,0.0
HG51,case_1,HG51,1.0,0.0
HG52,case_1,HG52,1.0,0.0
HG53,case_1,HG53,1.0,0.0
HG54,case_1,HG54,1.0,0.0
HG55,case_1,HG55,1.0,0.0
HG56,case_1,HG56,1.0,0.0
HG60,case_1,HG60,1.0,0.0
HG61,case_1,HG61,1.0,0.0
HG62,case_1,HG62,1.0,0.0
HG64,case_1,HG64,1.0,0.0
HG67,case_1,HG67,1.0,0.0
HG68,case_1,HG68,1.0,0.0
HG69,case_1,HG69,1.0,0.0
HG7,case_1,HG7,1.0,0.0
HG70,case_1,HG70,1.0,0.0
HG71,case_1,HG71,1.0,0.0
HG73,case_1,HG73,1.0,0.0
HG74,case_1,HG74,1.0,0.0
HG75,case_1,HG75,1.0,0.0
