model_name,case_name,timeseries_name,scaling_factor
fixed_load_default,case_default,residential_landed_1,1.0
fixed_load_default,case_1,mixed_development_1,1.0
fixed_load_default,case_2,mixed_development_1,1.0
fixed_load_default,case_3,mixed_development_1,0.0
industrial,case_1,mixed_development_1,0.06
commercial,case_1,mixed_development_1,0.06
residential,case_1,residential_landed_1,0.06
mixed_commercial_residential,case_1,mixed_development_1,0.06
industrial,case_2,mixed_development_1,0.06
commercial,case_2,mixed_development_1,0.06
residential,case_2,residential_landed_1,0.06
mixed_commercial_residential,case_2,mixed_development_1,0.06
industrial,case_3,mixed_development_1,0.0
commercial,case_3,mixed_development_1,0.0
residential,case_3,residential_landed_1,0.0
mixed_commercial_residential,case_3,mixed_development_1,0.0
