model_name,time_period,active_power,reactive_power
photovoltaic,01T00:00,0.00,0.00
photovoltaic,01T01:00,0.00,0.00
photovoltaic,01T02:00,0.00,0.00
photovoltaic,01T03:00,0.00,0.00
photovoltaic,01T04:00,0.00,0.00
photovoltaic,01T05:00,0.00,0.00
photovoltaic,01T06:00,0.00,0.00
photovoltaic,01T07:00,0.00,0.00
photovoltaic,01T08:00,0.02,0.02
photovoltaic,01T09:00,0.18,0.18
photovoltaic,01T10:00,0.41,0.41
photovoltaic,01T11:00,0.65,0.65
photovoltaic,01T12:00,0.84,0.84
photovoltaic,01T13:00,0.96,0.96
photovoltaic,01T14:00,1.00,1.00
photovoltaic,01T15:00,0.91,0.91
photovoltaic,01T16:00,0.74,0.74
photovoltaic,01T17:00,0.51,0.51
photovoltaic,01T18:00,0.26,0.26
photovoltaic,01T19:00,0.05,0.05
photovoltaic,01T20:00,0.00,0.00
photovoltaic,01T21:00,0.00,0.00
photovoltaic,01T22:00,0.00,0.00
photovoltaic,01T23:00,0.00,0.00
thermal,01T00:00,1.00,1.00
