electric_grid_name,line_name,line_type,node_1_name,node_2_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,length
ieee_123node,1,ieee_123node_line_type10,1,2,0,1,0,0.053339998
ieee_123node,2,ieee_123node_line_type11,1,3,0,0,1,0.076199998
ieee_123node,3,ieee_123node_line_type1,1,7,1,1,1,0.091439997
ieee_123node,4,ieee_123node_line_type11,3,4,0,0,1,0.060959998
ieee_123node,5,ieee_123node_line_type11,3,5,0,0,1,0.099059997
ieee_123node,6,ieee_123node_line_type11,5,6,0,0,1,0.076199998
ieee_123node,7,ieee_123node_line_type1,7,8,1,1,1,0.060959998
ieee_123node,8,ieee_123node_line_type10,8,12,0,1,0,0.068579998
ieee_123node,9,ieee_123node_line_type9,8,9,1,0,0,0.068579998
ieee_123node,10,ieee_123node_line_type1,8,13,1,1,1,0.091439997
ieee_123node,11,ieee_123node_line_type9,9,14,1,0,0,0.129539996
ieee_123node,12,ieee_123node_line_type11,13,34,0,0,1,0.045719999
ieee_123node,13,ieee_123node_line_type2,13,18,1,1,1,0.251459992
ieee_123node,14,ieee_123node_line_type9,14,11,1,0,0,0.076199998
ieee_123node,15,ieee_123node_line_type9,14,10,1,0,0,0.076199998
ieee_123node,16,ieee_123node_line_type11,15,16,0,0,1,0.114299996
ieee_123node,17,ieee_123node_line_type11,15,17,0,0,1,0.106679997
ieee_123node,18,ieee_123node_line_type9,18,19,1,0,0,0.076199998
ieee_123node,19,ieee_123node_line_type2,18,21,1,1,1,0.091439997
ieee_123node,20,ieee_123node_line_type9,19,20,1,0,0,0.099059997
ieee_123node,21,ieee_123node_line_type10,21,22,0,1,0,0.160019995
ieee_123node,22,ieee_123node_line_type2,21,23,1,1,1,0.076199998
ieee_123node,23,ieee_123node_line_type11,23,24,0,0,1,0.167639995
ieee_123node,24,ieee_123node_line_type2,23,25,1,1,1,0.083819997
ieee_123node,25,ieee_123node_line_type7,25,26,1,0,1,0.106679997
ieee_123node,26,ieee_123node_line_type2,25,28,1,1,1,0.060959998
ieee_123node,27,ieee_123node_line_type7,26,27,1,0,1,0.083819997
ieee_123node,28,ieee_123node_line_type11,26,31,0,0,1,0.068579998
ieee_123node,29,ieee_123node_line_type9,27,33,1,0,0,0.152399995
ieee_123node,30,ieee_123node_line_type2,28,29,1,1,1,0.091439997
ieee_123node,31,ieee_123node_line_type2,29,30,1,1,1,0.106679997
ieee_123node,32,ieee_123node_line_type2,30,250,1,1,1,0.060959998
ieee_123node,33,ieee_123node_line_type11,31,32,0,0,1,0.091439997
ieee_123node,34,ieee_123node_line_type11,34,15,0,0,1,0.030479999
ieee_123node,35,ieee_123node_line_type8,35,36,1,1,0,0.198119994
ieee_123node,36,ieee_123node_line_type1,35,40,1,1,1,0.076199998
ieee_123node,37,ieee_123node_line_type9,36,37,1,0,0,0.091439997
ieee_123node,38,ieee_123node_line_type10,36,38,0,1,0,0.076199998
ieee_123node,39,ieee_123node_line_type10,38,39,0,1,0,0.099059997
ieee_123node,40,ieee_123node_line_type11,40,41,0,0,1,0.099059997
ieee_123node,41,ieee_123node_line_type1,40,42,1,1,1,0.076199998
ieee_123node,42,ieee_123node_line_type10,42,43,0,1,0,0.152399995
ieee_123node,43,ieee_123node_line_type1,42,44,1,1,1,0.060959998
ieee_123node,44,ieee_123node_line_type9,44,45,1,0,0,0.060959998
ieee_123node,45,ieee_123node_line_type1,44,47,1,1,1,0.076199998
ieee_123node,46,ieee_123node_line_type9,45,46,1,0,0,0.091439997
ieee_123node,47,ieee_123node_line_type4,47,48,1,1,1,0.045719999
ieee_123node,48,ieee_123node_line_type4,47,49,1,1,1,0.076199998
ieee_123node,49,ieee_123node_line_type4,49,50,1,1,1,0.076199998
ieee_123node,50,ieee_123node_line_type4,50,51,1,1,1,0.076199998
ieee_123node,51,ieee_123node_line_type4,51,151,1,1,1,0.152399995
ieee_123node,52,ieee_123node_line_type1,52,53,1,1,1,0.060959998
ieee_123node,53,ieee_123node_line_type1,53,54,1,1,1,0.038099999
ieee_123node,54,ieee_123node_line_type1,54,55,1,1,1,0.083819997
ieee_123node,55,ieee_123node_line_type3,54,57,1,1,1,0.106679997
ieee_123node,56,ieee_123node_line_type1,55,56,1,1,1,0.083819997
ieee_123node,57,ieee_123node_line_type10,57,58,0,1,0,0.076199998
ieee_123node,58,ieee_123node_line_type3,57,60,1,1,1,0.228599993
ieee_123node,59,ieee_123node_line_type10,58,59,0,1,0,0.076199998
ieee_123node,60,ieee_123node_line_type5,60,61,1,1,1,0.167639995
ieee_123node,61,ieee_123node_line_type12,60,62,1,1,1,0.076199998
ieee_123node,62,ieee_123node_line_type12,62,63,1,1,1,0.053339998
ieee_123node,63,ieee_123node_line_type12,63,64,1,1,1,0.106679997
ieee_123node,64,ieee_123node_line_type12,64,65,1,1,1,0.129539996
ieee_123node,65,ieee_123node_line_type12,65,66,1,1,1,0.099059997
ieee_123node,66,ieee_123node_line_type9,67,68,1,0,0,0.060959998
ieee_123node,67,ieee_123node_line_type3,67,72,1,1,1,0.083819997
ieee_123node,68,ieee_123node_line_type3,67,97,1,1,1,0.076199998
ieee_123node,69,ieee_123node_line_type9,68,69,1,0,0,0.083819997
ieee_123node,70,ieee_123node_line_type9,69,70,1,0,0,0.099059997
ieee_123node,71,ieee_123node_line_type9,70,71,1,0,0,0.083819997
ieee_123node,72,ieee_123node_line_type11,72,73,0,0,1,0.083819997
ieee_123node,73,ieee_123node_line_type3,72,76,1,1,1,0.060959998
ieee_123node,74,ieee_123node_line_type11,73,74,0,0,1,0.106679997
ieee_123node,75,ieee_123node_line_type11,74,75,0,0,1,0.121919996
ieee_123node,76,ieee_123node_line_type6,76,77,1,1,1,0.121919996
ieee_123node,77,ieee_123node_line_type3,76,86,1,1,1,0.213359993
ieee_123node,78,ieee_123node_line_type6,77,78,1,1,1,0.030479999
ieee_123node,79,ieee_123node_line_type6,78,79,1,1,1,0.068579998
ieee_123node,80,ieee_123node_line_type6,78,80,1,1,1,0.144779995
ieee_123node,81,ieee_123node_line_type6,80,81,1,1,1,0.144779995
ieee_123node,82,ieee_123node_line_type6,81,82,1,1,1,0.076199998
ieee_123node,83,ieee_123node_line_type11,81,84,0,0,1,0.205739993
ieee_123node,84,ieee_123node_line_type6,82,83,1,1,1,0.076199998
ieee_123node,85,ieee_123node_line_type11,84,85,0,0,1,0.144779995
ieee_123node,86,ieee_123node_line_type6,86,87,1,1,1,0.137159996
ieee_123node,87,ieee_123node_line_type9,87,88,1,0,0,0.053339998
ieee_123node,88,ieee_123node_line_type6,87,89,1,1,1,0.083819997
ieee_123node,89,ieee_123node_line_type10,89,90,0,1,0,0.068579998
ieee_123node,90,ieee_123node_line_type6,89,91,1,1,1,0.068579998
ieee_123node,91,ieee_123node_line_type11,91,92,0,0,1,0.091439997
ieee_123node,92,ieee_123node_line_type6,91,93,1,1,1,0.068579998
ieee_123node,93,ieee_123node_line_type9,93,94,1,0,0,0.083819997
ieee_123node,94,ieee_123node_line_type6,93,95,1,1,1,0.091439997
ieee_123node,95,ieee_123node_line_type10,95,96,0,1,0,0.060959998
ieee_123node,96,ieee_123node_line_type3,97,98,1,1,1,0.083819997
ieee_123node,97,ieee_123node_line_type3,98,99,1,1,1,0.167639995
ieee_123node,98,ieee_123node_line_type3,99,100,1,1,1,0.091439997
ieee_123node,99,ieee_123node_line_type3,100,450,1,1,1,0.243839992
ieee_123node,100,ieee_123node_line_type11,101,102,0,0,1,0.068579998
ieee_123node,101,ieee_123node_line_type3,101,105,1,1,1,0.083819997
ieee_123node,102,ieee_123node_line_type11,102,103,0,0,1,0.099059997
ieee_123node,103,ieee_123node_line_type11,103,104,0,0,1,0.213359993
ieee_123node,104,ieee_123node_line_type10,105,106,0,1,0,0.068579998
ieee_123node,105,ieee_123node_line_type3,105,108,1,1,1,0.099059997
ieee_123node,106,ieee_123node_line_type10,106,107,0,1,0,0.175259994
ieee_123node,107,ieee_123node_line_type9,108,109,1,0,0,0.137159996
ieee_123node,108,ieee_123node_line_type3,108,300,1,1,1,0.30479999
ieee_123node,109,ieee_123node_line_type9,109,110,1,0,0,0.091439997
ieee_123node,110,ieee_123node_line_type9,110,111,1,0,0,0.175259994
ieee_123node,111,ieee_123node_line_type9,110,112,1,0,0,0.038099999
ieee_123node,112,ieee_123node_line_type9,112,113,1,0,0,0.160019995
ieee_123node,113,ieee_123node_line_type9,113,114,1,0,0,0.099059997
ieee_123node,114,ieee_123node_line_type4,135,35,1,1,1,0.114299996
ieee_123node,115,ieee_123node_line_type1,149,1,1,1,1,0.121919996
ieee_123node,116,ieee_123node_line_type1,152,52,1,1,1,0.121919996
ieee_123node,117,ieee_123node_line_type6,160,67,1,1,1,0.106679997
ieee_123node,118,ieee_123node_line_type3,197,101,1,1,1,0.076199998
