der_name,electric_grid_name,der_type,der_model_name,node_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,connection,active_power_nominal,reactive_power_nominal
Load 3,kerber_dorfnetz,fixed_load,mixed_commercial_residential,3,1,0,0,wye,-6000.0,-1972.104631073179
Load 5,kerber_dorfnetz,fixed_load,mixed_commercial_residential,5,1,0,0,wye,-6000.0,-1972.104631073179
Load 7,kerber_dorfnetz,fixed_load,mixed_commercial_residential,7,1,0,0,wye,-6000.0,-1972.104631073179
Load 9,kerber_dorfnetz,fixed_load,mixed_commercial_residential,9,1,0,0,wye,-6000.0,-1972.104631073179
Load 11,kerber_dorfnetz,fixed_load,mixed_commercial_residential,11,1,0,0,wye,-6000.0,-1972.104631073179
Load 13,kerber_dorfnetz,fixed_load,mixed_commercial_residential,13,1,0,0,wye,-6000.0,-1972.104631073179
Load 15,kerber_dorfnetz,fixed_load,mixed_commercial_residential,15,1,0,0,wye,-6000.0,-1972.104631073179
Load 17,kerber_dorfnetz,fixed_load,mixed_commercial_residential,17,1,0,0,wye,-6000.0,-1972.104631073179
Load 19,kerber_dorfnetz,fixed_load,mixed_commercial_residential,19,1,0,0,wye,-6000.0,-1972.104631073179
Load 21,kerber_dorfnetz,fixed_load,mixed_commercial_residential,21,1,0,0,wye,-6000.0,-1972.104631073179
Load 23,kerber_dorfnetz,fixed_load,mixed_commercial_residential,23,1,0,0,wye,-6000.0,-1972.104631073179
Load 25,kerber_dorfnetz,fixed_load,mixed_commercial_residential,25,1,0,0,wye,-6000.0,-1972.104631073179
Load 27,kerber_dorfnetz,fixed_load,mixed_commercial_residential,27,1,0,0,wye,-6000.0,-1972.104631073179
Load 29,kerber_dorfnetz,fixed_load,mixed_commercial_residential,29,1,0,0,wye,-6000.0,-1972.104631073179
Load 31,kerber_dorfnetz,fixed_load,mixed_commercial_residential,31,1,0,0,wye,-6000.0,-1972.104631073179
Load 33,kerber_dorfnetz,fixed_load,mixed_commercial_residential,33,1,0,0,wye,-6000.0,-1972.104631073179
Load 35,kerber_dorfnetz,fixed_load,mixed_commercial_residential,35,1,0,0,wye,-6000.0,-1972.104631073179
Load 37,kerber_dorfnetz,fixed_load,mixed_commercial_residential,37,1,0,0,wye,-6000.0,-1972.104631073179
Load 39,kerber_dorfnetz,fixed_load,mixed_commercial_residential,39,1,0,0,wye,-6000.0,-1972.104631073179
Load 41,kerber_dorfnetz,fixed_load,mixed_commercial_residential,41,1,0,0,wye,-6000.0,-1972.104631073179
Load 43,kerber_dorfnetz,fixed_load,mixed_commercial_residential,43,1,0,0,wye,-6000.0,-1972.104631073179
Load 45,kerber_dorfnetz,fixed_load,mixed_commercial_residential,45,1,0,0,wye,-6000.0,-1972.104631073179
Load 47,kerber_dorfnetz,fixed_load,mixed_commercial_residential,47,1,0,0,wye,-6000.0,-1972.104631073179
Load 49,kerber_dorfnetz,fixed_load,mixed_commercial_residential,49,1,0,0,wye,-6000.0,-1972.104631073179
Load 51,kerber_dorfnetz,fixed_load,mixed_commercial_residential,51,1,0,0,wye,-6000.0,-1972.104631073179
Load 53,kerber_dorfnetz,fixed_load,mixed_commercial_residential,53,1,0,0,wye,-6000.0,-1972.104631073179
Load 55,kerber_dorfnetz,fixed_load,mixed_commercial_residential,55,1,0,0,wye,-6000.0,-1972.104631073179
Load 57,kerber_dorfnetz,fixed_load,mixed_commercial_residential,57,1,0,0,wye,-6000.0,-1972.104631073179
Load 59,kerber_dorfnetz,fixed_load,mixed_commercial_residential,59,1,0,0,wye,-6000.0,-1972.104631073179
Load 61,kerber_dorfnetz,fixed_load,mixed_commercial_residential,61,1,0,0,wye,-6000.0,-1972.104631073179
Load 63,kerber_dorfnetz,fixed_load,mixed_commercial_residential,63,1,0,0,wye,-6000.0,-1972.104631073179
Load 65,kerber_dorfnetz,fixed_load,mixed_commercial_residential,65,1,0,0,wye,-6000.0,-1972.104631073179
Load 67,kerber_dorfnetz,fixed_load,mixed_commercial_residential,67,1,0,0,wye,-6000.0,-1972.104631073179
Load 69,kerber_dorfnetz,fixed_load,mixed_commercial_residential,69,1,0,0,wye,-6000.0,-1972.104631073179
Load 71,kerber_dorfnetz,fixed_load,mixed_commercial_residential,71,1,0,0,wye,-6000.0,-1972.104631073179
