der_name,electric_grid_name,der_type,der_model_name,node_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,connection,active_power_nominal,reactive_power_nominal
Load_2,kerber_landnetz_freileitung_1,fixed_load,mixed_commercial_residential,2,1,0,0,wye,-8000.0,-2629.4728414309056
Load_3,kerber_landnetz_freileitung_1,fixed_load,mixed_commercial_residential,3,1,0,0,wye,-8000.0,-2629.4728414309056
Load_4,kerber_landnetz_freileitung_1,fixed_load,mixed_commercial_residential,4,1,0,0,wye,-8000.0,-2629.4728414309056
Load_5,kerber_landnetz_freileitung_1,fixed_load,mixed_commercial_residential,5,1,0,0,wye,-8000.0,-2629.4728414309056
Load_6,kerber_landnetz_freileitung_1,fixed_load,mixed_commercial_residential,6,1,0,0,wye,-8000.0,-2629.4728414309056
Load_7,kerber_landnetz_freileitung_1,fixed_load,mixed_commercial_residential,7,1,0,0,wye,-8000.0,-2629.4728414309056
Load_8,kerber_landnetz_freileitung_1,fixed_load,mixed_commercial_residential,8,1,0,0,wye,-8000.0,-2629.4728414309056
Load_9,kerber_landnetz_freileitung_1,fixed_load,mixed_commercial_residential,9,1,0,0,wye,-8000.0,-2629.4728414309056
Load_10,kerber_landnetz_freileitung_1,fixed_load,mixed_commercial_residential,10,1,0,0,wye,-8000.0,-2629.4728414309056
Load_11,kerber_landnetz_freileitung_1,fixed_load,mixed_commercial_residential,11,1,0,0,wye,-8000.0,-2629.4728414309056
Load_12,kerber_landnetz_freileitung_1,fixed_load,mixed_commercial_residential,12,1,0,0,wye,-8000.0,-2629.4728414309056
Load_13,kerber_landnetz_freileitung_1,fixed_load,mixed_commercial_residential,13,1,0,0,wye,-8000.0,-2629.4728414309056
Load_14,kerber_landnetz_freileitung_1,fixed_load,mixed_commercial_residential,14,1,0,0,wye,-8000.0,-2629.4728414309056
