line_name,electric_grid_name,line_type,node_1_name,node_2_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,length
line_1_1,kerber_landnetz_freileitung_1,kerber_landnetz_freileitung_1_NFA2X 4x70,1,2,1,0,0,0.021
line_1_2,kerber_landnetz_freileitung_1,kerber_landnetz_freileitung_1_NFA2X 4x70,2,3,1,0,0,0.021
line_1_3,kerber_landnetz_freileitung_1,kerber_landnetz_freileitung_1_NFA2X 4x70,3,4,1,0,0,0.021
line_1_4,kerber_landnetz_freileitung_1,kerber_landnetz_freileitung_1_NFA2X 4x70,4,5,1,0,0,0.021
line_1_5,kerber_landnetz_freileitung_1,kerber_landnetz_freileitung_1_NFA2X 4x70,5,6,1,0,0,0.021
line_1_6,kerber_landnetz_freileitung_1,kerber_landnetz_freileitung_1_NFA2X 4x70,6,7,1,0,0,0.021
line_1_7,kerber_landnetz_freileitung_1,kerber_landnetz_freileitung_1_NFA2X 4x70,7,8,1,0,0,0.021
line_1_8,kerber_landnetz_freileitung_1,kerber_landnetz_freileitung_1_NFA2X 4x70,8,9,1,0,0,0.021
line_1_9,kerber_landnetz_freileitung_1,kerber_landnetz_freileitung_1_NFA2X 4x70,9,10,1,0,0,0.021
line_1_10,kerber_landnetz_freileitung_1,kerber_landnetz_freileitung_1_NFA2X 4x70,10,11,1,0,0,0.021
line_1_11,kerber_landnetz_freileitung_1,kerber_landnetz_freileitung_1_NFA2X 4x70,11,12,1,0,0,0.021
line_1_12,kerber_landnetz_freileitung_1,kerber_landnetz_freileitung_1_NFA2X 4x70,12,13,1,0,0,0.021
line_1_13,kerber_landnetz_freileitung_1,kerber_landnetz_freileitung_1_NFA2X 4x70,13,14,1,0,0,0.021
