der_name,electric_grid_name,der_type,der_model_name,node_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,connection,active_power_nominal,reactive_power_nominal
Load_3,kerber_vorstadtnetz_kabel_1,fixed_load,mixed_commercial_residential,3,1,0,0,wye,-2000.0,-657.3682103577264
Load_5,kerber_vorstadtnetz_kabel_1,fixed_load,mixed_commercial_residential,5,1,0,0,wye,-2000.0,-657.3682103577264
Load_7,kerber_vorstadtnetz_kabel_1,fixed_load,mixed_commercial_residential,7,1,0,0,wye,-2000.0,-657.3682103577264
Load_9,kerber_vorstadtnetz_kabel_1,fixed_load,mixed_commercial_residential,9,1,0,0,wye,-2000.0,-657.3682103577264
Load_11,kerber_vorstadtnetz_kabel_1,fixed_load,mixed_commercial_residential,11,1,0,0,wye,-2000.0,-657.3682103577264
Load_13,kerber_vorstadtnetz_kabel_1,fixed_load,mixed_commercial_residential,13,1,0,0,wye,-2000.0,-657.3682103577264
Load_15,kerber_vorstadtnetz_kabel_1,fixed_load,mixed_commercial_residential,15,1,0,0,wye,-2000.0,-657.3682103577264
Load_17,kerber_vorstadtnetz_kabel_1,fixed_load,mixed_commercial_residential,17,1,0,0,wye,-2000.0,-657.3682103577264
Load_19,kerber_vorstadtnetz_kabel_1,fixed_load,mixed_commercial_residential,19,1,0,0,wye,-2000.0,-657.3682103577264
Load_21,kerber_vorstadtnetz_kabel_1,fixed_load,mixed_commercial_residential,21,1,0,0,wye,-2000.0,-657.3682103577264
Load_23,kerber_vorstadtnetz_kabel_1,fixed_load,mixed_commercial_residential,23,1,0,0,wye,-2000.0,-657.3682103577264
Load_25,kerber_vorstadtnetz_kabel_1,fixed_load,mixed_commercial_residential,25,1,0,0,wye,-2000.0,-657.3682103577264
Load_27,kerber_vorstadtnetz_kabel_1,fixed_load,mixed_commercial_residential,27,1,0,0,wye,-2000.0,-657.3682103577264
Load_29,kerber_vorstadtnetz_kabel_1,fixed_load,mixed_commercial_residential,29,1,0,0,wye,-2000.0,-657.3682103577264
Load_31,kerber_vorstadtnetz_kabel_1,fixed_load,mixed_commercial_residential,31,1,0,0,wye,-2000.0,-657.3682103577264
Load_33,kerber_vorstadtnetz_kabel_1,fixed_load,mixed_commercial_residential,33,1,0,0,wye,-2000.0,-657.3682103577264
Load_35,kerber_vorstadtnetz_kabel_1,fixed_load,mixed_commercial_residential,35,1,0,0,wye,-2000.0,-657.3682103577264
Load_37,kerber_vorstadtnetz_kabel_1,fixed_load,mixed_commercial_residential,37,1,0,0,wye,-2000.0,-657.3682103577264
Load_39,kerber_vorstadtnetz_kabel_1,fixed_load,mixed_commercial_residential,39,1,0,0,wye,-2000.0,-657.3682103577264
Load_41,kerber_vorstadtnetz_kabel_1,fixed_load,mixed_commercial_residential,41,1,0,0,wye,-2000.0,-657.3682103577264
Load_43,kerber_vorstadtnetz_kabel_1,fixed_load,mixed_commercial_residential,43,1,0,0,wye,-2000.0,-657.3682103577264
