line_name,electric_grid_name,line_type,node_1_name,node_2_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,length
line_1_1,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,1,2,1,0,0,0.021
branchout_line_1_1,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,2,3,1,0,0,0.011
line_1_2,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,2,4,1,0,0,0.021
branchout_line_1_2,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,4,5,1,0,0,0.011
line_1_3,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,4,6,1,0,0,0.021
branchout_line_1_3,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,6,7,1,0,0,0.011
line_1_4,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,6,8,1,0,0,0.021
branchout_line_1_4,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,8,9,1,0,0,0.011
line_1_5,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,8,10,1,0,0,0.021
branchout_line_1_5,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,10,11,1,0,0,0.011
line_1_6,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,10,12,1,0,0,0.021
branchout_line_1_6,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,12,13,1,0,0,0.011
line_1_7,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,12,14,1,0,0,0.021
branchout_line_1_7,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,14,15,1,0,0,0.011
line_1_8,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,14,16,1,0,0,0.021
branchout_line_1_8,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,16,17,1,0,0,0.011
line_1_9,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,16,18,1,0,0,0.021
branchout_line_1_9,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,18,19,1,0,0,0.011
line_1_10,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,18,20,1,0,0,0.021
branchout_line_1_10,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,20,21,1,0,0,0.011
line_1_11,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,20,22,1,0,0,0.021
branchout_line_1_11,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,22,23,1,0,0,0.011
line_1_12,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,22,24,1,0,0,0.021
branchout_line_1_12,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,24,25,1,0,0,0.011
line_1_13,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,24,26,1,0,0,0.021
branchout_line_1_13,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,26,27,1,0,0,0.011
line_1_14,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,26,28,1,0,0,0.021
branchout_line_1_14,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,28,29,1,0,0,0.011
line_2_1,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,1,30,1,0,0,0.021
branchout_line_2_1,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,30,31,1,0,0,0.011
line_2_2,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,30,32,1,0,0,0.021
branchout_line_2_2,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,32,33,1,0,0,0.011
line_2_3,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,32,34,1,0,0,0.021
branchout_line_2_3,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,34,35,1,0,0,0.011
line_2_4,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,34,36,1,0,0,0.021
branchout_line_2_4,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,36,37,1,0,0,0.011
line_2_5,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,36,38,1,0,0,0.021
branchout_line_2_5,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,38,39,1,0,0,0.011
line_2_6,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,38,40,1,0,0,0.021
branchout_line_2_6,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,40,41,1,0,0,0.011
line_2_7,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,40,42,1,0,0,0.021
branchout_line_2_7,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,42,43,1,0,0,0.011
line_2_8,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,42,44,1,0,0,0.021
branchout_line_2_8,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,44,45,1,0,0,0.011
line_2_9,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,44,46,1,0,0,0.021
branchout_line_2_9,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,46,47,1,0,0,0.011
line_2_10,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,46,48,1,0,0,0.021
branchout_line_2_10,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,48,49,1,0,0,0.011
line_2_11,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,48,50,1,0,0,0.021
branchout_line_2_11,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,50,51,1,0,0,0.011
line_2_12,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,50,52,1,0,0,0.021
branchout_line_2_12,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,52,53,1,0,0,0.011
line_2_13,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,52,54,1,0,0,0.021
branchout_line_2_13,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,54,55,1,0,0,0.011
line_2_14,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,54,56,1,0,0,0.021
branchout_line_2_14,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,56,57,1,0,0,0.011
line_3_1,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,1,58,1,0,0,0.021
branchout_line_3_1,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,58,59,1,0,0,0.011
line_3_2,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,58,60,1,0,0,0.021
branchout_line_3_2,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,60,61,1,0,0,0.011
line_3_3,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,60,62,1,0,0,0.021
branchout_line_3_3,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,62,63,1,0,0,0.011
line_3_4,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,62,64,1,0,0,0.021
branchout_line_3_4,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,64,65,1,0,0,0.011
line_3_5,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,64,66,1,0,0,0.021
branchout_line_3_5,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,66,67,1,0,0,0.011
line_3_6,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,66,68,1,0,0,0.021
branchout_line_3_6,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,68,69,1,0,0,0.011
line_3_7,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,68,70,1,0,0,0.021
branchout_line_3_7,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,70,71,1,0,0,0.011
line_3_8,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,70,72,1,0,0,0.021
branchout_line_3_8,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,72,73,1,0,0,0.011
line_3_9,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,72,74,1,0,0,0.021
branchout_line_3_9,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,74,75,1,0,0,0.011
line_3_10,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,74,76,1,0,0,0.021
branchout_line_3_10,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,76,77,1,0,0,0.011
line_3_11,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,76,78,1,0,0,0.021
branchout_line_3_11,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,78,79,1,0,0,0.011
line_3_12,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,78,80,1,0,0,0.021
branchout_line_3_12,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,80,81,1,0,0,0.011
line_3_13,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,80,82,1,0,0,0.021
branchout_line_3_13,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,82,83,1,0,0,0.011
line_3_14,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,82,84,1,0,0,0.021
branchout_line_3_14,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,84,85,1,0,0,0.011
line_4_1,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,1,86,1,0,0,0.017
branchout_line_4_1,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,86,87,1,0,0,0.011
line_4_2,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,86,88,1,0,0,0.017
branchout_line_4_2,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,88,89,1,0,0,0.011
line_4_3,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,88,90,1,0,0,0.017
branchout_line_4_3,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,90,91,1,0,0,0.011
line_4_4,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,90,92,1,0,0,0.017
branchout_line_4_4,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,92,93,1,0,0,0.011
line_4_5,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,92,94,1,0,0,0.017
branchout_line_4_5,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,94,95,1,0,0,0.011
line_4_6,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,94,96,1,0,0,0.017
branchout_line_4_6,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,96,97,1,0,0,0.011
line_4_7,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,96,98,1,0,0,0.017
branchout_line_4_7,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,98,99,1,0,0,0.011
line_4_8,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,98,100,1,0,0,0.017
branchout_line_4_8,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,100,101,1,0,0,0.011
line_4_9,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,100,102,1,0,0,0.017
branchout_line_4_9,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,102,103,1,0,0,0.011
line_4_10,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,102,104,1,0,0,0.017
branchout_line_4_10,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,104,105,1,0,0,0.011
line_4_11,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,104,106,1,0,0,0.017
branchout_line_4_11,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,106,107,1,0,0,0.011
line_4_12,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,106,108,1,0,0,0.017
branchout_line_4_12,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,108,109,1,0,0,0.011
line_4_13,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,108,110,1,0,0,0.017
branchout_line_4_13,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,110,111,1,0,0,0.011
line_4_14,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,110,112,1,0,0,0.017
branchout_line_4_14,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,112,113,1,0,0,0.011
line_4_15,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,112,114,1,0,0,0.017
branchout_line_4_15,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,114,115,1,0,0,0.011
line_4_16,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,114,116,1,0,0,0.017
branchout_line_4_16,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,116,117,1,0,0,0.011
line_4_17,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,116,118,1,0,0,0.017
branchout_line_4_17,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,118,119,1,0,0,0.011
line_4_18,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,118,120,1,0,0,0.017
branchout_line_4_18,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,120,121,1,0,0,0.011
line_4_19,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,120,122,1,0,0,0.017
branchout_line_4_19,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,122,123,1,0,0,0.011
line_5_1,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,1,124,1,0,0,0.017
branchout_line_5_1,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,124,125,1,0,0,0.011
line_5_2,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,124,126,1,0,0,0.017
branchout_line_5_2,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,126,127,1,0,0,0.011
line_5_3,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,126,128,1,0,0,0.017
branchout_line_5_3,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,128,129,1,0,0,0.011
line_5_4,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,128,130,1,0,0,0.017
branchout_line_5_4,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NYY 4x35,130,131,1,0,0,0.011
line_5_5,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,130,132,1,0,0,0.017
branchout_line_5_5,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,132,133,1,0,0,0.011
line_5_6,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,132,134,1,0,0,0.017
branchout_line_5_6,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x50,134,135,1,0,0,0.011
line_5_7,kerber_vorstadtnetz_kabel_1,kerber_vorstadtnetz_kabel_1_NAYY 4x150,134,136,1,0,0,0.017
