electric_grid_name,line_name,line_type,node_1_name,node_2_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,length
paper_2021_kleinschmidt_isgt,0,MES_test_300amp,0,1,1,1,1,0.15
paper_2021_kleinschmidt_isgt,1,MES_test_300amp,1,2,1,1,1,0.15
paper_2021_kleinschmidt_isgt,2,MES_test_300amp,2,3,1,1,1,0.075
paper_2021_kleinschmidt_isgt,3,MES_test_300amp,0,4,1,1,1,0.15
paper_2021_kleinschmidt_isgt,4,MES_test_300amp,4,5,1,1,1,0.075
paper_2021_kleinschmidt_isgt,5,MES_test_300amp,5,6,1,1,1,0.15
paper_2021_kleinschmidt_isgt,6,MES_test_300amp,6,7,1,1,1,0.075
paper_2021_kleinschmidt_isgt,7,MES_test_300amp,7,8,1,1,1,0.1
paper_2021_kleinschmidt_isgt,8,MES_test_300amp,8,9,1,1,1,0.1
paper_2021_kleinschmidt_isgt,9,MES_test_300amp,4,10,1,1,1,0.075
paper_2021_kleinschmidt_isgt,10,MES_test_300amp,10,11,1,1,1,0.2
paper_2021_kleinschmidt_isgt,11,MES_test_300amp,11,12,1,1,1,0.075
paper_2021_kleinschmidt_isgt,12,MES_test_300amp,12,13,1,1,1,0.15
paper_2021_kleinschmidt_isgt,13,MES_test_300amp,13,14,1,1,1,0.15
paper_2021_kleinschmidt_isgt,14,MES_test_300amp,11,15,1,1,1,0.15
paper_2021_kleinschmidt_isgt,15,MES_test_300amp,15,16,1,1,1,0.15
paper_2021_kleinschmidt_isgt,16,MES_test_300amp,16,17,1,1,1,0.15
paper_2021_kleinschmidt_isgt,17,MES_test_300amp,17,18,1,1,1,0.075
paper_2021_kleinschmidt_isgt,18,MES_test_300amp,18,19,1,1,1,0.15


