parameter_set,parameter_name,parameter_value
paper_2021_kleinschmidt_isgt_scenario_1,fixed_load_in_service,0
paper_2021_kleinschmidt_isgt_scenario_1,fixed_generator_in_service,1
paper_2021_kleinschmidt_isgt_scenario_1,flexible_load_in_service,1
paper_2021_kleinschmidt_isgt_scenario_1,flexible_generator_in_service,0
paper_2021_kleinschmidt_isgt_scenario_1,conversion_unconstrained_in_service,1
paper_2021_kleinschmidt_isgt_scenario_1,conversion_constrained_in_service,1
paper_2021_kleinschmidt_isgt_scenario_2,fixed_load_in_service,0
paper_2021_kleinschmidt_isgt_scenario_2,fixed_generator_in_service,1
paper_2021_kleinschmidt_isgt_scenario_2,flexible_load_in_service,1
paper_2021_kleinschmidt_isgt_scenario_2,flexible_generator_in_service,0
paper_2021_kleinschmidt_isgt_scenario_2,conversion_unconstrained_in_service,1
paper_2021_kleinschmidt_isgt_scenario_2,conversion_constrained_in_service,1
