thermal_grid_name,line_name,line_type,node_1_name,node_2_name,length
paper_2021_kleinschmidt_isgt,0,MES_pipeDER-300,0,1,0.15
paper_2021_kleinschmidt_isgt,1,MES_pipeDER-300,1,2,0.15
paper_2021_kleinschmidt_isgt,2,MES_pipeDER-300,2,3,0.075
paper_2021_kleinschmidt_isgt,3,MES_pipeDER-300,0,4,0.15
paper_2021_kleinschmidt_isgt,4,MES_pipeDER-300,4,5,0.075
paper_2021_kleinschmidt_isgt,5,MES_pipeDER-300,5,6,0.15
paper_2021_kleinschmidt_isgt,6,MES_pipeDER-300,6,7,0.075
paper_2021_kleinschmidt_isgt,7,MES_pipeDER-300,7,8,0.1
paper_2021_kleinschmidt_isgt,8,MES_pipeDER-300,8,9,0.1
paper_2021_kleinschmidt_isgt,9,MES_pipeDER-300,4,10,0.075
paper_2021_kleinschmidt_isgt,10,MES_pipeDER-300,10,11,0.2
paper_2021_kleinschmidt_isgt,11,MES_pipeDER-300,11,12,0.075
paper_2021_kleinschmidt_isgt,12,MES_pipeDER-300,12,13,0.15
paper_2021_kleinschmidt_isgt,13,MES_pipeDER-300,13,14,0.15
paper_2021_kleinschmidt_isgt,14,MES_pipeDER-300,11,15,0.15
paper_2021_kleinschmidt_isgt,15,MES_pipeDER-300,15,16,0.15
paper_2021_kleinschmidt_isgt,16,MES_pipeDER-300,16,17,0.15
paper_2021_kleinschmidt_isgt,17,MES_pipeDER-300,17,18,0.075
paper_2021_kleinschmidt_isgt,18,MES_pipeDER-300,18,19,0.15




