thermal_grid_name,node_name,latitude,longitude
paper_2021_kleinschmidt_isgt,0,48.267354,11.667887
paper_2021_kleinschmidt_isgt,1,48.267429,11.667887
paper_2021_kleinschmidt_isgt,2,48.267579,11.667887
paper_2021_kleinschmidt_isgt,3,48.267729,11.667887
paper_2021_kleinschmidt_isgt,4,48.267354,11.668037
paper_2021_kleinschmidt_isgt,5,48.267429,11.668037
paper_2021_kleinschmidt_isgt,6,48.267579,11.668037
paper_2021_kleinschmidt_isgt,7,48.267579,11.668112
paper_2021_kleinschmidt_isgt,8,48.267579,11.668212
paper_2021_kleinschmidt_isgt,9,48.267579,11.668312
paper_2021_kleinschmidt_isgt,10,48.267354,11.668112
paper_2021_kleinschmidt_isgt,11,48.267354,11.668312
paper_2021_kleinschmidt_isgt,12,48.267279,11.668312
paper_2021_kleinschmidt_isgt,13,48.267129,11.668312
paper_2021_kleinschmidt_isgt,14,48.267129,11.668462
paper_2021_kleinschmidt_isgt,15,48.267354,11.668462
paper_2021_kleinschmidt_isgt,16,48.267354,11.668612
paper_2021_kleinschmidt_isgt,17,48.267354,11.668762
paper_2021_kleinschmidt_isgt,18,48.267279,11.668762
paper_2021_kleinschmidt_isgt,19,48.267129,11.668762
