thermal_grid_name,line_name,line_type,node_1_name,node_2_name,length
paper_2021_troitzsch,0,tanjongpagar_pipe3.0,0,12,0.031185306
paper_2021_troitzsch,1,tanjongpagar_pipe3.0,0,30,0.112071573
paper_2021_troitzsch,2,tanjongpagar_pipe3.0,12,11,0.079638765
paper_2021_troitzsch,3,tanjongpagar_pipe3.0,30,9,0.046801451
paper_2021_troitzsch,4,tanjongpagar_pipe3.0,30,15,0.052268625
paper_2021_troitzsch,5,tanjongpagar_pipe3.0,11,13,0.079638781
paper_2021_troitzsch,6,tanjongpagar_pipe3.0,9,8,0.079638756
paper_2021_troitzsch,7,tanjongpagar_pipe3.0,15,36,0.065860891
paper_2021_troitzsch,8,tanjongpagar_pipe3.0,13,45,0.038492457
paper_2021_troitzsch,9,tanjongpagar_pipe3.0,8,27,0.012151883
paper_2021_troitzsch,10,tanjongpagar_pipe3.0,36,17,0.056574557
paper_2021_troitzsch,11,tanjongpagar_pipe3.0,36,2,0.061487893
paper_2021_troitzsch,12,tanjongpagar_pipe3.0,45,10,0.084983461
paper_2021_troitzsch,13,tanjongpagar_pipe3.0,27,14,0.056513234
paper_2021_troitzsch,14,tanjongpagar_pipe3.0,17,35,0.054403708
paper_2021_troitzsch,15,tanjongpagar_pipe3.0,2,32,0.061487957
paper_2021_troitzsch,16,tanjongpagar_pipe3.0,14,5,0.006962356
paper_2021_troitzsch,17,tanjongpagar_pipe3.0,35,20,0.05522132
paper_2021_troitzsch,18,tanjongpagar_pipe3.0,35,1,0.061487834
paper_2021_troitzsch,19,tanjongpagar_pipe3.0,32,7,0.032493624
paper_2021_troitzsch,20,tanjongpagar_pipe3.0,5,29,0.053501578
paper_2021_troitzsch,21,tanjongpagar_pipe3.0,20,26,0.055756905
paper_2021_troitzsch,22,tanjongpagar_pipe3.0,1,31,0.061487958
paper_2021_troitzsch,23,tanjongpagar_pipe3.0,7,38,0.067486759
paper_2021_troitzsch,24,tanjongpagar_pipe3.0,29,3,0.053477526
paper_2021_troitzsch,25,tanjongpagar_pipe3.0,26,4,0.060028336
paper_2021_troitzsch,26,tanjongpagar_pipe3.0,31,18,0.055489074
paper_2021_troitzsch,27,tanjongpagar_pipe3.0,38,6,0.064706833
paper_2021_troitzsch,28,tanjongpagar_pipe3.0,3,16,0.008925488
paper_2021_troitzsch,29,tanjongpagar_pipe3.0,4,42,0.072824642
paper_2021_troitzsch,30,tanjongpagar_pipe3.0,16,28,0.054574092
paper_2021_troitzsch,31,tanjongpagar_pipe3.0,42,22,0.115394265
paper_2021_troitzsch,32,tanjongpagar_pipe3.0,28,21,0.074560579
paper_2021_troitzsch,33,tanjongpagar_pipe3.0,21,19,0.035126288
