definition_name,time_period,value
profile1,01T00:00,0.09368
profile1,01T00:30,0.09368
profile1,01T01:00,0.10576
profile1,01T01:30,0.10576
profile1,01T02:00,0.09368
profile1,01T02:30,0.09368
profile1,01T03:00,0.09368
profile1,01T03:30,0.09368
profile1,01T04:00,0.09972
profile1,01T04:30,0.09972
profile1,01T05:00,0.09667
profile1,01T05:30,0.09667
profile1,01T06:00,0.13897
profile1,01T06:30,0.13897
profile1,01T07:00,0.09667
profile1,01T07:30,0.09667
profile1,01T08:00,0.68581
profile1,01T08:30,0.68581
profile1,01T09:00,0.78852
profile1,01T09:30,0.78852
profile1,01T10:00,0.77340
profile1,01T10:30,0.77340
profile1,01T11:00,0.92145
profile1,01T11:30,0.92145
profile1,01T12:00,0.92749
profile1,01T12:30,0.92749
profile1,01T13:00,0.89724
profile1,01T13:30,0.89724
profile1,01T14:00,1.00000
profile1,01T14:30,1.00000
profile1,01T15:00,0.83986
profile1,01T15:30,0.83986
profile1,01T16:00,0.52262
profile1,01T16:30,0.52262
profile1,01T17:00,0.25682
profile1,01T17:30,0.25682
profile1,01T18:00,0.24773
profile1,01T18:30,0.24773
profile1,01T19:00,0.17522
profile1,01T19:30,0.17522
profile1,01T20:00,0.10272
profile1,01T20:30,0.10272
profile1,01T21:00,0.10272
profile1,01T21:30,0.10272
profile1,01T22:00,0.14501
profile1,01T22:30,0.14501
profile1,01T23:00,0.09972
profile1,01T23:30,0.09972
profile2,01T00:00,0.49780
profile2,01T00:30,0.49780
profile2,01T01:00,0.49780
profile2,01T01:30,0.49780
profile2,01T02:00,0.49706
profile2,01T02:30,0.49706
profile2,01T03:00,0.49780
profile2,01T03:30,0.49780
profile2,01T04:00,0.49780
profile2,01T04:30,0.49780
profile2,01T05:00,0.49853
profile2,01T05:30,0.49853
profile2,01T06:00,0.50000
profile2,01T06:30,0.50000
profile2,01T07:00,0.49853
profile2,01T07:30,0.49853
profile2,01T08:00,0.49780
profile2,01T08:30,0.49780
profile2,01T09:00,0.49927
profile2,01T09:30,0.49927
profile2,01T10:00,0.49853
profile2,01T10:30,0.49853
profile2,01T11:00,0.49853
profile2,01T11:30,0.49853
