line_type,row,col,resistance,reactance,capacitance
al_150,1,1,0.412,0.236,420
al_150,2,1,0.0,0.0,0.0
al_150,2,2,0.412,0.236,420
al_150,3,1,0.0,0.0,0.0
al_150,3,2,0.0,0.0,0.0
al_150,3,3,0.412,0.236,420
al_185,1,1,0.328,0.230,450
al_185,2,1,0.0,0.0,0.0
al_185,2,2,0.328,0.230,450
al_185,3,1,0.0,0.0,0.0
al_185,3,2,0.0,0.0,0.0
al_185,3,3,0.328,0.230,450
cu_80,1,1,0.460,0.26,350
cu_80,2,1,0.0,0.0,0.0
cu_80,2,2,0.460,0.26,350
cu_80,3,1,0.0,0.0,0.0
cu_80,3,2,0.0,0.0,0.0
cu_80,3,3,0.460,0.26,350
cu_95,1,1,0.386,0.250,350
cu_95,2,1,0.0,0.0,0.0
cu_95,2,2,0.386,0.250,350
cu_95,3,1,0.0,0.0,0.0
cu_95,3,2,0.0,0.0,0.0
cu_95,3,3,0.386,0.250,350
