thermal_grid_name,node_name,latitude,longitude
paper_2020_troitzsch_dlmp,0,371385.7459,140130.7492
paper_2020_troitzsch_dlmp,1,371680.3067,140313.5552
paper_2020_troitzsch_dlmp,2,371597.886,140239.2384
paper_2020_troitzsch_dlmp,3,371472.1858,140425.4622
paper_2020_troitzsch_dlmp,4,371766.1335,140473.7356
paper_2020_troitzsch_dlmp,5,371403.4923,140343.4516
paper_2020_troitzsch_dlmp,6,371754.0698,140162.6511
paper_2020_troitzsch_dlmp,7,371660.8209,140169.4406
paper_2020_troitzsch_dlmp,8,371372.049,140286.988
paper_2020_troitzsch_dlmp,9,371433.1004,140235.8503
paper_2020_troitzsch_dlmp,10,371264.7973,140342.9146
paper_2020_troitzsch_dlmp,11,371300.7876,140201.9115
paper_2020_troitzsch_dlmp,12,371361.8391,140150.7739
paper_2020_troitzsch_dlmp,13,371239.7362,140253.0492
paper_2020_troitzsch_dlmp,14,371399.0216,140338.1142
paper_2020_troitzsch_dlmp,15,371507.7972,140240.8
paper_2020_troitzsch_dlmp,16,371477.917,140432.3045
paper_2020_troitzsch_dlmp,17,371598.727,140322.7891
paper_2020_troitzsch_dlmp,18,371762.6926,140305.048
paper_2020_troitzsch_dlmp,19,371592.9106,140516.9768
paper_2020_troitzsch_dlmp,20,371680.1427,140396.1998
paper_2020_troitzsch_dlmp,21,371560.837,140531.2996
paper_2020_troitzsch_dlmp,22,371917.207,140459.98
paper_2020_troitzsch_dlmp,26,371721.552,140433.5375
paper_2020_troitzsch_dlmp,27,371362.7334,140294.7909
paper_2020_troitzsch_dlmp,28,371512.9602,140474.1412
paper_2020_troitzsch_dlmp,29,371437.8468,140384.4661
paper_2020_troitzsch_dlmp,30,371468.9786,140205.7982
paper_2020_troitzsch_dlmp,31,371721.4822,140267.8897
paper_2020_troitzsch_dlmp,32,371639.0615,140193.5728
paper_2020_troitzsch_dlmp,35,371639.1312,140359.2207
paper_2020_troitzsch_dlmp,36,371556.7104,140284.9039
paper_2020_troitzsch_dlmp,38,371706.0136,140119.32
paper_2020_troitzsch_dlmp,42,371820.2186,140522.5028
paper_2020_troitzsch_dlmp,45,371210.2277,140277.7659
