definition_name,time_period,value
power_residential_isgt_2021,01T00:00,0.396506087877184
power_residential_isgt_2021,01T00:30,0.396506087877184
power_residential_isgt_2021,01T01:00,0.264160931709899
power_residential_isgt_2021,01T01:30,0.264160931709899
power_residential_isgt_2021,01T02:00,0.215987294865008
power_residential_isgt_2021,01T02:30,0.215987294865008
power_residential_isgt_2021,01T03:00,0.206987824245633
power_residential_isgt_2021,01T03:30,0.206987824245633
power_residential_isgt_2021,01T04:00,0.202752779248279
power_residential_isgt_2021,01T04:30,0.202752779248279
power_residential_isgt_2021,01T05:00,0.211752249867655
power_residential_isgt_2021,01T05:30,0.211752249867655
power_residential_isgt_2021,01T06:00,0.295394388565378
power_residential_isgt_2021,01T06:30,0.295394388565378
power_residential_isgt_2021,01T07:00,0.590259396506088
power_residential_isgt_2021,01T07:30,0.590259396506088
power_residential_isgt_2021,01T08:00,0.713605082053997
power_residential_isgt_2021,01T08:30,0.713605082053997
power_residential_isgt_2021,01T09:00,0.691900476442562
power_residential_isgt_2021,01T09:30,0.691900476442562
power_residential_isgt_2021,01T10:00,0.629962943356273
power_residential_isgt_2021,01T10:30,0.629962943356273
power_residential_isgt_2021,01T11:00,0.612493382742192
power_residential_isgt_2021,01T11:30,0.612493382742192
power_residential_isgt_2021,01T12:00,0.643197458973002
power_residential_isgt_2021,01T12:30,0.643197458973002
power_residential_isgt_2021,01T13:00,0.713605082053997
power_residential_isgt_2021,01T13:30,0.713605082053997
power_residential_isgt_2021,01T14:00,0.65643197458973
power_residential_isgt_2021,01T14:30,0.65643197458973
power_residential_isgt_2021,01T15:00,0.586024351508735
power_residential_isgt_2021,01T15:30,0.586024351508735
power_residential_isgt_2021,01T16:00,0.542085759661196
power_residential_isgt_2021,01T16:30,0.542085759661196
power_residential_isgt_2021,01T17:00,0.581789306511382
power_residential_isgt_2021,01T17:30,0.581789306511382
power_residential_isgt_2021,01T18:00,0.753308628904182
power_residential_isgt_2021,01T18:30,0.753308628904182
power_residential_isgt_2021,01T19:00,0.947061937533086
power_residential_isgt_2021,01T19:30,0.947061937533086
power_residential_isgt_2021,01T20:00,0.986765484383272
power_residential_isgt_2021,01T20:30,0.986765484383272
power_residential_isgt_2021,01T21:00,0.823716251985177
power_residential_isgt_2021,01T21:30,0.823716251985177
power_residential_isgt_2021,01T22:00,0.705134992059291
power_residential_isgt_2021,01T22:30,0.705134992059291
power_residential_isgt_2021,01T23:00,0.559555320275278
power_residential_isgt_2021,01T23:30,0.559555320275278
thermal_residential_isgt_2021,01T00:00,0.864827190179835
thermal_residential_isgt_2021,01T00:30,0.864827190179835
thermal_residential_isgt_2021,01T01:00,0.984376664383163
thermal_residential_isgt_2021,01T01:30,0.984376664383163
thermal_residential_isgt_2021,01T02:00,0.985727849017863
thermal_residential_isgt_2021,01T02:30,0.985727849017863
thermal_residential_isgt_2021,01T03:00,0.991025605006903
thermal_residential_isgt_2021,01T03:30,0.991025605006903
thermal_residential_isgt_2021,01T04:00,0.995691977463707
thermal_residential_isgt_2021,01T04:30,0.995691977463707
thermal_residential_isgt_2021,01T05:00,0.997761078955466
thermal_residential_isgt_2021,01T05:30,0.997761078955466
thermal_residential_isgt_2021,01T06:00,0.760428459388057
thermal_residential_isgt_2021,01T06:30,0.760428459388057
thermal_residential_isgt_2021,01T07:00,0.768638198687826
thermal_residential_isgt_2021,01T07:30,0.768638198687826
thermal_residential_isgt_2021,01T08:00,0.762676065203579
thermal_residential_isgt_2021,01T08:30,0.762676065203579
thermal_residential_isgt_2021,01T09:00,0.758553468831063
thermal_residential_isgt_2021,01T09:30,0.758553468831063
thermal_residential_isgt_2021,01T10:00,0.742320960908679
thermal_residential_isgt_2021,01T10:30,0.742320960908679
thermal_residential_isgt_2021,01T11:00,0.719359365927572
thermal_residential_isgt_2021,01T11:30,0.719359365927572
thermal_residential_isgt_2021,01T12:00,0.690680777644545
thermal_residential_isgt_2021,01T12:30,0.690680777644545
thermal_residential_isgt_2021,01T13:00,0.679826718030146
thermal_residential_isgt_2021,01T13:30,0.679826718030146
thermal_residential_isgt_2021,01T14:00,0.672954475793488
thermal_residential_isgt_2021,01T14:30,0.672954475793488
thermal_residential_isgt_2021,01T15:00,0.673809073901993
thermal_residential_isgt_2021,01T15:30,0.673809073901993
thermal_residential_isgt_2021,01T16:00,0.673756557762828
thermal_residential_isgt_2021,01T16:30,0.673756557762828
thermal_residential_isgt_2021,01T17:00,0.682899227805647
thermal_residential_isgt_2021,01T17:30,0.682899227805647
thermal_residential_isgt_2021,01T18:00,0.688198023268348
thermal_residential_isgt_2021,01T18:30,0.688198023268348
thermal_residential_isgt_2021,01T19:00,0.711726237396958
thermal_residential_isgt_2021,01T19:30,0.711726237396958
thermal_residential_isgt_2021,01T20:00,0.72732707842757
thermal_residential_isgt_2021,01T20:30,0.72732707842757
thermal_residential_isgt_2021,01T21:00,0.746615270991018
thermal_residential_isgt_2021,01T21:30,0.746615270991018
thermal_residential_isgt_2021,01T22:00,0.989796951818269
thermal_residential_isgt_2021,01T22:30,0.989796951818269
thermal_residential_isgt_2021,01T23:00,0.970870140384142
thermal_residential_isgt_2021,01T23:30,0.970870140384142
photovoltaic_isgt_2021,01T00:00,0
photovoltaic_isgt_2021,01T00:30,0
photovoltaic_isgt_2021,01T01:00,0
photovoltaic_isgt_2021,01T01:30,0
photovoltaic_isgt_2021,01T02:00,0
photovoltaic_isgt_2021,01T02:30,0
photovoltaic_isgt_2021,01T03:00,0
photovoltaic_isgt_2021,01T03:30,0
photovoltaic_isgt_2021,01T04:00,0
photovoltaic_isgt_2021,01T04:30,0
photovoltaic_isgt_2021,01T05:00,0
photovoltaic_isgt_2021,01T05:30,0
photovoltaic_isgt_2021,01T06:00,0
photovoltaic_isgt_2021,01T06:30,0
photovoltaic_isgt_2021,01T07:00,0
photovoltaic_isgt_2021,01T07:30,0
photovoltaic_isgt_2021,01T08:00,0.0133333333333333
photovoltaic_isgt_2021,01T08:30,0.0266666666666667
photovoltaic_isgt_2021,01T09:00,0.04
photovoltaic_isgt_2021,01T09:30,0.06
photovoltaic_isgt_2021,01T10:00,0.08
photovoltaic_isgt_2021,01T10:30,0.1025
photovoltaic_isgt_2021,01T11:00,0.125
photovoltaic_isgt_2021,01T11:30,0.1475
photovoltaic_isgt_2021,01T12:00,0.17
photovoltaic_isgt_2021,01T12:30,0.186666666666667
photovoltaic_isgt_2021,01T13:00,0.203333333333333
photovoltaic_isgt_2021,01T13:30,0.22
photovoltaic_isgt_2021,01T14:00,0.184
photovoltaic_isgt_2021,01T14:30,0.148
photovoltaic_isgt_2021,01T15:00,0.112
photovoltaic_isgt_2021,01T15:30,0.076
photovoltaic_isgt_2021,01T16:00,0.04
photovoltaic_isgt_2021,01T16:30,0.02
photovoltaic_isgt_2021,01T17:00,0
photovoltaic_isgt_2021,01T17:30,0
photovoltaic_isgt_2021,01T18:00,0
photovoltaic_isgt_2021,01T18:30,0
photovoltaic_isgt_2021,01T19:00,0
photovoltaic_isgt_2021,01T19:30,0
photovoltaic_isgt_2021,01T20:00,0
photovoltaic_isgt_2021,01T20:30,0
photovoltaic_isgt_2021,01T21:00,0
photovoltaic_isgt_2021,01T21:30,0
photovoltaic_isgt_2021,01T22:00,0
photovoltaic_isgt_2021,01T22:30,0
photovoltaic_isgt_2021,01T23:00,0
photovoltaic_isgt_2021,01T23:30,0
solarthermal_isgt_2021,01T00:00,0
solarthermal_isgt_2021,01T00:30,0
solarthermal_isgt_2021,01T01:00,0
solarthermal_isgt_2021,01T01:30,0
solarthermal_isgt_2021,01T02:00,0
solarthermal_isgt_2021,01T02:30,0
solarthermal_isgt_2021,01T03:00,0
solarthermal_isgt_2021,01T03:30,0
solarthermal_isgt_2021,01T04:00,0
solarthermal_isgt_2021,01T04:30,0
solarthermal_isgt_2021,01T05:00,0
solarthermal_isgt_2021,01T05:30,0
solarthermal_isgt_2021,01T06:00,0
solarthermal_isgt_2021,01T06:30,0
solarthermal_isgt_2021,01T07:00,0
solarthermal_isgt_2021,01T07:30,0
solarthermal_isgt_2021,01T08:00,0.0133333333333333
solarthermal_isgt_2021,01T08:30,0.0266666666666667
solarthermal_isgt_2021,01T09:00,0.04
solarthermal_isgt_2021,01T09:30,0.06
solarthermal_isgt_2021,01T10:00,0.08
solarthermal_isgt_2021,01T10:30,0.1025
solarthermal_isgt_2021,01T11:00,0.125
solarthermal_isgt_2021,01T11:30,0.1475
solarthermal_isgt_2021,01T12:00,0.17
solarthermal_isgt_2021,01T12:30,0.186666666666667
solarthermal_isgt_2021,01T13:00,0.203333333333333
solarthermal_isgt_2021,01T13:30,0.22
solarthermal_isgt_2021,01T14:00,0.184
solarthermal_isgt_2021,01T14:30,0.148
solarthermal_isgt_2021,01T15:00,0.112
solarthermal_isgt_2021,01T15:30,0.076
solarthermal_isgt_2021,01T16:00,0.04
solarthermal_isgt_2021,01T16:30,0.02
solarthermal_isgt_2021,01T17:00,0
solarthermal_isgt_2021,01T17:30,0
solarthermal_isgt_2021,01T18:00,0
solarthermal_isgt_2021,01T18:30,0
solarthermal_isgt_2021,01T19:00,0
solarthermal_isgt_2021,01T19:30,0
solarthermal_isgt_2021,01T20:00,0
solarthermal_isgt_2021,01T20:30,0
solarthermal_isgt_2021,01T21:00,0
solarthermal_isgt_2021,01T21:30,0
solarthermal_isgt_2021,01T22:00,0
solarthermal_isgt_2021,01T22:30,0
solarthermal_isgt_2021,01T23:00,0
solarthermal_isgt_2021,01T23:30,0
heating_plant_isgt_2021,01T00:00,0.527862208713273
heating_plant_isgt_2021,01T00:30,0.527862208713273
heating_plant_isgt_2021,01T01:00,0.512664640324215
heating_plant_isgt_2021,01T01:30,0.554204660587639
heating_plant_isgt_2021,01T02:00,0.556231003039514
heating_plant_isgt_2021,01T02:30,0.563323201621074
heating_plant_isgt_2021,01T03:00,0.542046605876393
heating_plant_isgt_2021,01T03:30,0.533941236068896
heating_plant_isgt_2021,01T04:00,0.513677811550152
heating_plant_isgt_2021,01T04:30,0.5612968591692
heating_plant_isgt_2021,01T05:00,0.549138804457953
heating_plant_isgt_2021,01T05:30,0.572441742654509
heating_plant_isgt_2021,01T06:00,0.594731509625127
heating_plant_isgt_2021,01T06:30,0.580547112462006
heating_plant_isgt_2021,01T07:00,0.5612968591692
heating_plant_isgt_2021,01T07:30,0.621073961499493
heating_plant_isgt_2021,01T08:00,0.727456940222898
heating_plant_isgt_2021,01T08:30,0.852077001013171
heating_plant_isgt_2021,01T09:00,0.962512664640324
heating_plant_isgt_2021,01T09:30,0.813576494427558
heating_plant_isgt_2021,01T10:00,0.591691995947315
heating_plant_isgt_2021,01T10:30,0.462006079027356
heating_plant_isgt_2021,01T11:00,0.354609929078014
heating_plant_isgt_2021,01T11:30,0.295845997973658
heating_plant_isgt_2021,01T12:00,0.24113475177305
heating_plant_isgt_2021,01T12:30,0.281661600810537
heating_plant_isgt_2021,01T13:00,0.304964539007092
heating_plant_isgt_2021,01T13:30,0.31306990881459
heating_plant_isgt_2021,01T14:00,0.347517730496454
heating_plant_isgt_2021,01T14:30,0.273556231003039
heating_plant_isgt_2021,01T15:00,0.251266464032421
heating_plant_isgt_2021,01T15:30,0.26241134751773
heating_plant_isgt_2021,01T16:00,0.254305977710233
heating_plant_isgt_2021,01T16:30,0.293819655521783
heating_plant_isgt_2021,01T17:00,0.279635258358663
heating_plant_isgt_2021,01T17:30,0.336372847011145
heating_plant_isgt_2021,01T18:00,0.361702127659574
heating_plant_isgt_2021,01T18:30,0.375886524822695
heating_plant_isgt_2021,01T19:00,0.425531914893617
heating_plant_isgt_2021,01T19:30,0.394123606889564
heating_plant_isgt_2021,01T20:00,0.508611955420466
heating_plant_isgt_2021,01T20:30,0.497467071935157
heating_plant_isgt_2021,01T21:00,0.54305977710233
heating_plant_isgt_2021,01T21:30,0.490374873353597
heating_plant_isgt_2021,01T22:00,0.484295845997974
heating_plant_isgt_2021,01T22:30,0.539007092198582
heating_plant_isgt_2021,01T23:00,0.56838905775076
heating_plant_isgt_2021,01T23:30,0.497467071935157
flexible_chp_isgt_2021,01T00:00,0.6
flexible_chp_isgt_2021,01T00:30,0.6
flexible_chp_isgt_2021,01T01:00,0.6
flexible_chp_isgt_2021,01T01:30,0.6
flexible_chp_isgt_2021,01T02:00,0.6
flexible_chp_isgt_2021,01T02:30,0.6
flexible_chp_isgt_2021,01T03:00,0.6
flexible_chp_isgt_2021,01T03:30,0.6
flexible_chp_isgt_2021,01T04:00,0.6
flexible_chp_isgt_2021,01T04:30,0.6
flexible_chp_isgt_2021,01T05:00,0.6
flexible_chp_isgt_2021,01T05:30,0.6
flexible_chp_isgt_2021,01T06:00,0.6
flexible_chp_isgt_2021,01T06:30,0.6
flexible_chp_isgt_2021,01T07:00,0.6
flexible_chp_isgt_2021,01T07:30,0.6
flexible_chp_isgt_2021,01T08:00,0.6
flexible_chp_isgt_2021,01T08:30,0.6
flexible_chp_isgt_2021,01T09:00,0.6
flexible_chp_isgt_2021,01T09:30,0.6
flexible_chp_isgt_2021,01T10:00,0.6
flexible_chp_isgt_2021,01T10:30,0.6
flexible_chp_isgt_2021,01T11:00,0.6
flexible_chp_isgt_2021,01T11:30,0.6
flexible_chp_isgt_2021,01T12:00,0.6
flexible_chp_isgt_2021,01T12:30,0.6
flexible_chp_isgt_2021,01T13:00,0.6
flexible_chp_isgt_2021,01T13:30,0.6
flexible_chp_isgt_2021,01T14:00,0.6
flexible_chp_isgt_2021,01T14:30,0.6
flexible_chp_isgt_2021,01T15:00,0.6
flexible_chp_isgt_2021,01T15:30,0.6
flexible_chp_isgt_2021,01T16:00,0.6
flexible_chp_isgt_2021,01T16:30,0.6
flexible_chp_isgt_2021,01T17:00,0.6
flexible_chp_isgt_2021,01T17:30,0.6
flexible_chp_isgt_2021,01T18:00,0.6
flexible_chp_isgt_2021,01T18:30,0.6
flexible_chp_isgt_2021,01T19:00,0.6
flexible_chp_isgt_2021,01T19:30,0.6
flexible_chp_isgt_2021,01T20:00,0.6
flexible_chp_isgt_2021,01T20:30,0.6
flexible_chp_isgt_2021,01T21:00,0.6
flexible_chp_isgt_2021,01T21:30,0.6
flexible_chp_isgt_2021,01T22:00,0.6
flexible_chp_isgt_2021,01T22:30,0.6
flexible_chp_isgt_2021,01T23:00,0.6
flexible_chp_isgt_2021,01T23:30,0.6
