electric_grid_name,node_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,voltage,latitude,longitude
paper_2021_kleinschmidt_isgt,0,1,1,1,400,48.267354,11.667887
paper_2021_kleinschmidt_isgt,1,1,1,1,400,48.267429,11.667887
paper_2021_kleinschmidt_isgt,2,1,1,1,400,48.267579,11.667887
paper_2021_kleinschmidt_isgt,3,1,1,1,400,48.267729,11.667887
paper_2021_kleinschmidt_isgt,4,1,1,1,400,48.267354,11.668037
paper_2021_kleinschmidt_isgt,5,1,1,1,400,48.267429,11.668037
paper_2021_kleinschmidt_isgt,6,1,1,1,400,48.267579,11.668037
paper_2021_kleinschmidt_isgt,7,1,1,1,400,48.267579,11.668112
paper_2021_kleinschmidt_isgt,8,1,1,1,400,48.267579,11.668212
paper_2021_kleinschmidt_isgt,9,1,1,1,400,48.267579,11.668312
paper_2021_kleinschmidt_isgt,10,1,1,1,400,48.267354,11.668112
paper_2021_kleinschmidt_isgt,11,1,1,1,400,48.267354,11.668312
paper_2021_kleinschmidt_isgt,12,1,1,1,400,48.267279,11.668312
paper_2021_kleinschmidt_isgt,13,1,1,1,400,48.267129,11.668312
paper_2021_kleinschmidt_isgt,14,1,1,1,400,48.267129,11.668462
paper_2021_kleinschmidt_isgt,15,1,1,1,400,48.267354,11.668462
paper_2021_kleinschmidt_isgt,16,1,1,1,400,48.267354,11.668612
paper_2021_kleinschmidt_isgt,17,1,1,1,400,48.267354,11.668762
paper_2021_kleinschmidt_isgt,18,1,1,1,400,48.267279,11.668762
paper_2021_kleinschmidt_isgt,19,1,1,1,400,48.267129,11.668762
