building_name,zone_name,direction_name,surface_name,surface_type,surface_area,surface_comment
paper_2021_troitzsch_admm_dlmp_building_1,zone_1,south,surface_exterior_south,paper_2021_troitzsch_admm_dlmp_wall,1845.3,
paper_2021_troitzsch_admm_dlmp_building_2,zone_1,south,surface_exterior_south,paper_2021_troitzsch_admm_dlmp_wall,1845.3,
paper_2021_troitzsch_admm_dlmp_building_3,zone_1,south,surface_exterior_south,paper_2021_troitzsch_admm_dlmp_wall,3856.4,
paper_2021_troitzsch_admm_dlmp_building_4,zone_1,south,surface_exterior_south,paper_2021_troitzsch_admm_dlmp_wall,2645.1,
paper_2021_troitzsch_admm_dlmp_building_5,zone_1,south,surface_exterior_south,paper_2021_troitzsch_admm_dlmp_wall,3856.4,
paper_2021_troitzsch_admm_dlmp_building_6,zone_1,south,surface_exterior_south,paper_2021_troitzsch_admm_dlmp_wall,1508.7,
paper_2021_troitzsch_admm_dlmp_building_7,zone_1,south,surface_exterior_south,paper_2021_troitzsch_admm_dlmp_wall,8660.8,
paper_2021_troitzsch_admm_dlmp_building_8,zone_1,south,surface_exterior_south,paper_2021_troitzsch_admm_dlmp_wall,4780.4,
paper_2021_troitzsch_admm_dlmp_building_9,zone_1,south,surface_exterior_south,paper_2021_troitzsch_admm_dlmp_wall,3186.9,
paper_2021_troitzsch_admm_dlmp_building_10,zone_1,south,surface_exterior_south,paper_2021_troitzsch_admm_dlmp_wall,4780.4,
paper_2021_troitzsch_admm_dlmp_building_11,zone_1,south,surface_exterior_south,paper_2021_troitzsch_admm_dlmp_wall,3186.9,
paper_2021_troitzsch_admm_dlmp_building_12,zone_1,south,surface_exterior_south,paper_2021_troitzsch_admm_dlmp_wall,2390.2,
paper_2021_troitzsch_admm_dlmp_building_13,zone_1,south,surface_exterior_south,paper_2021_troitzsch_admm_dlmp_wall,3186.9,
paper_2021_troitzsch_admm_dlmp_building_14,zone_1,south,surface_exterior_south,paper_2021_troitzsch_admm_dlmp_wall,1785.5,
paper_2021_troitzsch_admm_dlmp_building_15,zone_1,south,surface_exterior_south,paper_2021_troitzsch_admm_dlmp_wall,1787.6,
paper_2021_troitzsch_admm_dlmp_building_16,zone_1,south,surface_exterior_south,paper_2021_troitzsch_admm_dlmp_wall,1888.9,
paper_2021_troitzsch_admm_dlmp_building_17,zone_1,south,surface_exterior_south,paper_2021_troitzsch_admm_dlmp_wall,1868.8,
paper_2021_troitzsch_admm_dlmp_building_18,zone_1,south,surface_exterior_south,paper_2021_troitzsch_admm_dlmp_wall,1791.4,
paper_2021_troitzsch_admm_dlmp_building_19,zone_1,south,surface_exterior_south,paper_2021_troitzsch_admm_dlmp_wall,1808.4,
paper_2021_troitzsch_admm_dlmp_building_20,zone_1,south,surface_exterior_south,paper_2021_troitzsch_admm_dlmp_wall,1982.7,
paper_2021_troitzsch_admm_dlmp_building_21,zone_1,south,surface_exterior_south,paper_2021_troitzsch_admm_dlmp_wall,3705.9,
paper_2021_troitzsch_admm_dlmp_building_22,zone_1,south,surface_exterior_south,paper_2021_troitzsch_admm_dlmp_wall,2815.4,
paper_2021_troitzsch_admm_dlmp_building_1,zone_1,east,surface_exterior_east,paper_2021_troitzsch_admm_dlmp_wall,1845.3,
paper_2021_troitzsch_admm_dlmp_building_2,zone_1,east,surface_exterior_east,paper_2021_troitzsch_admm_dlmp_wall,1845.3,
