parameter_set,parameter_name,parameter_value
singapore_tanjongpagar_default,cooling_plant_in_service,0
singapore_tanjongpagar_default,pv_plant_in_service,0
singapore_tanjongpagar_default,cooling_plant_active_power,0.0
singapore_tanjongpagar_default,cooling_plant_reactive_power,0.0
singapore_tanjongpagar_default,cooling_plant_thermal_power,0.0
singapore_tanjongpagar_default,pv_plant_active_power,0.0
singapore_tanjongpagar_default,pv_plant_reactive_power,0.0
paper_2021_troitzsch_dlmp_scenario_1_2_3_4_5,cooling_plant_in_service,1
paper_2021_troitzsch_dlmp_scenario_1_2_3_4_5,pv_plant_in_service,1
paper_2021_troitzsch_dlmp_scenario_1_2_3_4_5,cooling_plant_active_power,-1.0
paper_2021_troitzsch_dlmp_scenario_1_2_3_4_5,cooling_plant_reactive_power,-0.5
paper_2021_troitzsch_dlmp_scenario_1_2_3_4_5,cooling_plant_thermal_power,+5.0
paper_2021_troitzsch_dlmp_scenario_1_2_3_4_5,pv_plant_active_power,+1.0
paper_2021_troitzsch_dlmp_scenario_1_2_3_4_5,pv_plant_reactive_power,+0.5
paper_2021_troitzsch_dlmp_scenario_6_7_8,cooling_plant_in_service,1
paper_2021_troitzsch_dlmp_scenario_6_7_8,pv_plant_in_service,1
paper_2021_troitzsch_dlmp_scenario_6_7_8,cooling_plant_active_power,-10000000.0
paper_2021_troitzsch_dlmp_scenario_6_7_8,cooling_plant_reactive_power,-5000000.0
paper_2021_troitzsch_dlmp_scenario_6_7_8,cooling_plant_thermal_power,+50000000.0
paper_2021_troitzsch_dlmp_scenario_6_7_8,pv_plant_active_power,+1.0
paper_2021_troitzsch_dlmp_scenario_6_7_8,pv_plant_reactive_power,+0.5
paper_2021_troitzsch_dlmp_scenario_9,cooling_plant_in_service,1
paper_2021_troitzsch_dlmp_scenario_9,pv_plant_in_service,1
paper_2021_troitzsch_dlmp_scenario_9,cooling_plant_active_power,-100000000.0
paper_2021_troitzsch_dlmp_scenario_9,cooling_plant_reactive_power,-50000000.0
paper_2021_troitzsch_dlmp_scenario_9,cooling_plant_thermal_power,+500000000.0
paper_2021_troitzsch_dlmp_scenario_9,pv_plant_active_power,+1.0
paper_2021_troitzsch_dlmp_scenario_9,pv_plant_reactive_power,+0.5
paper_2021_troitzsch_dlmp_scenario_10_11_12,cooling_plant_in_service,1
paper_2021_troitzsch_dlmp_scenario_10_11_12,pv_plant_in_service,1
paper_2021_troitzsch_dlmp_scenario_10_11_12,cooling_plant_active_power,-1.0
paper_2021_troitzsch_dlmp_scenario_10_11_12,cooling_plant_reactive_power,-0.5
paper_2021_troitzsch_dlmp_scenario_10_11_12,cooling_plant_thermal_power,+5.0
paper_2021_troitzsch_dlmp_scenario_10_11_12,pv_plant_active_power,+10000000.0
paper_2021_troitzsch_dlmp_scenario_10_11_12,pv_plant_reactive_power,+5000000.0
paper_2021_troitzsch_dlmp_scenario_13,cooling_plant_in_service,1
paper_2021_troitzsch_dlmp_scenario_13,pv_plant_in_service,1
paper_2021_troitzsch_dlmp_scenario_13,cooling_plant_active_power,-1.0
paper_2021_troitzsch_dlmp_scenario_13,cooling_plant_reactive_power,-0.5
paper_2021_troitzsch_dlmp_scenario_13,cooling_plant_thermal_power,+5.0
paper_2021_troitzsch_dlmp_scenario_13,pv_plant_active_power,+100000000.0
paper_2021_troitzsch_dlmp_scenario_13,pv_plant_reactive_power,+50000000.0
paper_2021_troitzsch_dlmp_scenario_14,cooling_plant_in_service,1
paper_2021_troitzsch_dlmp_scenario_14,pv_plant_in_service,1
paper_2021_troitzsch_dlmp_scenario_14,cooling_plant_active_power,-10000000.0
paper_2021_troitzsch_dlmp_scenario_14,cooling_plant_reactive_power,-5000000.0
paper_2021_troitzsch_dlmp_scenario_14,cooling_plant_thermal_power,+50000000.0
paper_2021_troitzsch_dlmp_scenario_14,pv_plant_active_power,+100000000.0
paper_2021_troitzsch_dlmp_scenario_14,pv_plant_reactive_power,+50000000.0
paper_2021_troitzsch_dlmp_scenario_15,cooling_plant_in_service,1
paper_2021_troitzsch_dlmp_scenario_15,pv_plant_in_service,1
paper_2021_troitzsch_dlmp_scenario_15,cooling_plant_active_power,-100000000.0
paper_2021_troitzsch_dlmp_scenario_15,cooling_plant_reactive_power,-50000000.0
paper_2021_troitzsch_dlmp_scenario_15,cooling_plant_thermal_power,+500000000.0
paper_2021_troitzsch_dlmp_scenario_15,pv_plant_active_power,+1000000000.0
paper_2021_troitzsch_dlmp_scenario_15,pv_plant_reactive_power,+500000000.0
