thermal_grid_name,der_name,node_name,der_type,der_model_name,thermal_power_nominal,in_service
paper_2021_troitzsch_admm_dlmp,1,1,flexible_building,paper_2021_troitzsch_admm_dlmp_building_1,-32936377.15,1
paper_2021_troitzsch_admm_dlmp,2,2,flexible_building,paper_2021_troitzsch_admm_dlmp_building_2,-32936377.15,1
paper_2021_troitzsch_admm_dlmp,3,3,flexible_building,paper_2021_troitzsch_admm_dlmp_building_3,-53580309.59,1
paper_2021_troitzsch_admm_dlmp,4,4,flexible_building,paper_2021_troitzsch_admm_dlmp_building_4,-37431400.6,1
paper_2021_troitzsch_admm_dlmp,5,5,flexible_building,paper_2021_troitzsch_admm_dlmp_building_5,-53580309.59,1
paper_2021_troitzsch_admm_dlmp,6,6,flexible_building,paper_2021_troitzsch_admm_dlmp_building_6,-23316383.46,1
paper_2021_troitzsch_admm_dlmp,7,7,flexible_building,paper_2021_troitzsch_admm_dlmp_building_7,-49733402.86,1
paper_2021_troitzsch_admm_dlmp,8,8,flexible_building,paper_2021_troitzsch_admm_dlmp_building_8,-24477978.63,1
paper_2021_troitzsch_admm_dlmp,9,9,flexible_building,paper_2021_troitzsch_admm_dlmp_building_9,-16318571.43,1
paper_2021_troitzsch_admm_dlmp,10,10,flexible_building,paper_2021_troitzsch_admm_dlmp_building_10,-24477978.63,1
paper_2021_troitzsch_admm_dlmp,11,11,flexible_building,paper_2021_troitzsch_admm_dlmp_building_11,-16318601.86,1
paper_2021_troitzsch_admm_dlmp,12,12,flexible_building,paper_2021_troitzsch_admm_dlmp_building_12,-12238974.1,1
paper_2021_troitzsch_admm_dlmp,13,13,flexible_building,paper_2021_troitzsch_admm_dlmp_building_13,-16318601.86,1
paper_2021_troitzsch_admm_dlmp,14,14,flexible_building,paper_2021_troitzsch_admm_dlmp_building_14,-25472451.81,1
paper_2021_troitzsch_admm_dlmp,15,15,flexible_building,paper_2021_troitzsch_admm_dlmp_building_15,-25522310.75,1
paper_2021_troitzsch_admm_dlmp,16,16,flexible_building,paper_2021_troitzsch_admm_dlmp_building_16,-27968881.6,1
paper_2021_troitzsch_admm_dlmp,17,17,flexible_building,paper_2021_troitzsch_admm_dlmp_building_17,-27474161.46,1
paper_2021_troitzsch_admm_dlmp,18,18,flexible_building,paper_2021_troitzsch_admm_dlmp_building_18,-31281569.5,1
paper_2021_troitzsch_admm_dlmp,19,19,flexible_building,paper_2021_troitzsch_admm_dlmp_building_19,-26014754.48,1
paper_2021_troitzsch_admm_dlmp,20,20,flexible_building,paper_2021_troitzsch_admm_dlmp_building_20,-30337763.19,1
paper_2021_troitzsch_admm_dlmp,21,21,flexible_building,paper_2021_troitzsch_admm_dlmp_building_21,-66346359.78,1
paper_2021_troitzsch_admm_dlmp,22,22,flexible_building,paper_2021_troitzsch_admm_dlmp_building_22,-70033270.55,1
paper_2021_troitzsch_admm_dlmp,23,22,cooling_plant,paper_2021_troitzsch_admm_dlmp_cooling_plant,cooling_plant_thermal_power,cooling_plant_in_service
