electric_grid_name,line_name,line_type,node_1_name,node_2_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,length
singapore_district1,0,singapore_5,0,1,1,0,0,1e-06
singapore_district1,1,singapore_5,0,2,1,0,0,1e-06
singapore_district1,2,singapore_5,0,3,1,0,0,1e-06
singapore_district1,3,singapore_5,0,4,1,0,0,1e-06
singapore_district1,4,singapore_5,0,5,1,0,0,1e-06
singapore_district1,5,singapore_5,1,9,1,0,0,0.6090675649788143
singapore_district1,6,singapore_3,1,18,1,0,0,0.3134294971957551
singapore_district1,7,singapore_4,1,19,1,0,0,0.18748566003711864
singapore_district1,8,singapore_4,1,38,1,0,0,0.7654743045581848
singapore_district1,9,singapore_2,1,43,1,0,0,0.6034375561104361
singapore_district1,10,singapore_5,2,35,1,0,0,1.399055570114322
singapore_district1,11,singapore_4,2,70,1,0,0,1.5887682532343543
singapore_district1,12,singapore_4,2,176,1,0,0,0.9764560547598038
singapore_district1,13,singapore_4,2,181,1,0,0,0.5893047343808118
singapore_district1,14,singapore_2,2,182,1,0,0,0.35561519005084297
singapore_district1,15,singapore_2,2,189,1,0,0,1.0036171958398947
singapore_district1,16,singapore_2,3,153,1,0,0,0.23959247123932023
singapore_district1,17,singapore_4,3,159,1,0,0,3.5106319757229065
singapore_district1,18,singapore_4,3,161,1,0,0,3.40706856293392
singapore_district1,19,singapore_2,4,117,1,0,0,0.4076125976312629
singapore_district1,20,singapore_5,4,122,1,0,0,0.0704534697489145
singapore_district1,21,singapore_5,5,148,1,0,0,0.6512387299430074
singapore_district1,22,singapore_4,5,172,1,0,0,0.18569522015077577
singapore_district1,23,singapore_1,6,22,1,0,0,0.13830860554106916
singapore_district1,24,singapore_2,6,24,1,0,0,0.02183591019005129
singapore_district1,25,singapore_2,7,12,1,0,0,0.23908047183566636
singapore_district1,26,singapore_1,7,27,1,0,0,0.0795140585147561
singapore_district1,27,singapore_2,8,17,1,0,0,0.33455113846995366
singapore_district1,28,singapore_4,8,21,1,0,0,0.6797298905268504
singapore_district1,29,singapore_1,8,26,1,0,0,0.40359296824014074
singapore_district1,30,singapore_5,9,225,1,0,0,0.5859179994682957
singapore_district1,31,singapore_1,10,27,1,0,0,0.27988448915966796
singapore_district1,32,singapore_1,10,33,1,0,0,0.20542786799490723
