electric_grid_name,transformer_name,transformer_type,node_1_name,node_2_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,connection,apparent_power
singapore_district1,1,lossless_transformer,0,1,1,0,0,wye-wye,50000000.0
singapore_district1,2,lossless_transformer,0,2,1,0,0,wye-wye,50000000.0
singapore_district1,3,lossless_transformer,0,3,1,0,0,wye-wye,25000000.0
singapore_district1,4,lossless_transformer,0,4,1,0,0,wye-wye,25000000.0
singapore_district1,5,lossless_transformer,0,5,1,0,0,wye-wye,25000000.0
singapore_district2,1,lossless_transformer,0,1,1,0,0,wye-wye,25000000.0
singapore_district2,2,lossless_transformer,0,2,1,0,0,wye-wye,25000000.0
singapore_district2,3,lossless_transformer,0,3,1,0,0,wye-wye,25000000.0
singapore_district3,1,lossless_transformer,0,1,1,0,0,wye-wye,25000000.0
singapore_district3,2,lossless_transformer,0,2,1,0,0,wye-wye,25000000.0
singapore_district3,3,lossless_transformer,0,3,1,0,0,wye-wye,25000000.0
singapore_district4,1,lossless_transformer,0,1,1,0,0,wye-wye,25000000.0
singapore_district4,2,lossless_transformer,0,2,1,0,0,wye-wye,25000000.0
singapore_district4,3,lossless_transformer,0,3,1,0,0,wye-wye,25000000.0
singapore_district4,4,lossless_transformer,0,4,1,0,0,wye-wye,25000000.0
singapore_district4,5,lossless_transformer,0,5,1,0,0,wye-wye,25000000.0
singapore_district4,6,lossless_transformer,0,6,1,0,0,wye-wye,25000000.0
singapore_district4,7,lossless_transformer,0,7,1,0,0,wye-wye,25000000.0
singapore_district4,8,lossless_transformer,0,8,1,0,0,wye-wye,25000000.0
singapore_district4,9,lossless_transformer,0,9,1,0,0,wye-wye,25000000.0
singapore_district4,10,lossless_transformer,0,10,1,0,0,wye-wye,25000000.0
singapore_district5,1,lossless_transformer,0,1,1,0,0,wye-wye,25000000.0
singapore_district5,2,lossless_transformer,0,2,1,0,0,wye-wye,25000000.0
singapore_district5,3,lossless_transformer,0,3,1,0,0,wye-wye,25000000.0
singapore_district6,1,lossless_transformer,0,1,1,0,0,wye-wye,25000000.0
singapore_district6,2,lossless_transformer,0,2,1,0,0,wye-wye,25000000.0
singapore_district6,3,lossless_transformer,0,3,1,0,0,wye-wye,25000000.0
singapore_district7,1,lossless_transformer,0,1,1,0,0,wye-wye,25000000.0
singapore_district7,2,lossless_transformer,0,2,1,0,0,wye-wye,25000000.0
singapore_district7,3,lossless_transformer,0,3,1,0,0,wye-wye,25000000.0
singapore_district7,4,lossless_transformer,0,4,1,0,0,wye-wye,25000000.0
singapore_district7,5,lossless_transformer,0,5,1,0,0,wye-wye,25000000.0
singapore_district7,6,lossless_transformer,0,6,1,0,0,wye-wye,25000000.0
singapore_district8,1,lossless_transformer,0,1,1,0,0,wye-wye,25000000.0
singapore_district8,2,lossless_transformer,0,2,1,0,0,wye-wye,25000000.0
singapore_district9,1,lossless_transformer,0,1,1,0,0,wye-wye,25000000.0
singapore_district9,2,lossless_transformer,0,2,1,0,0,wye-wye,25000000.0
singapore_district10,1,lossless_transformer,0,1,1,0,0,wye-wye,25000000.0
singapore_district10,2,lossless_transformer,0,2,1,0,0,wye-wye,25000000.0
singapore_district10,3,lossless_transformer,0,3,1,0,0,wye-wye,25000000.0
singapore_district11,1,lossless_transformer,0,1,1,0,0,wye-wye,25000000.0
singapore_district12,1,lossless_transformer,0,1,1,0,0,wye-wye,50000000.0
singapore_district12,2,lossless_transformer,0,2,1,0,0,wye-wye,50000000.0
singapore_district12,3,lossless_transformer,0,3,1,0,0,wye-wye,25000000.0
singapore_district13,1,lossless_transformer,0,1,1,0,0,wye-wye,25000000.0
singapore_district13,2,lossless_transformer,0,2,1,0,0,wye-wye,25000000.0
singapore_district13,3,lossless_transformer,0,3,1,0,0,wye-wye,25000000.0
singapore_district13,4,lossless_transformer,0,4,1,0,0,wye-wye,25000000.0
singapore_district14,1,lossless_transformer,0,1,1,0,0,wye-wye,25000000.0
singapore_district15,1,lossless_transformer,0,1,1,0,0,wye-wye,25000000.0
singapore_district15,2,lossless_transformer,0,2,1,0,0,wye-wye,25000000.0
singapore_district15,3,lossless_transformer,0,3,1,0,0,wye-wye,25000000.0
singapore_district15,4,lossless_transformer,0,4,1,0,0,wye-wye,25000000.0
singapore_district15,5,lossless_transformer,0,5,1,0,0,wye-wye,25000000.0
singapore_district15,6,lossless_transformer,0,6,1,0,0,wye-wye,25000000.0
singapore_district16,1,lossless_transformer,0,1,1,0,0,wye-wye,25000000.0
singapore_district17,1,lossless_transformer,0,1,1,0,0,wye-wye,50000000.0
singapore_district18,1,lossless_transformer,0,1,1,0,0,wye-wye,50000000.0
singapore_district18,2,lossless_transformer,0,2,1,0,0,wye-wye,25000000.0
singapore_district18,3,lossless_transformer,0,3,1,0,0,wye-wye,50000000.0
