scenario_name,electric_grid_name,thermal_grid_name,parameter_set,timestep_start,timestep_end,timestep_interval
singapore_district1,singapore_district1,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district10,singapore_district10,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district11,singapore_district11,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district12,singapore_district12,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district13,singapore_district13,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district14,singapore_district14,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district15,singapore_district15,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district16,singapore_district16,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district17,singapore_district17,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district18,singapore_district18,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district19,singapore_district19,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district2,singapore_district2,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district20,singapore_district20,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district21,singapore_district21,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district22,singapore_district22,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district23,singapore_district23,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district24,singapore_district24,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district25,singapore_district25,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district26,singapore_district26,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district27,singapore_district27,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district28,singapore_district28,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district29,singapore_district29,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district3,singapore_district3,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district30,singapore_district30,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district31,singapore_district31,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district32,singapore_district32,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district33,singapore_district33,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district34,singapore_district34,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district35,singapore_district35,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district36,singapore_district36,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district4,singapore_district4,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district5,singapore_district5,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district6,singapore_district6,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district7,singapore_district7,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district8,singapore_district8,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_district9,singapore_district9,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
