electric_grid_name,source_node_name,base_frequency
singapore_1,0,50.0
singapore_10,0,50.0
singapore_11,0,50.0
singapore_12,0,50.0
singapore_13,0,50.0
singapore_14,0,50.0
singapore_15,0,50.0
singapore_16,0,50.0
singapore_17,0,50.0
singapore_18,0,50.0
singapore_19,0,50.0
singapore_2,0,50.0
singapore_20,0,50.0
singapore_21,0,50.0
singapore_22,0,50.0
singapore_23,0,50.0
singapore_24,0,50.0
singapore_25,0,50.0
singapore_26,0,50.0
singapore_27,0,50.0
singapore_28,0,50.0
singapore_29,0,50.0
singapore_3,0,50.0
singapore_30,0,50.0
singapore_31,0,50.0
singapore_32,0,50.0
singapore_33,0,50.0
singapore_34,0,50.0
singapore_35,0,50.0
singapore_36,0,50.0
singapore_4,0,50.0
singapore_5,0,50.0
singapore_6,0,50.0
singapore_7,0,50.0
singapore_8,0,50.0
singapore_9,0,50.0
