scenario_name,electric_grid_name,thermal_grid_name,parameter_set,timestep_start,timestep_end,timestep_interval
singapore_1,singapore_1,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_10,singapore_10,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_11,singapore_11,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_12,singapore_12,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_13,singapore_13,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_14,singapore_14,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_15,singapore_15,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_16,singapore_16,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_17,singapore_17,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_18,singapore_18,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_19,singapore_19,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_2,singapore_2,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_20,singapore_20,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_21,singapore_21,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_22,singapore_22,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_23,singapore_23,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_24,singapore_24,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_25,singapore_25,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_26,singapore_26,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_27,singapore_27,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_28,singapore_28,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_29,singapore_29,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_3,singapore_3,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_30,singapore_30,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_31,singapore_31,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_32,singapore_32,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_33,singapore_33,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_34,singapore_34,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_35,singapore_35,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_36,singapore_36,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_4,singapore_4,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_5,singapore_5,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_6,singapore_6,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_7,singapore_7,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_8,singapore_8,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
singapore_9,singapore_9,,,2017-01-01T00:00:00,2017-01-02T00:00:00,01:00:00
