line_name,electric_grid_name,line_type,node_1_name,node_2_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,length
0,singapore_tanjongpagar,hougang_linetype_22,0,12,1,1,1,0.03118530646
1,singapore_tanjongpagar,hougang_linetype_22,0,30,1,1,1,0.1120715734
2,singapore_tanjongpagar,hougang_linetype_22,12,11,1,1,1,0.07963876526
3,singapore_tanjongpagar,hougang_linetype_22,30,9,1,1,1,0.04680145133
4,singapore_tanjongpagar,hougang_linetype_22,30,15,1,1,1,0.05226862542
5,singapore_tanjongpagar,hougang_linetype_22,11,13,1,1,1,0.0796387809
6,singapore_tanjongpagar,hougang_linetype_22,9,8,1,1,1,0.07963875558
7,singapore_tanjongpagar,hougang_linetype_22,15,36,1,1,1,0.06586089106
8,singapore_tanjongpagar,hougang_linetype_22,13,45,1,1,1,0.03849245702
9,singapore_tanjongpagar,hougang_linetype_22,8,27,1,1,1,0.01215188261
10,singapore_tanjongpagar,hougang_linetype_22,36,17,1,1,1,0.05657455692
11,singapore_tanjongpagar,hougang_linetype_22,36,2,1,1,1,0.06148789337
12,singapore_tanjongpagar,hougang_linetype_22,45,10,1,1,1,0.08498346138
13,singapore_tanjongpagar,hougang_linetype_22,27,14,1,1,1,0.05651323377
14,singapore_tanjongpagar,hougang_linetype_22,17,35,1,1,1,0.05440370831
15,singapore_tanjongpagar,hougang_linetype_22,2,32,1,1,1,0.0614879573
16,singapore_tanjongpagar,hougang_linetype_22,14,5,1,1,1,0.006962355778
17,singapore_tanjongpagar,hougang_linetype_22,35,20,1,1,1,0.05522131978
18,singapore_tanjongpagar,hougang_linetype_22,35,1,1,1,1,0.06148783407
19,singapore_tanjongpagar,hougang_linetype_22,32,7,1,1,1,0.03249362417
20,singapore_tanjongpagar,hougang_linetype_22,5,29,1,1,1,0.05350157785
21,singapore_tanjongpagar,hougang_linetype_22,20,26,1,1,1,0.0557569046
22,singapore_tanjongpagar,hougang_linetype_22,1,31,1,1,1,0.06148795768
23,singapore_tanjongpagar,hougang_linetype_22,7,38,1,1,1,0.06748675878
24,singapore_tanjongpagar,hougang_linetype_22,29,3,1,1,1,0.05347752585
25,singapore_tanjongpagar,hougang_linetype_22,26,4,1,1,1,0.06002833555
26,singapore_tanjongpagar,hougang_linetype_22,31,18,1,1,1,0.05548907418
27,singapore_tanjongpagar,hougang_linetype_22,38,6,1,1,1,0.06470683303
28,singapore_tanjongpagar,hougang_linetype_22,3,16,1,1,1,0.008925487958
29,singapore_tanjongpagar,hougang_linetype_22,4,42,1,1,1,0.07282464223
30,singapore_tanjongpagar,hougang_linetype_22,16,28,1,1,1,0.0545740915
31,singapore_tanjongpagar,hougang_linetype_22,42,22,1,1,1,0.115394265
32,singapore_tanjongpagar,hougang_linetype_22,28,21,1,1,1,0.07456057938
33,singapore_tanjongpagar,hougang_linetype_22,21,19,1,1,1,0.03512628829
