node_name,electric_grid_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,voltage,latitude,longitude
0,singapore_tanjongpagar,1,1,1,22000.0,371385.7459,140130.7492
1,singapore_tanjongpagar,1,1,1,22000.0,371680.3067,140313.5552
2,singapore_tanjongpagar,1,1,1,22000.0,371597.886,140239.2384
3,singapore_tanjongpagar,1,1,1,22000.0,371472.1858,140425.4622
4,singapore_tanjongpagar,1,1,1,22000.0,371766.1335,140473.7356
5,singapore_tanjongpagar,1,1,1,22000.0,371403.4923,140343.4516
6,singapore_tanjongpagar,1,1,1,22000.0,371754.0698,140162.6511
7,singapore_tanjongpagar,1,1,1,22000.0,371660.8209,140169.4406
8,singapore_tanjongpagar,1,1,1,22000.0,371372.049,140286.988
9,singapore_tanjongpagar,1,1,1,22000.0,371433.1004,140235.8503
10,singapore_tanjongpagar,1,1,1,22000.0,371264.7973,140342.9146
11,singapore_tanjongpagar,1,1,1,22000.0,371300.7876,140201.9115
12,singapore_tanjongpagar,1,1,1,22000.0,371361.8391,140150.7739
13,singapore_tanjongpagar,1,1,1,22000.0,371239.7362,140253.0492
14,singapore_tanjongpagar,1,1,1,22000.0,371399.0216,140338.1142
15,singapore_tanjongpagar,1,1,1,22000.0,371507.7972,140240.8
16,singapore_tanjongpagar,1,1,1,22000.0,371477.917,140432.3045
17,singapore_tanjongpagar,1,1,1,22000.0,371598.727,140322.7891
18,singapore_tanjongpagar,1,1,1,22000.0,371762.6926,140305.048
19,singapore_tanjongpagar,1,1,1,22000.0,371592.9106,140516.9768
20,singapore_tanjongpagar,1,1,1,22000.0,371680.1427,140396.1998
21,singapore_tanjongpagar,1,1,1,22000.0,371560.837,140531.2996
22,singapore_tanjongpagar,1,1,1,22000.0,371917.207,140459.98
26,singapore_tanjongpagar,1,1,1,22000.0,371721.552,140433.5375
27,singapore_tanjongpagar,1,1,1,22000.0,371362.7334,140294.7909
28,singapore_tanjongpagar,1,1,1,22000.0,371512.9602,140474.1412
29,singapore_tanjongpagar,1,1,1,22000.0,371437.8468,140384.4661
30,singapore_tanjongpagar,1,1,1,22000.0,371468.9786,140205.7982
31,singapore_tanjongpagar,1,1,1,22000.0,371721.4822,140267.8897
32,singapore_tanjongpagar,1,1,1,22000.0,371639.0615,140193.5728
35,singapore_tanjongpagar,1,1,1,22000.0,371639.1312,140359.2207
36,singapore_tanjongpagar,1,1,1,22000.0,371556.7104,140284.9039
38,singapore_tanjongpagar,1,1,1,22000.0,371706.0136,140119.32
42,singapore_tanjongpagar,1,1,1,22000.0,371820.2186,140522.5028
45,singapore_tanjongpagar,1,1,1,22000.0,371210.2277,140277.7659
