parameter_set,parameter_name,parameter_value
paper_2020_2_scenario_1_2_3_4_5,cooling_plant_active_power,-10.0
paper_2020_2_scenario_1_2_3_4_5,cooling_plant_reactive_power,-5.0
paper_2020_2_scenario_1_2_3_4_5,cooling_plant_thermal_power,+50.0
paper_2020_2_scenario_1_2_3_4_5,pv_plant_active_power,+10.0
paper_2020_2_scenario_1_2_3_4_5,pv_plant_reactive_power,+5.0
paper_2020_2_scenario_6_7_8,cooling_plant_active_power,-10000000.0
paper_2020_2_scenario_6_7_8,cooling_plant_reactive_power,-5000000.0
paper_2020_2_scenario_6_7_8,cooling_plant_thermal_power,+50000000.0
paper_2020_2_scenario_6_7_8,pv_plant_active_power,+10.0
paper_2020_2_scenario_6_7_8,pv_plant_reactive_power,+5.0
paper_2020_2_scenario_9,cooling_plant_active_power,-1000000000.0
paper_2020_2_scenario_9,cooling_plant_reactive_power,-500000000.0
paper_2020_2_scenario_9,cooling_plant_thermal_power,+5000000000.0
paper_2020_2_scenario_9,pv_plant_active_power,+10.0
paper_2020_2_scenario_9,pv_plant_reactive_power,+5.0
paper_2020_2_scenario_10_11_12,cooling_plant_active_power,-10.0
paper_2020_2_scenario_10_11_12,cooling_plant_reactive_power,-5.0
paper_2020_2_scenario_10_11_12,cooling_plant_thermal_power,+50.0
paper_2020_2_scenario_10_11_12,pv_plant_active_power,+10000000.0
paper_2020_2_scenario_10_11_12,pv_plant_reactive_power,+5000000.0
paper_2020_2_scenario_13,cooling_plant_active_power,-10.0
paper_2020_2_scenario_13,cooling_plant_reactive_power,-5.0
paper_2020_2_scenario_13,cooling_plant_thermal_power,+50.0
paper_2020_2_scenario_13,pv_plant_active_power,+1000000000.0
paper_2020_2_scenario_13,pv_plant_reactive_power,+500000000.0
paper_2020_2_scenario_14,cooling_plant_active_power,-10000000.0
paper_2020_2_scenario_14,cooling_plant_reactive_power,-5000000.0
paper_2020_2_scenario_14,cooling_plant_thermal_power,+50000000.0
paper_2020_2_scenario_14,pv_plant_active_power,+1000000000.0
paper_2020_2_scenario_14,pv_plant_reactive_power,+500000000.0
