thermal_grid_name,der_name,der_type,model_name
singapore_tanjongpagar,1,flexible_building,wtp_mix_medium_density_1
singapore_tanjongpagar,2,flexible_building,wtp_mix_medium_density_2
singapore_tanjongpagar,3,flexible_building,wtp_mix_medium_density_3
singapore_tanjongpagar,4,flexible_building,wtp_mix_medium_density_4
singapore_tanjongpagar,5,flexible_building,wtp_mix_medium_density_5
singapore_tanjongpagar,6,flexible_building,wtp_mix_medium_density_6
singapore_tanjongpagar,7,flexible_building,wtp_mix_medium_density_7
singapore_tanjongpagar,8,flexible_building,wtp_mix_medium_density_8
singapore_tanjongpagar,9,flexible_building,wtp_mix_medium_density_9
singapore_tanjongpagar,10,flexible_building,wtp_mix_medium_density_10
singapore_tanjongpagar,11,flexible_building,wtp_mix_medium_density_11
singapore_tanjongpagar,12,flexible_building,wtp_mix_medium_density_12
singapore_tanjongpagar,13,flexible_building,wtp_mix_medium_density_13
singapore_tanjongpagar,14,flexible_building,wtp_mix_medium_density_14
singapore_tanjongpagar,15,flexible_building,wtp_mix_medium_density_15
singapore_tanjongpagar,16,flexible_building,wtp_mix_medium_density_16
singapore_tanjongpagar,17,flexible_building,wtp_mix_medium_density_17
singapore_tanjongpagar,18,flexible_building,wtp_mix_medium_density_18
singapore_tanjongpagar,19,flexible_building,wtp_mix_medium_density_19
singapore_tanjongpagar,20,flexible_building,wtp_mix_medium_density_20
singapore_tanjongpagar,21,flexible_building,wtp_mix_medium_density_21
singapore_tanjongpagar,22,flexible_building,wtp_mix_medium_density_22
