thermal_grid_name,line_name,node_1_name,node_2_name,length,diameter,absolute_roughness
singapore_tanjongpagar,0,0,12,31.18530646,1.22,4
singapore_tanjongpagar,1,0,30,112.0715734,2.84,4
singapore_tanjongpagar,2,12,11,79.63876526,1.11,4
singapore_tanjongpagar,3,30,9,46.80145133,1.9,4
singapore_tanjongpagar,4,30,15,52.26862542,2.11,4
singapore_tanjongpagar,5,11,13,79.6387809,0.94,4
singapore_tanjongpagar,6,9,8,79.63875558,1.81,4
singapore_tanjongpagar,7,15,36,65.86089106,2.05,4
singapore_tanjongpagar,8,13,45,38.49245702,0.72,4
singapore_tanjongpagar,9,8,27,12.15188261,1.66,4
singapore_tanjongpagar,10,36,17,56.57455692,1.59,4
singapore_tanjongpagar,11,36,2,61.48789337,1.29,4
singapore_tanjongpagar,12,45,10,84.98346138,0.72,4
singapore_tanjongpagar,13,27,14,56.51323377,1.66,4
singapore_tanjongpagar,14,17,35,54.40370831,1.49,4
singapore_tanjongpagar,15,2,32,61.4879573,1.14,4
singapore_tanjongpagar,16,14,5,6.962355778,1.57,4
singapore_tanjongpagar,17,35,20,55.22131978,1.23,4
singapore_tanjongpagar,18,35,1,61.48783407,0.84,4
singapore_tanjongpagar,19,32,7,32.49362417,1.14,4
singapore_tanjongpagar,20,5,29,53.50157785,1.38,4
singapore_tanjongpagar,21,20,26,55.7569046,1.09,4
singapore_tanjongpagar,22,1,31,61.48795768,0.59,4
singapore_tanjongpagar,23,7,38,67.48675878,0.5,4
singapore_tanjongpagar,24,29,3,53.47752585,1.38,4
singapore_tanjongpagar,25,26,4,60.02833555,1.09,4
singapore_tanjongpagar,26,31,18,55.48907418,0.59,4
singapore_tanjongpagar,27,38,6,64.70683303,0.5,4
singapore_tanjongpagar,28,3,16,8.925487958,1.15,4
singapore_tanjongpagar,29,4,42,72.82464223,0.88,4
singapore_tanjongpagar,30,16,28,54.5740915,1.01,4
singapore_tanjongpagar,31,42,22,115.394265,0.88,4
singapore_tanjongpagar,32,28,21,74.56057938,1.01,4
singapore_tanjongpagar,33,21,19,35.12628829,0.53,4
