line_name,electric_grid_name,line_type,node_1_name,node_2_name,is_phase_1_connected,is_phase_2_connected,is_phase_3_connected,length
line_1_1,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,1,2,1,0,0,0.04
branchout_line_1_1,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50,2,3,1,0,0,0.015
line_1_2,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,2,4,1,0,0,0.04
branchout_line_1_2,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50,4,5,1,0,0,0.031
line_1_3,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,4,6,1,0,0,0.04
branchout_line_1_3,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50 SE,6,7,1,0,0,0.015
line_1_4,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,6,8,1,0,0,0.04
branchout_line_1_4,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50,8,9,1,0,0,0.031
line_1_5,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,8,10,1,0,0,0.04
branchout_line_1_5,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50 SE,10,11,1,0,0,0.015
line_1_6,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,10,12,1,0,0,0.04
branchout_line_1_6,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50,12,13,1,0,0,0.031
line_1_7,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,12,14,1,0,0,0.04
branchout_line_1_7,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50 SE,14,15,1,0,0,0.015
line_1_8,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,14,16,1,0,0,0.04
branchout_line_1_8,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50,16,17,1,0,0,0.031
line_1_9,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,16,18,1,0,0,0.04
branchout_line_1_9,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50 SE,18,19,1,0,0,0.015
line_2_1,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,1,20,1,0,0,0.04
branchout_line_2_1,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50,20,21,1,0,0,0.015
line_2_2,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,20,22,1,0,0,0.04
branchout_line_2_2,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50,22,23,1,0,0,0.031
line_2_3,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,22,24,1,0,0,0.04
branchout_line_2_3,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50 SE,24,25,1,0,0,0.015
line_2_4,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,24,26,1,0,0,0.04
branchout_line_2_4,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50 SE,26,27,1,0,0,0.031
line_2_5,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,26,28,1,0,0,0.04
branchout_line_2_5,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50 SE,28,29,1,0,0,0.015
line_2_6,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,28,30,1,0,0,0.04
branchout_line_2_6,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50 SE,30,31,1,0,0,0.031
line_2_7,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,30,32,1,0,0,0.04
branchout_line_2_7,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50,32,33,1,0,0,0.015
line_2_8,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,32,34,1,0,0,0.04
branchout_line_2_8,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50 SE,34,35,1,0,0,0.031
line_2_9,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,34,36,1,0,0,0.04
branchout_line_2_9,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50,36,37,1,0,0,0.015
line_3_1,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,1,38,1,0,0,0.029
branchout_line_3_1,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50,38,39,1,0,0,0.015
line_3_2,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,38,40,1,0,0,0.029
branchout_line_3_2,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50,40,41,1,0,0,0.031
line_3_3,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,40,42,1,0,0,0.029
branchout_line_3_3,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50,42,43,1,0,0,0.015
line_3_4,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,42,44,1,0,0,0.029
branchout_line_3_4,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50,44,45,1,0,0,0.031
line_3_5,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,44,46,1,0,0,0.029
branchout_line_3_5,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50,46,47,1,0,0,0.015
line_3_6,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,46,48,1,0,0,0.029
branchout_line_3_6,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50 SE,48,49,1,0,0,0.031
line_3_7,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,48,50,1,0,0,0.029
branchout_line_3_7,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50 SE,50,51,1,0,0,0.015
line_3_8,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,50,52,1,0,0,0.029
branchout_line_3_8,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50 SE,52,53,1,0,0,0.031
line_3_9,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x150,52,54,1,0,0,0.029
branchout_line_3_9,kerber_dorfnetz,kerber_dorfnetz_NAYY 4x50 SE,54,55,1,0,0,0.015
