line_type,row,col,resistance,reactance,capacitance
kerber_vorstadtnetz_kabel_1_NAYY 4x150,1,1,0.2067,0.08042478,830.0
kerber_vorstadtnetz_kabel_1_NAYY 4x150,2,2,0.2067,0.08042478,830.0
kerber_vorstadtnetz_kabel_1_NAYY 4x150,3,3,0.2067,0.08042478,830.0
kerber_vorstadtnetz_kabel_1_NAYY 4x150,2,1,0,0,0
kerber_vorstadtnetz_kabel_1_NAYY 4x150,3,1,0,0,0
kerber_vorstadtnetz_kabel_1_NAYY 4x150,3,2,0,0,0
kerber_vorstadtnetz_kabel_1_NAYY 4x50,1,1,0.6417,0.084823,670.0
kerber_vorstadtnetz_kabel_1_NAYY 4x50,2,2,0.6417,0.084823,670.0
kerber_vorstadtnetz_kabel_1_NAYY 4x50,3,3,0.6417,0.084823,670.0
kerber_vorstadtnetz_kabel_1_NAYY 4x50,2,1,0,0,0
kerber_vorstadtnetz_kabel_1_NAYY 4x50,3,1,0,0,0
kerber_vorstadtnetz_kabel_1_NAYY 4x50,3,2,0,0,0
kerber_vorstadtnetz_kabel_1_NYY 4x35,1,1,0.5240284,0.08513716,0.0
kerber_vorstadtnetz_kabel_1_NYY 4x35,2,2,0.5240284,0.08513716,0.0
kerber_vorstadtnetz_kabel_1_NYY 4x35,3,3,0.5240284,0.08513716,0.0
kerber_vorstadtnetz_kabel_1_NYY 4x35,2,1,0,0,0
kerber_vorstadtnetz_kabel_1_NYY 4x35,3,1,0,0,0
kerber_vorstadtnetz_kabel_1_NYY 4x35,3,2,0,0,0
