"INFORMATION TYPE","DATE","PERIOD","PRICE ($/MWh)"
"MFP","01 Aug 2021","1","64.83"
"MFP","01 Aug 2021","2","34.95"
"MFP","01 Aug 2021","3","15.88"
"MFP","01 Aug 2021","4","13.33"
"MFP","01 Aug 2021","5","12.12"
"MFP","01 Aug 2021","6","12.12"
"MFP","01 Aug 2021","7","8.00"
"MFP","01 Aug 2021","8","8.00"
"MFP","01 Aug 2021","9","8.00"
"MFP","01 Aug 2021","10","8.00"
"MFP","01 Aug 2021","11","8.00"
"MFP","01 Aug 2021","12","17.28"
"MFP","01 Aug 2021","13","18.78"
"MFP","01 Aug 2021","14","18.78"
"MFP","01 Aug 2021","15","34.88"
"MFP","01 Aug 2021","16","48.68"
"MFP","01 Aug 2021","17","40.04"
"MFP","01 Aug 2021","18","48.68"
"MFP","01 Aug 2021","19","34.88"
"MFP","01 Aug 2021","20","48.68"
"MFP","01 Aug 2021","21","28.54"
"MFP","01 Aug 2021","22","13.33"
"MFP","01 Aug 2021","23","12.53"
"MFP","01 Aug 2021","24","12.12"
"MFP","01 Aug 2021","25","11.88"
"MFP","01 Aug 2021","26","12.12"
"MFP","01 Aug 2021","27","15.88"
"MFP","01 Aug 2021","28","13.33"
"MFP","01 Aug 2021","29","15.88"
"MFP","01 Aug 2021","30","13.33"
"MFP","01 Aug 2021","31","9.88"
"MFP","01 Aug 2021","32","9.88"
"MFP","01 Aug 2021","33","11.88"
"MFP","01 Aug 2021","34","15.88"
"MFP","01 Aug 2021","35","13.33"
"MFP","01 Aug 2021","36","15.88"
"MFP","01 Aug 2021","37","50.00"
"MFP","01 Aug 2021","38","48.68"
"MFP","01 Aug 2021","39","34.88"
"MFP","01 Aug 2021","40","50.00"
"MFP","01 Aug 2021","41","50.00"
"MFP","01 Aug 2021","42","81.74"
"MFP","01 Aug 2021","43","179.99"
"MFP","01 Aug 2021","44","26.95"
"MFP","01 Aug 2021","45","19.02"
"MFP","01 Aug 2021","46","17.77"
"MFP","01 Aug 2021","47","28.24"
"MFP","01 Aug 2021","48","17.77"
"MFP","02 Aug 2021","1","17.18"
"MFP","02 Aug 2021","2","8.00"
"MFP","02 Aug 2021","3","8.00"
"MFP","02 Aug 2021","4","8.00"
"MFP","02 Aug 2021","5","8.00"
"MFP","02 Aug 2021","6","8.00"
"MFP","02 Aug 2021","7","8.00"
"MFP","02 Aug 2021","8","2.70"
"MFP","02 Aug 2021","9","8.00"
"MFP","02 Aug 2021","10","8.00"
"MFP","02 Aug 2021","11","8.00"
"MFP","02 Aug 2021","12","16.78"
"MFP","02 Aug 2021","13","19.23"
"MFP","02 Aug 2021","14","19.23"
"MFP","02 Aug 2021","15","33.33"
"MFP","02 Aug 2021","16","40.62"
"MFP","02 Aug 2021","17","92.36"
"MFP","02 Aug 2021","18","184.94"
"MFP","02 Aug 2021","19","184.99"
"MFP","02 Aug 2021","20","184.99"
"MFP","02 Aug 2021","21","185.94"
"MFP","02 Aug 2021","22","185.99"
"MFP","02 Aug 2021","23","184.99"
"MFP","02 Aug 2021","24","184.99"
"MFP","02 Aug 2021","25","184.99"
"MFP","02 Aug 2021","26","184.99"
"MFP","02 Aug 2021","27","190.02"
"MFP","02 Aug 2021","28","186.18"
"MFP","02 Aug 2021","29","186.18"
"MFP","02 Aug 2021","30","186.18"
"MFP","02 Aug 2021","31","186.18"
"MFP","02 Aug 2021","32","186.18"
"MFP","02 Aug 2021","33","186.09"
"MFP","02 Aug 2021","34","186.31"
"MFP","02 Aug 2021","35","186.31"
"MFP","02 Aug 2021","36","184.99"
"MFP","02 Aug 2021","37","184.99"
"MFP","02 Aug 2021","38","184.99"
"MFP","02 Aug 2021","39","192.91"
"MFP","02 Aug 2021","40","184.88"
"MFP","02 Aug 2021","41","184.42"
"MFP","02 Aug 2021","42","184.24"
"MFP","02 Aug 2021","43","184.24"
"MFP","02 Aug 2021","44","84.99"
"MFP","02 Aug 2021","45","117.71"
"MFP","02 Aug 2021","46","79.67"
"MFP","02 Aug 2021","47","39.51"
"MFP","02 Aug 2021","48","34.88"
"MFP","03 Aug 2021","1","33.31"
"MFP","03 Aug 2021","2","17.06"
"MFP","03 Aug 2021","3","10.73"
"MFP","03 Aug 2021","4","9.88"
"MFP","03 Aug 2021","5","9.88"
"MFP","03 Aug 2021","6","9.88"
"MFP","03 Aug 2021","7","9.88"
"MFP","03 Aug 2021","8","8.00"
"MFP","03 Aug 2021","9","9.32"
"MFP","03 Aug 2021","10","8.00"
"MFP","03 Aug 2021","11","9.88"
"MFP","03 Aug 2021","12","16.83"
"MFP","03 Aug 2021","13","34.88"
"MFP","03 Aug 2021","14","34.88"
"MFP","03 Aug 2021","15","33.33"
"MFP","03 Aug 2021","16","48.68"
"MFP","03 Aug 2021","17","34.88"
"MFP","03 Aug 2021","18","92.71"
"MFP","03 Aug 2021","19","54.88"
"MFP","03 Aug 2021","20","19.88"
"MFP","03 Aug 2021","21","19.01"
"MFP","03 Aug 2021","22","13.33"
"MFP","03 Aug 2021","23","9.88"
"MFP","03 Aug 2021","24","8.02"
"MFP","03 Aug 2021","25","2.00"
"MFP","03 Aug 2021","26","2.80"
"MFP","03 Aug 2021","27","9.69"
"MFP","03 Aug 2021","28","12.12"
"MFP","03 Aug 2021","29","9.88"
"MFP","03 Aug 2021","30","9.88"
"MFP","03 Aug 2021","31","8.07"
"MFP","03 Aug 2021","32","8.07"
"MFP","03 Aug 2021","33","8.49"
"MFP","03 Aug 2021","34","15.95"
"MFP","03 Aug 2021","35","8.02"
"MFP","03 Aug 2021","36","12.12"
"MFP","03 Aug 2021","37","34.88"
"MFP","03 Aug 2021","38","33.33"
"MFP","03 Aug 2021","39","15.88"
"MFP","03 Aug 2021","40","20.02"
"MFP","03 Aug 2021","41","9.88"
"MFP","03 Aug 2021","42","8.00"
"MFP","03 Aug 2021","43","8.00"
"MFP","03 Aug 2021","44","8.00"
"MFP","03 Aug 2021","45","8.00"
"MFP","03 Aug 2021","46","2.71"
"MFP","03 Aug 2021","47","2.89"
"MFP","03 Aug 2021","48","1.33"
"MFP","04 Aug 2021","1","1.20"
"MFP","04 Aug 2021","2","1.00"
"MFP","04 Aug 2021","3","0.88"
"MFP","04 Aug 2021","4","1.20"
"MFP","04 Aug 2021","5","3.95"
"MFP","04 Aug 2021","6","4.05"
"MFP","04 Aug 2021","7","3.95"
"MFP","04 Aug 2021","8","1.20"
"MFP","04 Aug 2021","9","1.10"
"MFP","04 Aug 2021","10","1.20"
"MFP","04 Aug 2021","11","0.90"
"MFP","04 Aug 2021","12","1.33"
"MFP","04 Aug 2021","13","8.00"
"MFP","04 Aug 2021","14","8.00"
"MFP","04 Aug 2021","15","8.00"
"MFP","04 Aug 2021","16","12.12"
"MFP","04 Aug 2021","17","9.88"
"MFP","04 Aug 2021","18","12.12"
"MFP","04 Aug 2021","19","9.88"
"MFP","04 Aug 2021","20","8.12"
"MFP","04 Aug 2021","21","8.29"
"MFP","04 Aug 2021","22","3.70"
"MFP","04 Aug 2021","23","7.51"
"MFP","04 Aug 2021","24","7.15"
"MFP","04 Aug 2021","25","1.33"
"MFP","04 Aug 2021","26","2.79"
"MFP","04 Aug 2021","27","8.29"
"MFP","04 Aug 2021","28","8.29"
"MFP","04 Aug 2021","29","8.29"
"MFP","04 Aug 2021","30","8.29"
"MFP","04 Aug 2021","31","1.33"
"MFP","04 Aug 2021","32","2.00"
"MFP","04 Aug 2021","33","1.33"
"MFP","04 Aug 2021","34","8.07"
"MFP","04 Aug 2021","35","8.00"
"MFP","04 Aug 2021","36","8.00"
"MFP","04 Aug 2021","37","13.33"
"MFP","04 Aug 2021","38","12.12"
"MFP","04 Aug 2021","39","9.88"
"MFP","04 Aug 2021","40","12.12"
"MFP","04 Aug 2021","41","8.00"
"MFP","04 Aug 2021","42","8.00"
"MFP","04 Aug 2021","43","3.90"
"MFP","04 Aug 2021","44","3.99"
"MFP","04 Aug 2021","45","8.00"
"MFP","04 Aug 2021","46","3.50"
"MFP","04 Aug 2021","47","1.33"
"MFP","04 Aug 2021","48","1.33"
"MFP","05 Aug 2021","1","1.20"
"MFP","05 Aug 2021","2","1.00"
"MFP","05 Aug 2021","3","0.60"
"MFP","05 Aug 2021","4","0.88"
"MFP","05 Aug 2021","5","0.60"
"MFP","05 Aug 2021","6","0.88"
"MFP","05 Aug 2021","7","0.60"
"MFP","05 Aug 2021","8","0.60"
"MFP","05 Aug 2021","9","0.50"
"MFP","05 Aug 2021","10","0.60"
"MFP","05 Aug 2021","11","0.60"
"MFP","05 Aug 2021","12","1.33"
"MFP","05 Aug 2021","13","8.00"
"MFP","05 Aug 2021","14","8.00"
"MFP","05 Aug 2021","15","8.00"
"MFP","05 Aug 2021","16","9.88"
"MFP","05 Aug 2021","17","8.00"
"MFP","05 Aug 2021","18","12.12"
"MFP","05 Aug 2021","19","8.29"
"MFP","05 Aug 2021","20","8.29"
"MFP","05 Aug 2021","21","8.00"
"MFP","05 Aug 2021","22","11.14"
"MFP","05 Aug 2021","23","8.00"
"MFP","05 Aug 2021","24","8.00"
"MFP","05 Aug 2021","25","6.80"
"MFP","05 Aug 2021","26","8.00"
"MFP","05 Aug 2021","27","9.88"
"MFP","05 Aug 2021","28","12.80"
"MFP","05 Aug 2021","29","12.12"
"MFP","05 Aug 2021","30","8.00"
"MFP","05 Aug 2021","31","8.00"
"MFP","05 Aug 2021","32","8.00"
"MFP","05 Aug 2021","33","11.99"
"MFP","05 Aug 2021","34","13.73"
"MFP","05 Aug 2021","35","12.12"
"MFP","05 Aug 2021","36","8.63"
"MFP","05 Aug 2021","37","15.88"
"MFP","05 Aug 2021","38","22.88"
"MFP","05 Aug 2021","39","13.90"
"MFP","05 Aug 2021","40","15.88"
"MFP","05 Aug 2021","41","9.88"
"MFP","05 Aug 2021","42","8.00"
"MFP","05 Aug 2021","43","6.91"
"MFP","05 Aug 2021","44","8.00"
"MFP","05 Aug 2021","45","15.88"
"MFP","05 Aug 2021","46","11.02"
"MFP","05 Aug 2021","47","1.33"
"MFP","05 Aug 2021","48","1.28"
"MFP","06 Aug 2021","1","1.28"
"MFP","06 Aug 2021","2","1.00"
"MFP","06 Aug 2021","3","0.88"
"MFP","06 Aug 2021","4","0.90"
"MFP","06 Aug 2021","5","0.88"
"MFP","06 Aug 2021","6","0.90"
"MFP","06 Aug 2021","7","0.88"
"MFP","06 Aug 2021","8","0.88"
"MFP","06 Aug 2021","9","0.60"
"MFP","06 Aug 2021","10","0.90"
"MFP","06 Aug 2021","11","0.90"
"MFP","06 Aug 2021","12","1.33"
"MFP","06 Aug 2021","13","8.00"
"MFP","06 Aug 2021","14","8.00"
"MFP","06 Aug 2021","15","8.00"
"MFP","06 Aug 2021","16","12.12"
"MFP","06 Aug 2021","17","9.88"
"MFP","06 Aug 2021","18","12.12"
"MFP","06 Aug 2021","19","9.88"
"MFP","06 Aug 2021","20","12.12"
"MFP","06 Aug 2021","21","15.23"
"MFP","06 Aug 2021","22","12.80"
"MFP","06 Aug 2021","23","9.88"
"MFP","06 Aug 2021","24","8.29"
"MFP","06 Aug 2021","25","8.29"
"MFP","06 Aug 2021","26","2.80"
"MFP","06 Aug 2021","27","8.29"
"MFP","06 Aug 2021","28","12.99"
"MFP","06 Aug 2021","29","12.90"
"MFP","06 Aug 2021","30","12.99"
"MFP","06 Aug 2021","31","1.33"
"MFP","06 Aug 2021","32","10.32"
"MFP","06 Aug 2021","33","12.00"
"MFP","06 Aug 2021","34","18.78"
"MFP","06 Aug 2021","35","8.07"
"MFP","06 Aug 2021","36","12.12"
"MFP","06 Aug 2021","37","13.33"
"MFP","06 Aug 2021","38","28.44"
"MFP","06 Aug 2021","39","15.88"
"MFP","06 Aug 2021","40","20.02"
"MFP","06 Aug 2021","41","9.88"
"MFP","06 Aug 2021","42","8.00"
"MFP","06 Aug 2021","43","8.00"
"MFP","06 Aug 2021","44","8.00"
"MFP","06 Aug 2021","45","8.00"
"MFP","06 Aug 2021","46","12.12"
"MFP","06 Aug 2021","47","2.22"
"MFP","06 Aug 2021","48","13.33"
"MFP","07 Aug 2021","1","21.53"
"MFP","07 Aug 2021","2","17.23"
"MFP","07 Aug 2021","3","8.00"
"MFP","07 Aug 2021","4","8.00"
"MFP","07 Aug 2021","5","8.00"
"MFP","07 Aug 2021","6","8.00"
"MFP","07 Aug 2021","7","8.00"
"MFP","07 Aug 2021","8","8.00"
"MFP","07 Aug 2021","9","8.00"
"MFP","07 Aug 2021","10","8.28"
"MFP","07 Aug 2021","11","8.00"
"MFP","07 Aug 2021","12","16.83"
"MFP","07 Aug 2021","13","18.23"
"MFP","07 Aug 2021","14","18.23"
"MFP","07 Aug 2021","15","37.09"
"MFP","07 Aug 2021","16","66.13"
"MFP","07 Aug 2021","17","182.96"
"MFP","07 Aug 2021","18","184.83"
"MFP","07 Aug 2021","19","184.24"
"MFP","07 Aug 2021","20","184.42"
"MFP","07 Aug 2021","21","183.33"
"MFP","07 Aug 2021","22","52.60"
"MFP","07 Aug 2021","23","48.08"
"MFP","07 Aug 2021","24","34.88"
"MFP","07 Aug 2021","25","31.67"
"MFP","07 Aug 2021","26","34.88"
"MFP","07 Aug 2021","27","51.47"
"MFP","07 Aug 2021","28","49.08"
"MFP","07 Aug 2021","29","49.08"
"MFP","07 Aug 2021","30","49.08"
"MFP","07 Aug 2021","31","30.03"
"MFP","07 Aug 2021","32","40.04"
"MFP","07 Aug 2021","33","40.03"
"MFP","07 Aug 2021","34","36.59"
"MFP","07 Aug 2021","35","20.02"
"MFP","07 Aug 2021","36","17.83"
"MFP","07 Aug 2021","37","50.00"
"MFP","07 Aug 2021","38","55.88"
"MFP","07 Aug 2021","39","74.89"
"MFP","07 Aug 2021","40","80.55"
"MFP","07 Aug 2021","41","60.17"
"MFP","07 Aug 2021","42","40.04"
"MFP","07 Aug 2021","43","18.95"
"MFP","07 Aug 2021","44","20.02"
"MFP","07 Aug 2021","45","29.59"
"MFP","07 Aug 2021","46","17.83"
"MFP","07 Aug 2021","47","33.33"
"MFP","07 Aug 2021","48","20.02"
"MFP","08 Aug 2021","1","23.55"
"MFP","08 Aug 2021","2","17.23"
"MFP","08 Aug 2021","3","12.12"
"MFP","08 Aug 2021","4","11.96"
"MFP","08 Aug 2021","5","8.00"
"MFP","08 Aug 2021","6","10.31"
"MFP","08 Aug 2021","7","9.88"
"MFP","08 Aug 2021","8","9.88"
"MFP","08 Aug 2021","9","8.00"
"MFP","08 Aug 2021","10","10.17"
"MFP","08 Aug 2021","11","9.88"
"MFP","08 Aug 2021","12","12.52"
"MFP","08 Aug 2021","13","17.18"
"MFP","08 Aug 2021","14","18.70"
"MFP","08 Aug 2021","15","33.33"
"MFP","08 Aug 2021","16","48.68"
"MFP","08 Aug 2021","17","34.88"
"MFP","08 Aug 2021","18","48.68"
"MFP","08 Aug 2021","19","35.51"
"MFP","08 Aug 2021","20","37.61"
"MFP","08 Aug 2021","21","34.88"
"MFP","08 Aug 2021","22","19.23"
"MFP","08 Aug 2021","23","18.83"
"MFP","08 Aug 2021","24","19.23"
"MFP","08 Aug 2021","25","17.78"
"MFP","08 Aug 2021","26","18.94"
"MFP","08 Aug 2021","27","23.30"
"MFP","08 Aug 2021","28","23.30"
"MFP","08 Aug 2021","29","34.07"
"MFP","08 Aug 2021","30","36.99"
"MFP","08 Aug 2021","31","23.24"
"MFP","08 Aug 2021","32","19.18"
"MFP","08 Aug 2021","33","18.18"
"MFP","08 Aug 2021","34","19.64"
"MFP","08 Aug 2021","35","19.54"
"MFP","08 Aug 2021","36","20.02"
"MFP","08 Aug 2021","37","49.08"
"MFP","08 Aug 2021","38","50.00"
"MFP","08 Aug 2021","39","40.04"
"MFP","08 Aug 2021","40","41.60"
"MFP","08 Aug 2021","41","34.07"
"MFP","08 Aug 2021","42","33.33"
"MFP","08 Aug 2021","43","56.18"
"MFP","08 Aug 2021","44","20.02"
"MFP","08 Aug 2021","45","25.27"
"MFP","08 Aug 2021","46","18.06"
"MFP","08 Aug 2021","47","18.95"
"MFP","08 Aug 2021","48","18.18"
"MFP","09 Aug 2021","1","12.12"
"MFP","09 Aug 2021","2","9.88"
"MFP","09 Aug 2021","3","8.00"
